Net Demand 02/15/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21995,21739,21739,21739,21539,21539,21539,21317,21317,21317,21106,21106,21106,20890,20890,20890,20704,20704,20704,20544,20544,20544,20387,20387,20387,20270,20270,20270,20146,20146,20146,20074,20074,20074,19983,19983,19983,19953,19953,19953,19922,19922,19922,19897,19897,19897,19912,19912,19912,20011,20011,20011,20109,20109,20109,20181,20181,20181,20279,20279,20279,20532,20532,20532,20705,20705,20705,20926,20926,20926,21160,21160,21160,21530,21530,21530,21783,21783,21783,21948,21948,21948,21985,21985,21985,22126,22126,22126,22157,22157,22157,22076,22076,22076,21979,21979,21979,21890,21890,21890,21697,21697,21697,21350,21350,21350,21097,21097,21097,20902,20902,20902,20707,20707,20707,20448,20448,20448,20127,20127,20127,19908,19908,19908,19686,19686,19686,19513,19513,19513,19207,19207,19207,19031,19031,19031,18785,18785,18785,18645,18645,18645,18503,18503,18503,18304,18304,18304,18168,18168,18168,18093,18093,18093,18021,18021,18021,18010,18010,18010,18092,18092,18092,18048,18048,18048,18153,18153,18153,18293,18293,18293,18436,18436,18436,18674,18674,18674,18876,18876,18876,19111,19111,19111,19438,19438,19438,19659,19659,19659,20097,20097,20097,20436,20436,20436,20856,20856,20856,21379,21379,21379,21955,21955,21955,22501,22501,22501,23202,23202,23202,23920,23920,23920,24616,24616,24616,25163,25163,25163,25315,25315,25315,25306,25306,25306,25093,25093,25093,24954,24954,24954,24879,24879,24879,24750,24750,24750,24694,24694,24694,24549,24549,24549,24470,24470,24470,24402,24402,24402,24181,24181,24181,24052,24052,24052,23843,23843,23843,23559,23559,23559,23372,23372,23372,23043,23043,23043,22706,22706,22706,22412,22412,22412,22134,22134,22134,21822,21822,21822,21433,21433,21433,21185,21185,21185,20895,20895,20895
Demand (5 min. avg.),21867,21844,21734,21668,21579,21514,21431,21363,21267,21195,21121,21079,20983,20955,20901,20825,20729,20705,20651,20612,20543,20474,20429,20388,20342,20311,20273,20230,20167,20156,20117,20098,20068,20031,20013,20004,19969,19978,19962,19949,19958,19943,19929,19898,19906,19908,19921,19911,19936,19926,19956,19991,20026,20049,20073,20109,20137,20167,20215,20254,20293,20418,20520,20609,20664,20709,20737,20807,20898,20968,21046,21090,21187,21431,21627,21742,21859,21910,21914,21982,22024,22055,22018,21998,22033,22113,22165,22153,22180,22143,22153,22126,22041,22004,21973,21915,21863,21869,21855,21780,21664,21578,21490,21409,21289,21197,21137,21030,20939,20893,20862,20813,20680,20606,20487,20357,20273,20192,20117,19984,19947,19909,19773,19692,19657,19608,19533,19421,19341,19278,19220,19141,19025,18951,18867,18813,18726,18712,18678,18620,18523,18466,18422,18372,18221,18182,18117,17996,17996,18066,18089,17985,18007,18037,18023,18006,17989,17997,18052,17974,18003,18032,18047,18054,18081,18094,18105,18177,18234,18231,18239,18305,18418,18472,18499,18562,18670,18792,18849,18930,18997,19082,19154,19185,19227,19384,19583,19656,19821,19959,20070,20108,20179,20404,20537,20673,20874,21025,21176,21367,21585,21767,21977,22112,22316,22479,22658,22839,23035,23239,23430,23630,23892,24140,24398,24622,24815,24929,25034,25106,25145,25177,25134,25140,25129,25133,25066,25072,25070,25027,24979,24958,24930,24880,24836,24843,24838,24834,24789,24758,24717,24694,24657,24635,24596,24544,24514,24445,24388,24348,24310,24261,24198,24141,24106,24033,23955,23844,23779,23724,23642,23572,23449,23372,23236,23103,22983,22887,22779,22619,22558,22503,22411,22323,22202,22082,21974,21884,21615,21500,21423,21406,21282,21174,21062,21004,20894,20786,20715
Net demand,20587,20457,20343,20159,20010,19863,19743,19630,19568,19464,19390,19352,19273,19253,19186,19117,19057,18983,18957,18907,18837,18777,18693,18649,18597,18579,18591,18543,18502,18496,18491,18448,18441,18451,18463,18516,18539,18505,18527,18556,18597,18690,18738,18812,18853,18893,18917,18928,18952,18980,19047,19125,19197,19248,19279,19316,19370,19382,19439,19472,19495,19600,19746,19887,19967,20007,20039,20106,20204,20267,20349,20397,20485,20668,20971,21113,21257,21308,21349,21351,21376,21314,21176,20886,20701,20529,20303,19907,19538,19134,18752,18461,17968,17422,16884,16344,15841,15437,15111,14639,14232,13885,13518,13129,12811,12555,12385,12103,11847,11652,11520,11396,11232,11061,10876,10749,10638,10527,10446,10363,10264,10196,10270,10130,10207,10088,10008,9896,9761,9679,9605,9713,9691,9502,9352,9272,9298,9313,9276,9108,8934,8841,8553,8430,8429,8527,8642,8552,8454,8375,8337,8387,8179,8278,8212,8208,8451,8370,8398,8587,8533,8294,8147,8103,8184,7997,8214,8458,8588,8780,8787,8622,8441,8123,8196,8135,8367,8248,8721,9262,9519,9560,9635,9750,10005,9997,9915,9990,10300,10530,10933,11311,11767,12427,13298,13794,14349,14883,15467,15990,16644,17211,17850,18442,19021,19605,20094,20573,20968,21275,21625,21941,22282,22546,22802,23046,23292,23439,23515,23597,23661,23703,23687,23621,23611,23634,23600,23562,23518,23487,23392,23388,23335,23289,23205,23197,23117,23081,23033,22956,22891,22847,22846,22831,22817,22782,22766,22732,22715,22672,22633,22536,22450,22355,22325,22324,22268,22186,22143,22062,21961,21827,21691,21576,21458,21319,21171,21056,20966,20782,20657,20630,20493,20337,20187,19989,19799,19613,19359,19107,18927,18898,18788,18687,18534,18446,18285,18163,18035
