Net Demand 04/03/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21237,21044,21044,21044,20809,20809,20809,20563,20563,20563,20165,20165,20165,19814,19814,19814,19628,19628,19628,19525,19525,19525,19375,19375,19375,19334,19334,19334,19237,19237,19237,19174,19174,19174,19088,19088,19088,19106,19106,19106,19090,19090,19090,19067,19067,19067,19057,19057,19057,19235,19235,19235,19378,19378,19378,19610,19610,19610,19855,19855,19855,20345,20345,20345,20737,20737,20737,21177,21177,21177,21585,21585,21585,22542,22542,22542,23134,23134,23134,23483,23483,23483,23785,23785,23785,24099,24099,24099,24331,24331,24331,24336,24336,24336,24298,24298,24298,24391,24391,24391,24436,24436,24436,24480,24480,24480,24424,24424,24424,24370,24370,24370,24324,24324,24324,24708,24708,24708,24212,24212,24212,24056,24056,24056,23930,23930,23930,23937,23937,23937,23838,23838,23838,23713,23713,23713,23612,23612,23612,23531,23531,23531,23386,23386,23386,23353,23353,23353,23196,23196,23196,23227,23227,23227,23273,23273,23273,23316,23316,23316,23342,23342,23342,23261,23261,23261,23182,23182,23182,22926,22926,22926,22913,22913,22913,22923,22923,22923,22964,22964,22964,22959,22959,22959,23011,23011,23011,23032,23032,23032,23065,23065,23065,22982,22982,22982,23061,23061,23061,23125,23125,23125,23257,23257,23257,23697,23697,23697,23806,23806,23806,24123,24123,24123,24557,24557,24557,24394,24394,24394,24511,24511,24511,24876,24876,24876,25186,25186,25186,25724,25724,25724,26277,26277,26277,26827,26827,26827,27296,27296,27296,26852,26852,26852,26780,26780,26780,26541,26541,26541,26252,26252,26252,25960,25960,25960,25638,25638,25638,25300,25300,25300,24864,24864,24864,24376,24376,24376,23908,23908,23908,23442,23442,23442,23008,23008,23008,22371,22371,22371,21970,21970,21970,21565,21565,21565,21258,21258,21258
Demand (5 min. avg.),21125,21086,21070,20961,20780,20626,20484,20352,20262,20181,20033,19981,19971,19916,19851,19756,19660,19655,19624,19560,19525,19456,19390,19414,19409,19434,19391,19345,19297,19241,19233,19142,19104,19141,19138,19073,19100,19061,19075,19068,19036,18995,18942,18966,19020,19047,19055,19087,19034,19182,19301,19370,19399,19471,19483,19562,19616,19693,19776,19813,19971,20152,20364,20485,20573,20683,20814,20964,21187,21247,21419,21621,21849,22232,22537,22722,22911,23119,23293,23454,23529,23578,23619,23717,23808,23947,24046,24116,24202,24245,24243,24239,24286,24308,24314,24314,24290,24416,24526,24521,24487,24425,24551,24623,24607,24576,24407,24348,24355,24492,24705,24739,24535,24398,24336,24237,24184,24269,24143,24128,24145,24125,24200,24146,24071,24036,23928,23803,23766,23794,23792,23743,23739,23754,23745,23669,23542,23624,23602,23607,23617,23538,23458,23442,23435,23402,23362,23309,23351,23336,23223,23276,23233,23290,23322,23299,23349,23294,23306,23233,23226,23230,23175,23151,23068,23018,23037,22993,22972,22999,23018,22994,22990,23009,22976,22857,22813,22766,22906,22986,22992,22987,22965,22948,22963,22967,22978,23007,23038,23025,22987,22984,23007,23023,23019,22940,23023,23080,23117,23215,23172,23346,23474,23571,23699,23785,23772,23850,23975,24050,24138,24237,24282,24331,24330,24426,24515,24523,24518,24563,24615,24687,24777,24856,24953,25026,25210,25307,25430,25534,25698,25879,26093,26291,26484,26702,26830,26882,26927,26930,26921,26845,26810,26732,26731,26693,26591,26530,26587,26414,26343,26308,26211,26114,25997,25880,25789,25676,25536,25397,25254,25097,25052,24985,24805,24587,24385,24195,24131,24010,23693,23544,23389,23137,22983,22836,22705,22520,22339,22248,22125,21983,21955,21731,21537,21503,21364,21295,
Net demand,18706,18427,18248,17970,17656,17395,17191,17004,16844,16785,16752,16658,16703,16767,16803,16816,16732,16747,16762,16742,16730,16635,16616,16683,16705,16684,16661,16538,16539,16518,16533,16513,16441,16425,16469,16483,16505,16476,16460,16469,16455,16454,16430,16428,16500,16558,16583,16622,16585,16674,16818,16950,16994,17132,17167,17265,17378,17389,17444,17509,17625,17828,18068,18264,18313,18383,18501,18582,18814,18884,18997,19216,19400,19744,20074,20318,20472,20700,20870,21073,21171,21236,21129,21091,21088,21038,20965,20833,20722,20567,20409,20274,20031,19855,19662,19440,18865,18612,18493,18212,17940,17727,17654,17827,17872,17742,17551,17169,16992,16489,16199,16123,15987,15733,15405,15333,15017,14913,14780,14694,14693,14767,14827,14675,14592,14353,14209,14004,14023,14021,14184,14020,13946,13891,13874,13854,13538,13688,13720,13565,13570,13528,13399,13345,13365,13677,13802,13645,13631,13618,13424,13532,13662,13573,13644,13737,13725,13870,13881,13963,13854,13754,13556,13405,13537,13490,13892,13769,13215,12784,12477,12533,12716,12701,12583,12554,12671,13067,13286,13434,13599,13739,13775,13920,13904,13988,14094,14253,14348,14415,14544,14652,14636,14231,13978,14200,14517,14694,14919,15020,14847,14582,14812,15494,15777,16115,16233,16421,16691,17258,17616,17905,18273,18451,18744,19209,19566,19929,20302,20576,20922,21199,21546,21831,22070,22363,22678,22951,23202,23388,23581,23799,23999,24221,24453,24673,24863,24928,24986,24965,24947,24899,24873,24791,24746,24757,24662,24588,24572,24519,24399,24360,24314,24178,24067,23964,23835,23789,23672,23546,23452,23274,23155,23181,23056,22880,22625,22419,22307,22180,21991,21688,21587,21405,21203,21106,20940,20793,20593,20483,20412,20221,20186,20085,19873,19791,19721,19650,
