Net Demand 01/14/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,20234,20050,20050,20050,19860,19860,19860,19591,19591,19591,19412,19412,19412,19241,19241,19241,19094,19094,19094,18935,18935,18935,18861,18861,18861,18770,18770,18770,18714,18714,18714,18658,18658,18658,18617,18617,18617,18676,18676,18676,18702,18702,18702,18700,18700,18700,18845,18845,18845,19112,19112,19112,19314,19314,19314,19570,19570,19570,19849,19849,19849,20396,20396,20396,20840,20840,20840,21404,21404,21404,21961,21961,21961,22990,22990,22990,23749,23749,23749,24358,24358,24358,24874,24874,24874,25475,25475,25475,25684,25684,25684,25841,25841,25841,25892,25892,25892,26297,26297,26297,26345,26345,26345,26388,26388,26388,26423,26423,26423,26701,26701,26701,26684,26684,26684,26671,26671,26671,26662,26662,26662,26789,26789,26789,26744,26744,26744,26826,26826,26826,26798,26798,26798,26841,26841,26841,26806,26806,26806,26785,26785,26785,26649,26649,26649,26880,26880,26880,26852,26852,26852,26848,26848,26848,26881,26881,26881,26725,26725,26725,26720,26720,26720,26587,26587,26587,26617,26617,26617,26306,26306,26306,26231,26231,26231,26242,26242,26242,26338,26338,26338,26385,26385,26385,26451,26451,26451,26568,26568,26568,26767,26767,26767,26807,26807,26807,27085,27085,27085,27435,27435,27435,27921,27921,27921,28593,28593,28593,29324,29324,29324,29728,29728,29728,29855,29855,29855,29459,29459,29459,29408,29408,29408,29205,29205,29205,29035,29035,29035,28857,28857,28857,28695,28695,28695,28495,28495,28495,28331,28331,28331,28199,28199,28199,27940,27940,27940,27622,27622,27622,27270,27270,27270,26904,26904,26904,26504,26504,26504,26097,26097,26097,25580,25580,25580,24991,24991,24991,24498,24498,24498,23882,23882,23882,23310,23310,23310,22710,22710,22710,22323,22323,22323,22032,22032,22032,21613,21613,21613
Demand (5 min. avg.),20122,20014,19978,19911,19786,19796,19745,19639,19587,19505,19451,19390,19315,19261,19197,19117,19095,19094,19069,19024,18965,18902,18857,18834,18850,18788,18758,18754,18718,18694,18692,18621,18591,18597,18646,18658,18638,18644,18636,18653,18691,18708,18732,18720,18764,18780,18813,18857,18952,19064,19145,19211,19294,19345,19395,19504,19576,19647,19691,19780,19993,20242,20578,20662,20863,20997,21145,21341,21516,21634,21814,21974,22194,22573,22986,23276,23533,23715,23934,24117,24374,24588,24787,24958,25069,25364,25615,25781,25847,25937,25936,25979,26085,26106,26176,26115,26147,26262,26326,26403,26427,26401,26427,26522,26593,26574,26614,26694,26668,26669,26726,26711,26666,26677,26720,26736,26841,26783,26787,26811,26829,26885,26856,26866,26801,26838,26878,26851,26878,26940,26922,26913,26894,26846,26915,26843,26713,26700,26738,26742,26782,26802,26844,26913,26871,26866,26876,26872,26836,26898,26901,26919,26931,26881,26805,26810,26790,26685,26625,26674,26681,26694,26701,26663,26681,26673,26587,26458,26324,26343,26411,26428,26449,26444,26426,26409,26397,26357,26361,26367,26392,26379,26449,26469,26502,26563,26590,26583,26576,26565,26581,26629,26700,26807,26858,26939,27005,27079,27179,27276,27405,27529,27751,27961,28114,28262,28460,28661,28912,29103,29267,29387,29447,29466,29541,29553,29550,29424,29324,29252,29242,29247,29221,29198,29159,29114,29075,29045,28999,28890,28836,28819,28732,28714,28643,28559,28512,28476,28489,28400,28328,28280,28146,28099,27986,27940,27797,27707,27586,27508,27392,27319,27253,27106,26907,26778,26633,26503,26375,26200,25996,25839,25729,25582,25363,25140,24880,24658,24509,24331,24080,23848,23702,23544,23354,23159,23001,22880,22740,22600,22433,22307,22142,22021,21902,21802,21648,21446,
Net demand,18991,18815,18769,18739,18622,18594,18559,18445,18371,18269,18171,18102,18024,17889,17822,17713,17658,17633,17584,17519,17440,17391,17330,17284,17243,17209,17160,17140,17123,17110,17140,17114,17085,17122,17186,17206,17188,17166,17138,17118,17147,17155,17171,17133,17112,17143,17197,17199,17251,17338,17413,17510,17591,17600,17651,17663,17696,17799,17867,17978,18106,18325,18682,18836,19036,19192,19256,19402,19615,19713,19880,20087,20286,20678,21060,21444,21742,21982,22172,22318,22506,22665,22833,23026,23189,23370,23698,23881,23929,23957,23982,23973,24032,24111,24077,23968,23829,23898,23882,23775,23878,23901,23784,23563,23618,23408,23231,23020,22949,22893,22984,23140,23225,23182,23209,22963,23085,23189,23069,23006,23049,22939,22834,22761,22892,22903,23248,23285,23132,23106,23186,23154,23303,23279,23014,23015,23182,23125,23166,23280,23321,23418,23520,23574,23853,23875,23838,23837,23810,23713,23746,23647,23431,23458,23261,23414,23497,23671,23644,23797,24050,24102,24070,23958,23814,23750,23844,23946,24025,24034,24043,24067,23908,23809,23827,23756,23795,24022,24154,24285,24512,24568,24578,24518,24642,24788,24903,24886,24899,25030,25138,25381,25561,25790,25887,25991,26055,26140,26218,26336,26462,26628,26819,27043,27215,27329,27483,27647,27834,28017,28126,28243,28262,28243,28309,28352,28397,28380,28267,28251,28249,28280,28278,28272,28272,28223,28192,28136,28088,27980,27873,27887,27813,27759,27725,27643,27553,27505,27513,27482,27394,27421,27278,27260,27198,27139,27024,26927,26812,26733,26669,26595,26525,26430,26252,26110,25977,25870,25765,25634,25438,25261,25140,25031,24840,24606,24389,24127,23931,23749,23513,23257,23090,22931,22759,22566,22442,22308,22212,22057,21911,21728,21586,21450,21314,21194,21096,20851,
