Net Demand 03/13/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,22020,21710,21710,21710,21586,21586,21586,21298,21298,21298,21070,21070,21070,20783,20783,20783,20571,20571,20571,20384,20384,20384,20189,20189,20189,20052,20052,20052,19937,19937,19937,19851,19851,19851,19786,19786,19786,19756,19756,19756,19764,19764,19764,19784,19784,19784,19822,19822,19822,19996,19996,19996,20127,20127,20127,20317,20317,20317,20506,20506,20506,20992,20992,20992,21302,21302,21302,21686,21686,21686,22123,22123,22123,22995,22995,22995,23541,23541,23541,24091,24091,24091,24467,24467,24467,25016,25016,25016,25164,25164,25164,25384,25384,25384,25474,25474,25474,25682,25682,25682,25673,25673,25673,25624,25624,25624,25518,25518,25518,25457,25457,25457,25326,25326,25326,25209,25209,25209,24919,24919,24919,24833,24833,24833,24557,24557,24557,24369,24369,24369,24309,24309,24309,24128,24128,24128,23910,23910,23910,23916,23916,23916,23800,23800,23800,23787,23787,23787,23684,23684,23684,23837,23837,23837,23755,23755,23755,23543,23543,23543,23438,23438,23438,23461,23461,23461,23435,23435,23435,23312,23312,23312,23188,23188,23188,23099,23099,23099,22931,22931,22931,22858,22858,22858,22933,22933,22933,22813,22813,22813,22976,22976,22976,23035,23035,23035,23067,23067,23067,23074,23074,23074,23174,23174,23174,23427,23427,23427,23806,23806,23806,24096,24096,24096,24401,24401,24401,24820,24820,24820,25279,25279,25279,25669,25669,25669,26071,26071,26071,26694,26694,26694,27262,27262,27262,27169,27169,27169,26803,26803,26803,26619,26619,26619,26469,26469,26469,26278,26278,26278,25942,25942,25942,25756,25756,25756,25657,25657,25657,25386,25386,25386,25073,25073,25073,24660,24660,24660,24293,24293,24293,23897,23897,23897,23475,23475,23475,23099,23099,23099,22686,22686,22686,22340,22340,22340,21879,21879,21879
Demand (5 min. avg.),21834,21845,21759,21691,21586,21501,21407,21323,21252,21149,21075,20978,20896,20755,20537,20509,20572,20510,20466,20409,20362,20282,20230,20194,20152,20121,20088,20061,20021,19982,19955,19920,19910,19859,19881,19859,19815,19843,19853,19844,19803,19792,19800,19818,19829,19814,19834,19844,19870,19965,20093,20157,20189,20227,20232,20270,20331,20376,20435,20542,20608,20823,21011,21135,21244,21358,21461,21581,21725,21863,21984,22126,22275,22644,22976,23196,23405,23546,23696,23903,24105,24260,24438,24573,24773,25037,25262,25375,25449,25457,25453,25521,25575,25541,25575,25568,25555,25658,25800,25833,25801,25789,25743,25706,25718,25603,25613,25561,25501,25475,25468,25502,25464,25405,25301,25250,25016,25079,24979,24928,24853,24804,24830,24707,24587,24521,24491,24425,24382,24436,24410,24338,24203,24127,24150,24100,24108,24071,24052,24033,24045,24037,23948,23896,23886,23940,23847,23840,23892,23772,23796,23712,23669,23596,23575,23549,23523,23496,23432,23458,23422,23464,23408,23413,23421,23426,23431,23242,23238,23184,23040,23006,22882,22941,22907,22860,22777,22815,22834,22857,22879,22917,22809,22826,22794,22771,22791,22821,22844,22911,22936,22964,22952,22905,22919,22956,22948,22971,22972,23053,23104,23216,23254,23372,23439,23516,23636,23741,23840,23988,24095,24230,24340,24485,24607,24739,24821,24940,25045,25178,25302,25432,25561,25703,25634,25806,26053,26247,26382,26493,26593,26681,26800,26853,26907,26928,26893,26828,26794,26770,26715,26701,26644,26591,26521,26468,26330,26202,26153,26214,26129,26096,26022,25962,25912,25840,25775,25703,25601,25508,25403,25283,25174,25057,24915,24755,24577,24457,24328,24208,24082,23954,23824,23706,23568,23450,23296,23142,22993,22842,22731,22579,22448,22236,22039,21961,21912,21843,21701
Net demand,20178,20138,20124,20093,20023,20070,19977,19861,19657,19646,19607,19581,19556,19507,19279,19156,19151,19122,19074,19047,19009,18948,18919,18907,18882,18912,18897,18851,18800,18711,18723,18684,18641,18613,18592,18586,18590,18595,18647,18658,18646,18629,18668,18715,18778,18752,18741,18744,18728,18724,18875,18975,19036,19093,19154,19104,19130,19126,19168,19256,19360,19478,19697,19830,19895,20029,20113,20250,20376,20497,20602,20756,20910,21172,21624,21877,22067,22254,22392,22579,22802,22954,23100,23238,23442,23659,23859,23927,23954,23883,23778,23661,23552,23378,23170,22894,22565,22424,22381,22235,22106,21971,21834,21524,21443,21081,20787,20571,20317,20093,20046,19889,19676,19524,19410,19253,18853,18596,18416,18256,18218,17896,17804,17684,17325,17190,17351,17352,17411,17198,17065,16891,16604,16293,16097,15996,15840,15828,15972,16187,16227,16101,15746,15751,15649,15607,15370,15219,15044,14997,14853,14898,14799,14624,14310,14171,14264,14220,14064,14039,13908,13954,14062,13956,14056,14088,13867,13640,13484,13253,13215,13354,13275,13282,13475,13226,13153,12946,12789,12827,12820,12691,12590,12759,12885,12947,12908,13041,13062,13088,13204,13124,13216,13481,13260,13566,13665,13883,13974,13938,14073,14185,14742,15002,15082,15325,15558,15793,16044,16455,16938,17221,17591,18021,18411,19002,19520,20036,20446,20855,21272,21736,22099,22447,22691,22884,23185,23482,23680,23839,23955,24082,24170,24250,24288,24310,24239,24215,24264,24272,24254,24190,24225,24147,24086,24020,23971,23765,23740,23806,23798,23779,23710,23613,23598,23490,23402,23365,23233,23135,23005,22836,22678,22522,22382,22252,22055,21893,21750,21657,21605,21516,21447,21260,21067,20863,20675,20467,20294,20063,19915,19795,19628,19462,19220,19106,19087,18997,18917
