Net Demand 06/30/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,26144,25707,25707,25707,25347,25347,25347,24998,24998,24998,24613,24613,24613,24275,24275,24275,23932,23932,23932,23652,23652,23652,23418,23418,23418,23212,23212,23212,22970,22970,22970,22741,22741,22741,22587,22587,22587,22439,22439,22439,22321,22321,22321,22278,22278,22278,22205,22205,22205,22237,22237,22237,22215,22215,22215,22239,22239,22239,22283,22283,22283,22446,22446,22446,22551,22551,22551,22492,22492,22492,22402,22402,22402,22509,22509,22509,22605,22605,22605,22842,22842,22842,23006,23006,23006,23365,23365,23365,23547,23547,23547,23654,23654,23654,23857,23857,23857,24236,24236,24236,24423,24423,24423,24576,24576,24576,24793,24793,24793,24930,24930,24930,25106,25106,25106,25186,25186,25186,25226,25226,25226,25461,25461,25461,25603,25603,25603,25717,25717,25717,25858,25858,25858,25978,25978,25978,26206,26206,26206,26384,26384,26384,26641,26641,26641,26920,26920,26920,27258,27258,27258,27520,27520,27520,27723,27723,27723,28000,28000,28000,28297,28297,28297,28552,28552,28552,28797,28797,28797,29090,29090,29090,29394,29394,29394,29722,29722,29722,30070,30070,30070,30373,30373,30373,30728,30728,30728,31036,31036,31036,31393,31393,31393,31693,31693,31693,32007,32007,32007,32254,32254,32254,32466,32466,32466,32622,32622,32622,32847,32847,32847,33045,33045,33045,33207,33207,33207,33172,33172,33172,33168,33168,33168,33110,33110,33110,33051,33051,33051,32815,32815,32815,32653,32653,32653,32475,32475,32475,32291,32291,32291,32141,32141,32141,32165,32165,32165,32153,32153,32153,32025,32025,32025,31704,31704,31704,31400,31400,31400,30987,30987,30987,30561,30561,30561,29933,29933,29933,29591,29591,29591,29012,29012,29012,28327,28327,28327,27605,27605,27605,27102,27102,27102,26594,26594,26594,26093,26093,26093
Demand (5 min. avg.),26005,25847,25736,25590,25436,25351,25218,25093,24939,24807,24692,24607,24478,24342,24289,24172,24078,23985,23893,23789,23721,23646,23517,23434,23336,23242,23159,23063,22968,22904,22853,22792,22722,22650,22583,22559,22522,22425,22398,22407,22395,22339,22295,22288,22263,22216,22179,22199,22190,22196,22230,22218,22244,22227,22246,22280,22288,22282,22340,22312,22388,22426,22531,22549,22574,22594,22519,22566,22590,22522,22446,22431,22427,22508,22652,22669,22716,22757,22815,22856,22879,22939,22986,23064,23172,23332,23391,23436,23489,23540,23552,23606,23702,23756,23807,23873,23975,24137,24220,24278,24332,24378,24447,24554,24592,24609,24614,24669,24717,24839,24881,24951,24992,25023,25039,25067,25068,25110,25140,25196,25246,25342,25376,25460,25487,25566,25609,25660,25695,25748,25818,25800,25787,25923,26026,26087,26156,26194,26219,26357,26432,26521,26600,26695,26799,26890,26965,27003,27077,27231,27306,27415,27468,27519,27630,27715,27775,27731,27805,27905,28010,28118,28230,28330,28399,28535,28675,28778,28910,28963,29065,29142,29251,29387,29508,29606,29746,29853,29932,30064,30172,30252,30322,30455,30572,30687,30762,30908,31052,31188,31302,31381,31524,31608,31659,31754,31813,31955,32030,32148,32224,32346,32402,32497,32591,32587,32622,32661,32777,32878,32917,33011,33131,33102,33128,33201,33225,33096,33064,33077,33111,33114,33124,33133,33082,33087,33046,32992,32985,32933,32888,32807,32737,32711,32620,32567,32480,32415,32349,32294,32204,32129,32107,32111,32125,32142,32141,32144,32119,32086,32039,31982,31890,31824,31782,31690,31566,31475,31360,31237,31105,30930,30755,30616,30375,30217,30006,29850,29662,29492,29257,29054,28844,28645,28423,28264,28058,27836,27665,27526,27366,27204,27041,26828,26704,26522,26342,26170,
Net demand,21818,21635,21494,21338,21211,21130,21018,20867,20695,20566,20363,20283,20204,20050,20014,19909,19852,19766,19667,19602,19533,19472,19382,19358,19317,19269,19274,19207,19155,19078,19021,18976,18948,18905,18865,18873,18923,18882,18826,18909,18955,18994,18973,19004,19005,19061,19086,19103,19155,19171,19272,19320,19342,19374,19401,19459,19539,19623,19701,19744,19823,19851,19965,20028,20099,20134,20219,20253,20327,20342,20353,20330,20343,20315,20370,20304,20154,19980,19855,19657,19427,19204,18998,18763,18519,18338,18169,17874,17582,17271,16905,16595,16366,16108,15903,15695,15537,15435,15464,15282,15143,15031,14889,14823,14767,14693,14632,14572,14510,14499,14486,14450,14429,14350,14295,14258,14173,14168,14135,14112,14107,14164,14190,14204,14195,14202,14236,14207,14218,14194,14227,14182,14139,14151,14244,14302,14330,14362,14353,14398,14480,14572,14617,14729,14845,14940,15065,15121,15175,15250,15389,15507,15678,15740,15883,16001,16087,16106,16133,16218,16359,16455,16614,16740,16867,16998,17224,17348,17501,17612,17780,17867,17970,18109,18286,18417,18582,18716,18892,19014,19158,19279,19382,19546,19694,19864,20031,20209,20423,20615,20781,20951,21122,21305,21414,21535,21694,21801,21958,22122,22185,22337,22473,22567,22753,22802,22826,23005,23050,23250,23413,23565,23852,23934,24141,24351,24583,24679,24757,24934,25172,25394,25649,25913,26151,26411,26666,26909,27172,27427,27647,27900,28168,28339,28481,28610,28747,28807,28878,28883,28884,28823,28785,28787,28771,28796,28815,28811,28824,28807,28762,28722,28622,28509,28471,28363,28235,28077,27890,27747,27546,27312,27090,26855,26589,26319,26077,25859,25663,25452,25232,25003,24766,24539,24361,24146,23956,23717,23544,23396,23254,23075,22899,22719,22548,22422,22264,22111,
