Net Demand 06/21/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,23988,23767,23767,23767,23401,23401,23401,23197,23197,23197,22980,22980,22980,22709,22709,22709,22453,22453,22453,22217,22217,22217,22000,22000,22000,21863,21863,21863,21698,21698,21698,21506,21506,21506,21411,21411,21411,21245,21245,21245,21208,21208,21208,21148,21148,21148,21134,21134,21134,21275,21275,21275,21358,21358,21358,21466,21466,21466,21630,21630,21630,22013,22013,22013,22284,22284,22284,22493,22493,22493,22596,22596,22596,23173,23173,23173,23520,23520,23520,23908,23908,23908,24233,24233,24233,24442,24442,24442,24642,24642,24642,24564,24564,24564,24694,24694,24694,24788,24788,24788,24837,24837,24837,24764,24764,24764,24932,24932,24932,25082,25082,25082,25112,25112,25112,24952,24952,24952,24963,24963,24963,25156,25156,25156,25173,25173,25173,25253,25253,25253,25310,25310,25310,25240,25240,25240,25205,25205,25205,25167,25167,25167,25240,25240,25240,25196,25196,25196,25187,25187,25187,25231,25231,25231,25465,25465,25465,25478,25478,25478,25570,25570,25570,25587,25587,25587,25723,25723,25723,25731,25731,25731,25903,25903,25903,25929,25929,25929,26065,26065,26065,26197,26197,26197,26429,26429,26429,26520,26520,26520,26801,26801,26801,26741,26741,26741,26958,26958,26958,27126,27126,27126,27277,27277,27277,27429,27429,27429,27711,27711,27711,27965,27965,27965,28185,28185,28185,27821,27821,27821,27961,27961,27961,28119,28119,28119,28256,28256,28256,28349,28349,28349,28295,28295,28295,28305,28305,28305,28356,28356,28356,28632,28632,28632,28874,28874,28874,29201,29201,29201,29120,29120,29120,28779,28779,28779,28554,28554,28554,28208,28208,28208,27840,27840,27840,27189,27189,27189,26750,26750,26750,26223,26223,26223,25648,25648,25648,25158,25158,25158,24657,24657,24657,24233,24233,24233,23831,23831,23831
Demand (5 min. avg.),24047,23952,23931,23817,23699,23626,23463,23372,23256,23179,23062,22988,22869,22830,22712,22606,22485,22461,22385,22327,22261,22173,22140,22046,21986,21908,21860,21797,21703,21695,21647,21547,21464,21400,21370,21299,21279,21285,21242,21216,21209,21172,21166,21136,21125,21113,21102,21062,21069,21135,21246,21271,21309,21374,21362,21429,21485,21486,21543,21594,21713,21931,22079,22228,22340,22389,22450,22558,22571,22569,22585,22613,22713,22908,23238,23330,23444,23522,23635,23742,23962,23889,23971,24017,24007,24207,24275,24353,24425,24457,24547,24610,24642,24591,24628,24624,24663,24698,24823,24891,24934,24986,25003,24946,24985,25017,24945,25050,25019,25039,24959,24948,24995,24996,24992,25017,25036,25027,25032,25101,25052,25031,25173,25188,25168,25103,25131,25106,25128,25132,25118,25158,25188,25189,25154,25194,25261,25270,25233,25243,25246,25291,25263,25224,25138,25122,25112,25139,25202,25255,25274,25215,25270,25241,25281,25323,25319,25244,25163,25293,25364,25416,25401,25467,25495,25543,25565,25641,25608,25617,25693,25757,25805,25767,25777,25811,25832,25870,25958,26011,26108,26023,25939,26038,26143,26229,26256,26382,26427,26474,26548,26565,26667,26681,26644,26633,26765,26863,26990,27066,27167,27188,27273,27346,27369,27364,27381,27427,27552,27639,27760,27808,27907,27918,27895,27914,27889,27813,27896,27933,28026,28035,28141,28197,28338,28334,28403,28401,28413,28490,28470,28439,28405,28511,28512,28563,28570,28597,28583,28628,28693,28752,28822,28839,28872,28916,28979,28958,28934,28927,28874,28896,28819,28774,28713,28640,28585,28542,28448,28252,28157,28030,27866,27719,27586,27380,27173,26997,26871,26701,26559,26390,26195,26036,25873,25694,25507,25366,25239,25107,24939,24823,24662,24521,24362,24196,24070,23911,
Net demand,19372,19235,19271,19128,19007,18935,18789,18681,18596,18565,18499,18466,18404,18402,18396,18340,18334,18269,18203,18178,18091,18121,18104,18102,18094,18048,18053,18015,17968,17917,17926,17824,17721,17616,17611,17559,17490,17538,17566,17533,17510,17536,17526,17549,17543,17504,17527,17524,17546,17618,17805,17829,17764,17806,17799,17852,17991,18083,18237,18389,18535,18744,18965,19076,19178,19295,19387,19503,19594,19650,19680,19708,19711,19731,19897,19934,19857,19717,19569,19362,19224,18957,18541,18332,18042,17683,17510,17143,16830,16458,16092,15635,15212,14727,14255,13911,13698,13458,13401,13267,13203,13024,12837,12506,12353,12155,11931,11891,11782,11663,11599,11511,11476,11443,11390,11334,11338,11186,11091,11084,11151,11338,11313,11197,11099,11261,11298,11100,11089,11169,11148,11159,11255,10982,10791,10780,10794,10791,10719,10590,10560,10597,10567,10571,10595,10403,10322,10324,10315,10384,10421,10502,10466,10551,10624,10686,10637,10592,10598,10671,10781,10801,10823,10919,10931,10995,11035,11106,11179,11177,11311,11482,11521,11594,11607,11700,11784,11896,11988,12143,12172,12164,12217,12246,12363,12571,12680,12644,12830,12920,13032,13216,13267,13388,13361,13389,13524,13756,13892,13976,14110,14287,14358,14643,14739,14925,15114,15246,15480,15547,15670,15769,15852,15989,16149,16312,16485,16618,16830,17178,17616,18035,18466,18906,19431,19827,20231,20625,20956,21423,21889,22205,22572,23087,23571,23994,24251,24466,24580,24671,24764,24809,24835,24876,24847,24754,24725,24670,24552,24479,24468,24470,24393,24289,24239,24162,24081,24069,23895,23769,23635,23609,23449,23375,23168,22951,22774,22572,22499,22376,22326,22077,21796,21638,21472,21288,21096,20915,20817,20675,20530,20393,20296,20102,19973,19767,19654,19567,
