Net Demand 01/05/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21053,20797,20797,20797,20594,20594,20594,20358,20358,20358,20121,20121,20121,19892,19892,19892,19759,19759,19759,19569,19569,19569,19396,19396,19396,19240,19240,19240,19129,19129,19129,19052,19052,19052,18986,18986,18986,18903,18903,18903,18864,18864,18864,18852,18852,18852,18841,18841,18841,18896,18896,18896,18918,18918,18918,18994,18994,18994,19084,19084,19084,19277,19277,19277,19412,19412,19412,19524,19524,19524,19613,19613,19613,19955,19955,19955,20139,20139,20139,20329,20329,20329,20462,20462,20462,20567,20567,20567,20620,20620,20620,20691,20691,20691,20668,20668,20668,20842,20842,20842,20815,20815,20815,20728,20728,20728,20508,20508,20508,20452,20452,20452,20341,20341,20341,20090,20090,20090,19825,19825,19825,19760,19760,19760,19544,19544,19544,19342,19342,19342,19167,19167,19167,19207,19207,19207,19122,19122,19122,19069,19069,19069,19048,19048,19048,18900,18900,18900,18864,18864,18864,18809,18809,18809,18828,18828,18828,18734,18734,18734,18830,18830,18830,18993,18993,18993,19104,19104,19104,19102,19102,19102,19260,19260,19260,19354,19354,19354,19541,19541,19541,19750,19750,19750,20026,20026,20026,20529,20529,20529,20863,20863,20863,21238,21238,21238,21794,21794,21794,22412,22412,22412,23216,23216,23216,24514,24514,24514,25484,25484,25484,25902,25902,25902,26091,26091,26091,25836,25836,25836,25836,25836,25836,25778,25778,25778,25745,25745,25745,25714,25714,25714,25618,25618,25618,25502,25502,25502,25390,25390,25390,25351,25351,25351,25164,25164,25164,24990,24990,24990,24776,24776,24776,24461,24461,24461,24227,24227,24227,23935,23935,23935,23575,23575,23575,23224,23224,23224,22845,22845,22845,22401,22401,22401,21945,21945,21945,21613,21613,21613,21278,21278,21278,20958,20958,20958,20676,20676,20676
Demand (5 min. avg.),20977,20915,20844,20781,20705,20617,20515,20448,20371,20300,20192,20152,20072,20000,19918,19880,19799,19739,19665,19618,19536,19489,19444,19427,19372,19362,19312,19283,19243,19218,19186,19149,19114,19058,19025,19000,18966,18939,18946,18933,18924,18910,18908,18913,18884,18863,18878,18875,18887,18915,18953,18972,18971,18989,19015,19035,19053,19047,19080,19123,19149,19249,19320,19355,19362,19412,19409,19454,19496,19562,19625,19672,19716,19920,20048,20123,20176,20265,20304,20365,20457,20492,20515,20538,20579,20709,20784,20780,20742,20768,20728,20765,20789,20824,20793,20765,20763,20833,20877,20882,20829,20811,20772,20735,20673,20657,20582,20530,20440,20408,20387,20324,20289,20187,20101,20060,19993,19910,19852,19756,19685,19618,19608,19590,19559,19489,19445,19379,19334,19278,19241,19198,19169,19101,19072,19021,18939,18949,18924,18872,18863,18884,18882,18799,18771,18724,18708,18699,18690,18700,18696,18651,18681,18680,18674,18645,18628,18643,18641,18648,18714,18734,18731,18757,18824,18879,18859,18927,18935,18981,18981,19076,19083,19148,19180,19257,19382,19449,19438,19567,19664,19692,19808,19917,20074,20232,20356,20496,20621,20768,20949,21106,21254,21403,21604,21786,22004,22169,22357,22599,22812,23059,23309,23615,23908,24106,24451,24761,25094,25313,25512,25677,25730,25801,25866,25875,25898,25942,25993,26000,25985,25962,26005,26003,26016,25963,25965,25896,25858,25805,25823,25826,25789,25755,25751,25726,25689,25614,25637,25604,25556,25470,25439,25372,25383,25253,25223,25142,25069,25007,24918,24868,24743,24667,24606,24592,24523,24424,24313,24201,24071,23978,23844,23711,23597,23414,23239,23103,22970,22847,22687,22541,22440,22310,22197,22043,21933,21753,21628,21469,21369,21233,21118,21026,20913,20827,20726,20639,20548
Net demand,19883,19735,19704,19576,19529,19495,19432,19378,19327,19251,19139,19082,19001,18902,18778,18697,18541,18351,18168,18096,17971,17858,17836,17813,17676,17589,17553,17535,17426,17279,17185,17200,17207,17173,17194,17233,17272,17295,17350,17308,17286,17251,17263,17236,17176,17114,17161,17158,17176,17162,17215,17235,17325,17385,17418,17499,17538,17516,17649,17786,17878,17936,17939,17810,17639,17462,17328,17185,17222,17148,17127,17136,17204,17419,17585,17678,17777,17752,17750,17786,17941,18006,18045,18070,18087,18114,18099,17984,17757,17658,17502,17374,17187,16977,16665,16349,15978,15710,15424,15162,14810,14603,14272,13818,13296,13073,12885,12797,12829,12816,12781,12426,12219,11979,11831,11781,11627,11428,11193,10945,10816,10736,10484,10409,10415,10217,10067,9908,9810,9682,9699,9573,9414,9307,9389,9372,9462,9440,9308,9290,9272,9421,9399,9220,8997,9017,9069,8964,9073,9083,8953,9021,8945,8852,8785,8780,8736,8732,8714,8607,8722,9064,9157,9522,9747,9775,9883,10051,10211,10262,10176,10369,10453,10393,10879,11189,11310,11361,11338,11542,11832,11949,12160,12573,12856,13325,13723,14081,14388,14727,15089,15714,16429,16944,17508,18011,18460,18874,19235,19575,19944,20235,20628,20905,21219,21481,21768,22173,22553,22859,23055,23258,23349,23461,23565,23661,23765,23843,24039,24117,24209,24253,24410,24538,24592,24563,24592,24521,24549,24619,24737,24796,24857,24845,24858,24852,24794,24711,24730,24776,24730,24699,24672,24644,24622,24528,24455,24417,24390,24370,24280,24268,24209,24082,24044,24020,23939,23863,23744,23658,23522,23437,23312,23188,23089,22938,22743,22600,22459,22316,22195,22024,21927,21780,21658,21506,21397,21228,21097,20938,20840,20686,20588,20479,20366,20239,20147,20034,19953
