Net Demand 01/08/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21576,21420,21420,21420,21209,21209,21209,20970,20970,20970,20771,20771,20771,20606,20606,20606,20431,20431,20431,20193,20193,20193,20142,20142,20142,20013,20013,20013,19929,19929,19929,19744,19744,19744,19713,19713,19713,19704,19704,19704,19695,19695,19695,19693,19693,19693,19780,19780,19780,19992,19992,19992,20185,20185,20185,20480,20480,20480,20715,20715,20715,21259,21259,21259,21681,21681,21681,22124,22124,22124,22638,22638,22638,23524,23524,23524,24256,24256,24256,24855,24855,24855,25228,25228,25228,25694,25694,25694,25848,25848,25848,25786,25786,25786,25641,25641,25641,25675,25675,25675,25594,25594,25594,25499,25499,25499,25355,25355,25355,25166,25166,25166,25034,25034,25034,24924,24924,24924,24792,24792,24792,24757,24757,24757,24634,24634,24634,24428,24428,24428,24301,24301,24301,24201,24201,24201,24026,24026,24026,24104,24104,24104,24039,24039,24039,24114,24114,24114,24094,24094,24094,24028,24028,24028,23935,23935,23935,23902,23902,23902,23964,23964,23964,24040,24040,24040,24119,24119,24119,24123,24123,24123,24197,24197,24197,24169,24169,24169,24479,24479,24479,24394,24394,24394,24563,24563,24563,24771,24771,24771,24987,24987,24987,25305,25305,25305,25615,25615,25615,25902,25902,25902,26454,26454,26454,27220,27220,27220,28027,28027,28027,28504,28504,28504,28576,28576,28576,28134,28134,28134,28088,28088,28088,27965,27965,27965,27825,27825,27825,27767,27767,27767,27641,27641,27641,27462,27462,27462,27296,27296,27296,27084,27084,27084,26845,26845,26845,26599,26599,26599,26311,26311,26311,25930,25930,25930,25560,25560,25560,25225,25225,25225,24869,24869,24869,24328,24328,24328,23874,23874,23874,23397,23397,23397,22999,22999,22999,22569,22569,22569,22196,22196,22196,21840,21840,21840,21473,21473,21473
Demand (5 min. avg.),21490,21411,21389,21266,21206,21151,21076,21001,20936,20865,20765,20711,20600,20514,20423,20425,20396,20347,20302,20169,20172,20127,20074,20028,19976,19899,19856,19856,19836,19782,19735,19726,19724,19707,19662,19679,19624,19619,19629,19618,19645,19691,19666,19638,19689,19704,19713,19760,19736,19882,20032,20148,20155,20199,20197,20363,20476,20539,20613,20683,20751,20991,21277,21420,21565,21656,21760,21930,22108,22263,22416,22584,22779,23173,23599,23822,24011,24219,24344,24571,24824,24958,25096,25213,25345,25565,25737,25771,25809,25789,25787,25773,25759,25733,25692,25659,25664,25676,25685,25701,25621,25546,25513,25480,25465,25440,25384,25318,25181,25163,25211,25204,25160,25042,24951,24964,24885,24875,24842,24792,24733,24713,24705,24628,24571,24499,24551,24547,24409,24270,24210,24191,24217,24225,24232,24195,24202,24144,24109,24093,24083,24126,24102,24125,24056,24008,24071,23892,23880,23899,23830,23838,23777,24010,23900,23921,23943,23934,23989,23995,23844,23997,24133,23963,24059,24038,24056,24104,24122,24165,23985,24126,24304,24296,24333,24247,24188,24314,24351,24359,24347,24407,24515,24561,24540,24630,24744,24753,24822,24916,25021,25102,25132,25058,25118,25165,25274,25425,25521,25682,25830,25967,26214,26446,26719,26932,27174,27399,27729,27905,27999,28094,28118,28172,28213,28275,28296,28189,28131,28079,28061,28054,28053,28050,28014,27986,27960,27921,27892,27781,27743,27696,27627,27625,27584,27516,27450,27414,27359,27325,27214,27178,27121,27028,26996,26908,26822,26724,26641,26533,26411,26336,26264,26123,26069,25981,25909,25819,25645,25477,25332,25190,25018,24896,24739,24511,24375,24261,24116,23987,23852,23575,23413,23277,23157,23012,22867,22678,22593,22433,22288,22168,21994,21825,21694,21646,21603,21488,
Net demand,20718,20627,20623,20513,20460,20422,20389,20297,20265,20189,20114,20079,20000,19878,19758,19700,19703,19658,19614,19548,19507,19511,19487,19449,19421,19394,19337,19305,19294,19247,19203,19144,19131,19099,19031,18952,18920,18869,18872,18847,18796,18845,18822,18756,18783,18776,18796,18801,18800,18866,19063,19203,19266,19280,19275,19344,19488,19543,19613,19725,19765,19943,20261,20417,20550,20721,20817,20988,21199,21346,21511,21690,21859,22191,22638,22912,23140,23333,23520,23684,23975,24166,24270,24455,24553,24689,24824,24803,24707,24569,24385,24250,24106,23913,23683,23486,23285,23110,22852,22634,22480,22238,21918,21738,21454,21353,21051,20803,20645,20391,20132,19775,19504,19386,19162,19092,19168,18794,18649,18779,18790,18557,18341,18204,18004,18024,17793,17654,17547,17554,17618,17584,17462,17753,17529,17327,17359,17332,17130,17390,17336,17339,17190,17442,17523,17316,17400,17327,17032,16992,17048,17466,17257,17524,17594,17552,17619,17545,17546,17771,17931,17617,17863,17795,17873,17753,18124,18233,18213,18237,17972,18197,18440,18444,18718,18681,18688,18761,19109,19462,19979,19895,20102,20507,20953,21222,21538,21848,22245,22467,22650,23007,23365,23536,23792,23940,24228,24466,24807,25047,25309,25571,25829,26158,26405,26669,26875,27083,27340,27589,27712,27779,27774,27808,27817,27852,27876,27793,27663,27579,27527,27552,27589,27641,27655,27623,27579,27552,27521,27448,27425,27366,27277,27204,27163,27101,27078,27063,27001,26946,26863,26765,26728,26671,26613,26626,26510,26449,26327,26265,26107,26009,25914,25805,25704,25586,25439,25377,25263,25081,24919,24749,24588,24454,24260,24061,23831,23729,23580,23424,23310,23093,22869,22738,22606,22449,22334,22118,22017,21899,21747,21641,21491,21320,21179,21064,21043,20896,
