Net Demand 04/13/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,19044,18840,18840,18840,18698,18698,18698,18456,18456,18456,18225,18225,18225,18078,18078,18078,17952,17952,17952,17811,17811,17811,17716,17716,17716,17686,17686,17686,17581,17581,17581,17399,17399,17399,17300,17300,17300,17322,17322,17322,17280,17280,17280,17284,17284,17284,17351,17351,17351,17551,17551,17551,17648,17648,17648,17730,17730,17730,17937,17937,17937,18302,18302,18302,18604,18604,18604,18921,18921,18921,19291,19291,19291,19851,19851,19851,20115,20115,20115,20259,20259,20259,20312,20312,20312,20496,20496,20496,20609,20609,20609,20639,20639,20639,20728,20728,20728,20681,20681,20681,21045,21045,21045,20838,20838,20838,20827,20827,20827,20743,20743,20743,20439,20439,20439,20161,20161,20161,20070,20070,20070,19752,19752,19752,19457,19457,19457,19267,19267,19267,19226,19226,19226,19265,19265,19265,19268,19268,19268,19239,19239,19239,19258,19258,19258,19301,19301,19301,19309,19309,19309,19324,19324,19324,19353,19353,19353,19410,19410,19410,19475,19475,19475,19496,19496,19496,19503,19503,19503,19435,19435,19435,19495,19495,19495,19491,19491,19491,19485,19485,19485,19458,19458,19458,19555,19555,19555,19589,19589,19589,19692,19692,19692,19788,19788,19788,19873,19873,19873,19993,19993,19993,20220,20220,20220,20338,20338,20338,20638,20638,20638,21026,21026,21026,21394,21394,21394,21557,21557,21557,21913,21913,21913,22201,22201,22201,22594,22594,22594,23011,23011,23011,23441,23441,23441,23739,23739,23739,24001,24001,24001,24114,24114,24114,24122,24122,24122,23972,23972,23972,23639,23639,23639,23406,23406,23406,23187,23187,23187,22848,22848,22848,22570,22570,22570,22158,22158,22158,21841,21841,21841,21422,21422,21422,20961,20961,20961,20600,20600,20600,20348,20348,20348,20061,20061,20061,19742,19742,19742
Demand (5 min. avg.),18850,18786,18758,18707,18641,18575,18500,18458,18401,18338,18249,18206,18117,18055,18106,18051,17997,17961,17935,17844,17796,17732,17671,17649,17585,17535,17468,17444,17425,17385,17338,17328,17344,17327,17258,17210,17208,17203,17236,17242,17221,17226,17226,17253,17261,17256,17273,17289,17282,17366,17436,17486,17517,17561,17600,17656,17670,17723,17758,17813,17812,18001,18272,18397,18438,18547,18607,18717,18847,18930,19023,19120,19322,19582,19817,19882,19874,19933,19935,19992,20015,20043,20085,20167,20200,20330,20425,20517,20632,20725,20749,20788,20829,20686,20861,20835,20839,20742,20757,20843,20836,20793,20696,20724,20837,20791,20712,20480,20421,20325,20265,20202,20138,20194,20040,19982,19919,19830,19806,19699,19613,19576,19603,19585,19540,19533,19472,19478,19398,19437,19431,19454,19426,19404,19335,19351,19394,19376,19376,19424,19434,19442,19367,19402,19405,19366,19333,19381,19388,19394,19359,19418,19431,19409,19419,19407,19397,19391,19395,19415,19412,19402,19416,19386,19363,19358,19356,19371,19383,19354,19342,19346,19324,19331,19266,19242,19245,19230,19234,19253,19170,19241,19258,19383,19413,19369,19358,19397,19467,19483,19532,19539,19517,19469,19466,19523,19549,19586,19667,19794,19827,19923,19975,20042,20056,20115,20150,20302,20461,20591,20605,20751,20916,21092,21231,21345,21458,21547,21623,21766,21885,22029,22169,22288,22380,22496,22642,22757,22855,22898,22977,23075,23235,23368,23501,23669,23743,23899,23963,24064,24134,24155,24181,24143,24116,24046,24001,23936,23853,23797,23699,23641,23543,23479,23387,23349,23274,23215,23095,23017,22930,22833,22711,22623,22490,22318,22147,22030,21887,21772,21639,21493,21390,21252,21136,21017,20902,20735,20662,20542,20414,20295,20202,20066,19993,19874,19787,19705,19621
Net demand,16422,16362,16375,16341,16257,16183,16109,16038,16018,15940,15810,15690,15549,15382,15306,15286,15222,15164,15098,14988,14863,14737,14517,14307,14024,13792,13619,13481,13452,13432,13402,13378,13326,13292,13218,13128,13146,13197,13277,13323,13339,13293,13219,13174,13143,13121,13110,13182,13205,13281,13324,13341,13322,13315,13426,13468,13530,13600,13705,13915,14073,14280,14633,14820,14883,14949,15053,15150,15277,15459,15543,15727,15855,16138,16489,16641,16609,16692,16686,16704,16672,16596,16470,16357,16230,16099,15896,15662,15326,15146,14833,14604,14350,13954,13619,13325,12928,12479,12003,11629,11244,10908,10619,10521,10542,10511,10379,10067,9861,9647,9468,9262,9073,8951,8668,8515,8390,8245,8186,8133,8078,7813,7684,7720,7771,7768,7757,7529,7414,7391,7303,7300,7384,7214,7534,7572,7438,7377,7366,7328,7262,7205,7281,7354,7343,7428,7305,7180,7122,7162,7064,6978,7060,7063,6895,6903,6922,6778,6644,6704,6711,6688,6721,6866,6941,6959,6895,6922,7057,6912,6676,6362,6363,6438,6407,6403,6445,6454,6366,6367,6562,6347,6301,6386,6569,6582,6589,6728,6789,6781,6835,6976,7175,7351,7646,7700,7837,7811,7653,7908,8131,8109,8413,8771,8835,8959,9209,9317,9876,10145,10375,10793,11350,11971,12313,12796,13240,13819,14408,15020,15551,16018,16546,17082,17593,18044,18512,18986,19312,19560,19757,19970,20232,20438,20606,20749,20894,20990,21105,21178,21228,21244,21256,21179,21096,21008,20904,20790,20660,20564,20451,20353,20233,20120,19975,19892,19819,19742,19603,19538,19431,19307,19202,19074,18957,18818,18638,18482,18350,18264,18144,17997,17853,17743,17609,17522,17426,17320,17243,17155,17047,16971,16916,16911,16892,16897,16927,16830,16853
