Net Demand 07/08/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,23070,22822,22822,22822,22521,22521,22521,22215,22215,22215,21903,21903,21903,21642,21642,21642,21422,21422,21422,21212,21212,21212,21007,21007,21007,20919,20919,20919,20761,20761,20761,20684,20684,20684,20582,20582,20582,20612,20612,20612,20544,20544,20544,20507,20507,20507,20541,20541,20541,20781,20781,20781,20927,20927,20927,21090,21090,21090,21262,21262,21262,21713,21713,21713,22060,22060,22060,22324,22324,22324,22467,22467,22467,23022,23022,23022,23379,23379,23379,23703,23703,23703,24058,24058,24058,24459,24459,24459,24816,24816,24816,24994,24994,24994,25124,25124,25124,25473,25473,25473,25508,25508,25508,25614,25614,25614,25774,25774,25774,25781,25781,25781,25834,25834,25834,25772,25772,25772,25688,25688,25688,25727,25727,25727,25747,25747,25747,25644,25644,25644,25500,25500,25500,25539,25539,25539,25547,25547,25547,25566,25566,25566,25542,25542,25542,25532,25532,25532,25572,25572,25572,25598,25598,25598,25762,25762,25762,25808,25808,25808,25941,25941,25941,26006,26006,26006,26157,26157,26157,26368,26368,26368,26604,26604,26604,26787,26787,26787,27042,27042,27042,27140,27140,27140,27410,27410,27410,27627,27627,27627,27893,27893,27893,28081,28081,28081,28395,28395,28395,28682,28682,28682,28997,28997,28997,29200,29200,29200,29497,29497,29497,29849,29849,29849,30067,30067,30067,30019,30019,30019,30207,30207,30207,30225,30225,30225,30286,30286,30286,30176,30176,30176,30039,30039,30039,29894,29894,29894,29840,29840,29840,29979,29979,29979,30135,30135,30135,30245,30245,30245,30203,30203,30203,29972,29972,29972,29647,29647,29647,29230,29230,29230,28803,28803,28803,28092,28092,28092,27527,27527,27527,26881,26881,26881,26257,26257,26257,25742,25742,25742,25251,25251,25251,24775,24775,24775,24329,24329,24329
Demand (5 min. avg.),23051,22940,22829,22682,22602,22461,22370,22255,22167,22074,21984,21887,21835,21756,21662,21576,21497,21378,21318,21296,21225,21168,21122,21034,20977,20949,20970,20929,20886,20844,20763,20764,20709,20682,20668,20610,20589,20595,20593,20591,20562,20561,20537,20511,20524,20530,20565,20565,20590,20695,20782,20844,20909,20947,20974,21025,21115,21147,21159,21216,21296,21467,21653,21856,22123,22068,22104,22271,22367,22408,22487,22537,22577,22798,23084,23221,23345,23448,23528,23633,23696,23826,23951,24041,24124,24368,24532,24622,24711,24812,24916,25004,25139,25143,25050,25133,25182,25282,25407,25466,25511,25596,25603,25688,25660,25633,25627,25664,25668,25660,25727,25729,25615,25667,25633,25658,25609,25613,25614,25616,25663,25657,25627,25524,25489,25479,25506,25517,25503,25457,25512,25506,25513,25489,25571,25576,25548,25560,25592,25579,25544,25505,25543,25493,25448,25398,25408,25442,25351,25424,25488,25488,25500,25603,25595,25629,25687,25684,25734,25696,25701,25783,25854,25924,25963,26068,26067,26219,26247,26275,26320,26389,26486,26512,26583,26687,26711,26759,26865,26958,27013,27030,27081,27201,27260,27335,27430,27527,27564,27610,27730,27828,27950,27991,27998,28058,28154,28361,28520,28608,28702,28835,28942,29060,29153,29160,29153,29325,29397,29521,29647,29652,29754,29810,29918,30030,30062,29998,29939,29954,30019,30118,30223,30250,30300,30235,30280,30347,30337,30264,30171,30181,30161,30123,30036,30020,30063,30046,30042,30041,30005,29975,29996,30028,30130,30183,30237,30225,30255,30270,30286,30208,30135,30026,30017,29907,29827,29687,29550,29389,29263,29137,28950,28770,28565,28308,28078,27883,27710,27495,27281,27074,26881,26713,26456,26294,26084,25927,25736,25538,25387,25251,25067,24898,24753,24626,24481,24346,
Net demand,19286,19229,19129,18987,18921,18875,18821,18790,18735,18716,18662,18583,18545,18505,18429,18286,18150,18077,17928,17881,17864,17693,17558,17395,17274,17202,17220,17178,17120,17051,16974,16945,16968,16919,16839,16761,16698,16712,16721,16710,16705,16694,16671,16636,16627,16606,16578,16603,16594,16670,16796,16861,16978,17041,17063,17083,17164,17240,17349,17368,17446,17591,17746,17871,18190,18176,18101,18181,18332,18422,18531,18689,18819,18894,19024,18993,18909,18782,18643,18491,18239,18057,17805,17599,17358,17196,17082,16829,16381,16063,15776,15451,15211,14841,14425,14165,14000,13771,13699,13568,13449,13261,13044,12930,12742,12607,12441,12425,12338,12192,12095,12066,11908,11876,11793,11829,11715,11571,11438,11392,11334,11252,11182,10998,10838,10768,10775,10751,10729,10678,10657,10631,10674,10581,10588,10609,10523,10516,10483,10445,10462,10395,10383,10351,10261,10267,10203,10263,10191,10178,10200,10281,10291,10321,10355,10333,10384,10341,10341,10349,10253,10264,10293,10374,10454,10541,10598,10659,10772,10850,10894,10908,10962,10983,11007,11113,11131,11141,11229,11349,11473,11455,11504,11611,11694,11755,11930,12069,12070,12200,12283,12465,12661,12750,12756,12874,12960,13230,13481,13692,13883,14172,14403,14667,14890,15024,15109,15362,15637,15820,16122,16385,16631,16949,17297,17645,17973,18181,18475,18688,19010,19474,19886,20377,20814,21172,21625,22086,22486,22868,23119,23396,23753,24068,24363,24592,24864,25109,25274,25338,25461,25484,25561,25594,25670,25704,25735,25791,25808,25814,25785,25760,25673,25573,25502,25451,25360,25272,25122,24912,24728,24611,24463,24243,24023,23755,23499,23285,23061,22871,22680,22441,22228,22046,21831,21665,21472,21313,21151,20950,20797,20629,20481,20276,20173,20046,19916,19802,
