Net Demand 02/20/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21844,21664,21664,21664,21416,21416,21416,21227,21227,21227,20965,20965,20965,20759,20759,20759,20642,20642,20642,20452,20452,20452,20312,20312,20312,20207,20207,20207,20123,20123,20123,20134,20134,20134,19986,19986,19986,20101,20101,20101,20099,20099,20099,20090,20090,20090,20054,20054,20054,20245,20245,20245,20474,20474,20474,20732,20732,20732,20942,20942,20942,21550,21550,21550,22027,22027,22027,22443,22443,22443,22819,22819,22819,23668,23668,23668,24336,24336,24336,24683,24683,24683,24835,24835,24835,25110,25110,25110,25111,25111,25111,24882,24882,24882,24598,24598,24598,24373,24373,24373,24125,24125,24125,23653,23653,23653,23267,23267,23267,22983,22983,22983,22677,22677,22677,22428,22428,22428,22272,22272,22272,22042,22042,22042,21852,21852,21852,21721,21721,21721,21639,21639,21639,21578,21578,21578,21452,21452,21452,21389,21389,21389,21477,21477,21477,21409,21409,21409,21474,21474,21474,21482,21482,21482,21599,21599,21599,21647,21647,21647,21720,21720,21720,21819,21819,21819,22119,22119,22119,22207,22207,22207,22254,22254,22254,22515,22515,22515,22786,22786,22786,22984,22984,22984,23265,23265,23265,24248,24248,24248,24353,24353,24353,24200,24200,24200,23989,23989,23989,24281,24281,24281,25134,25134,25134,25372,25372,25372,25798,25798,25798,26438,26438,26438,27428,27428,27428,27595,27595,27595,27881,27881,27881,27901,27901,27901,27770,27770,27770,27498,27498,27498,27311,27311,27311,27170,27170,27170,26960,26960,26960,26729,26729,26729,26540,26540,26540,26284,26284,26284,25931,25931,25931,25596,25596,25596,25291,25291,25291,24860,24860,24860,24523,24523,24523,23996,23996,23996,23584,23584,23584,23118,23118,23118,22819,22819,22819,22550,22550,22550,22188,22188,22188,21418,21418,21418,21177,21177,21177
Demand (5 min. avg.),21717,21607,21520,21428,21373,21299,21219,21175,21110,21032,20976,20902,20849,20797,20741,20669,20642,20574,20554,20494,20402,20380,20276,20240,20260,20275,20221,20207,20181,20161,20110,20071,19988,19988,20039,20028,20023,19952,19919,19921,19920,19920,19916,19925,19949,19959,19887,19961,20112,20198,20287,20350,20419,20491,20509,20609,20682,20748,20854,20945,21024,21172,21421,21569,21702,21827,21931,22096,22281,22392,22531,22743,22928,23232,23615,23780,23938,24100,24192,24402,24559,24632,24706,24714,24805,24942,25077,25082,25123,25054,24973,24917,24838,24736,24599,24541,24336,24325,24346,24256,24125,23949,23828,23649,23505,23496,23367,23236,23034,23032,23027,22969,22798,22734,22653,22639,22487,22358,22299,22187,22123,22075,22103,22092,22009,21976,21927,21847,21833,21745,21664,21661,21594,21560,21573,21592,21601,21606,21554,21573,21557,21493,21456,21412,21445,21459,21544,21526,21470,21472,21433,21414,21410,21457,21483,21499,21489,21518,21604,21670,21727,21803,21859,21898,21922,21964,22034,21961,22042,22160,22189,22272,22332,22384,22426,22484,22527,22656,22725,22089,21804,22732,23320,23668,23792,23944,24031,24017,24028,24127,24207,24285,24290,24552,24456,24121,24280,24428,24536,24669,24735,24853,25004,25164,25321,25935,26166,26076,25891,26064,26234,26389,26602,26806,27037,27246,27470,27563,27648,27730,27859,27850,27837,27857,27819,27809,27803,27738,27675,27602,27563,27500,27451,27393,27349,27218,27207,27140,27082,27000,26945,26851,26760,26704,26641,26524,26423,26335,26249,26156,26035,25975,25863,25768,25625,25547,25413,25254,25128,25083,24963,24848,24662,24590,24428,24230,24109,23991,23892,23776,23602,23475,23330,23180,23043,22944,22837,22707,22563,22447,22426,22175,22002,21911,21773,21681,21590,21479,21367
Net demand,21574,21458,21357,21245,21177,21106,21008,20953,20905,20825,20759,20695,20630,20568,20520,20459,20382,20338,20303,20247,20156,20097,19999,19951,19904,19932,19910,19882,19836,19835,19777,19741,19645,19629,19669,19676,19664,19649,19611,19609,19641,19672,19737,19686,19762,19782,19758,19756,19880,19995,20096,20116,20221,20269,20322,20357,20456,20501,20560,20669,20744,20785,21065,21222,21341,21465,21588,21740,21948,22103,22254,22417,22637,22844,23257,23466,23626,23796,23872,23979,24083,24068,23950,23812,23563,23370,23212,22856,22531,22020,21457,20881,20438,19879,19281,18786,18412,17714,17165,16779,16305,15891,15388,14915,14513,14417,14184,13933,13601,13420,13377,13233,13013,12834,12617,12614,12545,12315,12119,11893,11688,11658,11629,11601,11507,11526,11456,11282,11183,11164,11067,11061,11084,11032,11044,11288,11316,11001,10976,11068,11080,11199,11106,11064,10931,11066,11181,11155,11216,10999,10944,10921,11110,11327,11339,11359,11397,11474,11588,11691,11664,11544,11540,11605,11935,11719,12018,11846,11800,11968,12082,12522,12421,12471,12566,12865,13020,13057,13176,13124,12723,13389,14476,14842,15072,15015,15388,15534,15645,16271,16618,17063,17457,17873,18383,18388,18876,19520,20044,20613,21141,21669,22233,22825,23424,24278,24552,25505,25097,25461,25735,26008,26261,26512,26704,26910,27141,27265,27343,27356,27493,27501,27490,27469,27438,27397,27377,27334,27287,27216,27181,27118,27060,26985,26932,26811,26764,26664,26611,26520,26494,26411,26330,26231,26193,26100,26013,25918,25874,25773,25703,25603,25534,25445,25357,25233,25157,25002,24889,24803,24716,24592,24406,24329,24197,24026,23850,23734,23680,23558,23410,23279,23124,23000,22828,22723,22561,22478,22240,22180,22109,21998,21745,21647,21527,21445,21373,21290,21191
