Net Demand 06/06/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,24213,23834,23834,23834,23613,23613,23613,23246,23246,23246,22915,22915,22915,22604,22604,22604,22323,22323,22323,22141,22141,22141,21938,21938,21938,21790,21790,21790,21648,21648,21648,21504,21504,21504,21405,21405,21405,21375,21375,21375,21306,21306,21306,21292,21292,21292,21277,21277,21277,21451,21451,21451,21587,21587,21587,21719,21719,21719,21887,21887,21887,22282,22282,22282,22576,22576,22576,22740,22740,22740,22886,22886,22886,23386,23386,23386,23862,23862,23862,24187,24187,24187,24507,24507,24507,25061,25061,25061,25260,25260,25260,25409,25409,25409,25453,25453,25453,25695,25695,25695,25721,25721,25721,25779,25779,25779,25854,25854,25854,25951,25951,25951,25906,25906,25906,25850,25850,25850,25786,25786,25786,25835,25835,25835,25762,25762,25762,25713,25713,25713,25715,25715,25715,25733,25733,25733,25692,25692,25692,25637,25637,25637,25583,25583,25583,25507,25507,25507,25487,25487,25487,25582,25582,25582,25687,25687,25687,25844,25844,25844,26077,26077,26077,26218,26218,26218,26476,26476,26476,26500,26500,26500,26820,26820,26820,26862,26862,26862,27005,27005,27005,27178,27178,27178,27466,27466,27466,27676,27676,27676,27896,27896,27896,28065,28065,28065,28369,28369,28369,28439,28439,28439,28587,28587,28587,28738,28738,28738,28918,28918,28918,29106,29106,29106,29281,29281,29281,29304,29304,29304,29442,29442,29442,29607,29607,29607,29579,29579,29579,29519,29519,29519,29509,29509,29509,29584,29584,29584,29543,29543,29543,29848,29848,29848,30119,30119,30119,30153,30153,30153,30167,30167,30167,29874,29874,29874,29530,29530,29530,29055,29055,29055,28532,28532,28532,27807,27807,27807,27176,27176,27176,26597,26597,26597,26020,26020,26020,25350,25350,25350,24957,24957,24957,24490,24490,24490,24037,24037,24037
Demand (5 min. avg.),24007,23878,23790,23648,23551,23431,23312,23213,23124,23011,22925,22821,22722,22619,22574,22504,22413,22345,22292,22212,22104,22016,21968,21895,21849,21802,21734,21661,21618,21578,21521,21493,21454,21414,21390,21362,21312,21273,21312,21274,21244,21246,21207,21215,21198,21216,21218,21236,21245,21289,21350,21392,21421,21472,21526,21547,21594,21611,21673,21736,21818,22007,22240,22377,22482,22579,22622,22721,22813,22813,22820,22843,22914,23205,23498,23623,23747,23873,23903,24065,24204,24301,24430,24502,24622,24830,25070,25175,25239,25293,25348,25384,25444,25405,25441,25447,25508,25602,25788,25809,25778,25820,25874,25861,25901,25846,25849,25887,25868,25844,25926,25852,25830,25853,25788,25808,25733,25776,25756,25791,25777,25752,25825,25806,25821,25770,25779,25749,25735,25726,25744,25756,25670,25628,25661,25668,25673,25592,25596,25656,25637,25576,25572,25517,25436,25456,25449,25430,25458,25454,25475,25494,25552,25571,25632,25704,25707,25704,25796,25888,25949,25965,26056,26188,26247,26268,26266,26323,26375,26469,26573,26643,26677,26692,26789,26754,26828,26904,26978,27004,27050,27155,27212,27373,27439,27461,27554,27639,27675,27768,27858,27855,28005,27994,28036,28094,28159,28223,28284,28352,28443,28450,28507,28680,28730,28745,28754,28791,28919,29007,29031,29138,29142,29175,29242,29347,29413,29291,29255,29322,29429,29454,29498,29511,29551,29575,29633,29574,29636,29590,29563,29555,29632,29602,29546,29528,29577,29601,29637,29660,29754,29768,29843,29911,30010,30036,30064,30139,30192,30222,30223,30180,30073,30012,29872,29758,29573,29461,29401,29233,29081,28880,28709,28545,28334,28031,27766,27560,27392,27191,27004,26798,26598,26407,26200,25992,25764,25552,25378,25224,25100,24919,24757,24601,24423,24273,24175,23976,
Net demand,19632,19487,19404,19301,19199,19096,18941,18841,18784,18634,18507,18436,18355,18249,18247,18199,18119,18060,18032,17995,17917,17846,17797,17751,17739,17729,17735,17691,17686,17666,17656,17584,17575,17602,17651,17720,17772,17794,17841,17860,17877,17915,17977,18025,18057,18072,18095,18127,18163,18197,18305,18412,18477,18580,18612,18672,18662,18767,18767,18858,18938,19113,19348,19564,19674,19758,19868,19912,20057,20068,20071,20066,20092,20178,20394,20454,20422,20442,20366,20295,20266,19978,19761,19547,19361,19181,19105,18900,18666,18341,17929,17624,17386,17191,16897,16720,16506,16320,16358,16197,16055,15824,15763,15593,15445,15419,15301,15212,15203,15093,15202,14988,14784,14903,14835,14814,14772,14802,14553,14616,14549,14221,14348,14329,14293,14285,14129,14120,14187,14025,13939,13798,13617,13482,13541,13496,13439,13348,13279,13288,13277,13252,13191,13150,13102,13107,13064,13030,13007,12948,12877,12929,12879,12836,12865,12963,12948,12886,12828,12920,12968,12986,12890,13153,13118,13408,13407,13503,13620,13623,13701,13782,13892,13850,13850,13914,13900,14155,14197,14316,14387,14576,14782,14803,14831,14839,14774,14953,14917,15122,15300,15103,15080,15198,15222,15256,15359,15529,15730,15997,16112,16180,16322,16465,16542,16656,16613,16757,16931,17334,17631,17746,18003,18230,18576,18935,19248,19380,19442,19699,19991,20433,20772,21170,21453,21889,22389,22766,23163,23531,23761,24076,24411,24729,24875,24920,25083,25235,25323,25405,25562,25656,25729,25807,25902,25981,26023,26113,26129,26171,26139,26186,26096,26128,25986,25879,25684,25574,25529,25419,25300,25109,24895,24686,24524,24270,24060,23780,23529,23313,23073,22888,22675,22519,22363,22181,21999,21794,21641,21514,21373,21201,20978,20757,20514,20292,20141,19977,
