Net Demand 06/10/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,23813,23432,23432,23432,23093,23093,23093,22765,22765,22765,22457,22457,22457,22175,22175,22175,21921,21921,21921,21686,21686,21686,21485,21485,21485,21306,21306,21306,21099,21099,21099,20942,20942,20942,20797,20797,20797,20606,20606,20606,20517,20517,20517,20452,20452,20452,20414,20414,20414,20446,20446,20446,20373,20373,20373,20345,20345,20345,20344,20344,20344,20431,20431,20431,20451,20451,20451,20298,20298,20298,20074,20074,20074,20139,20139,20139,20048,20048,20048,20147,20147,20147,20104,20104,20104,20240,20240,20240,20227,20227,20227,20213,20213,20213,20178,20178,20178,20318,20318,20318,20375,20375,20375,20424,20424,20424,20403,20403,20403,20483,20483,20483,20530,20530,20530,20509,20509,20509,20572,20572,20572,20673,20673,20673,20719,20719,20719,20691,20691,20691,20891,20891,20891,20993,20993,20993,21006,21006,21006,21130,21130,21130,21154,21154,21154,21304,21304,21304,21382,21382,21382,21489,21489,21489,21599,21599,21599,21722,21722,21722,21903,21903,21903,22085,22085,22085,22297,22297,22297,22552,22552,22552,22780,22780,22780,22981,22981,22981,23306,23306,23306,23574,23574,23574,23900,23900,23900,24173,24173,24173,24442,24442,24442,24672,24672,24672,25098,25098,25098,25493,25493,25493,25804,25804,25804,26174,26174,26174,26532,26532,26532,26772,26772,26772,27065,27065,27065,27377,27377,27377,27620,27620,27620,27847,27847,27847,28052,28052,28052,28090,28090,28090,28132,28132,28132,28094,28094,28094,28096,28096,28096,28193,28193,28193,28525,28525,28525,28697,28697,28697,28707,28707,28707,28556,28556,28556,28277,28277,28277,27842,27842,27842,27404,27404,27404,26805,26805,26805,26389,26389,26389,25837,25837,25837,25228,25228,25228,24625,24625,24625,24179,24179,24179,23709,23709,23709,23239,23239,23239
Demand (5 min. avg.),23604,23469,23383,23274,23155,23072,22973,22877,22735,22640,22568,22468,22365,22229,22142,22066,21972,21918,21806,21762,21662,21601,21542,21483,21417,21368,21273,21220,21148,21106,21095,21020,20973,20819,20782,20721,20688,20660,20647,20562,20533,20553,20540,20498,20502,20460,20459,20427,20428,20435,20412,20396,20395,20384,20362,20343,20348,20340,20330,20340,20328,20406,20491,20487,20488,20476,20421,20412,20366,20256,20185,20122,20098,20108,20141,20149,20133,20147,20124,20071,20115,20098,20066,20081,20099,20139,20216,20151,20165,20155,20135,20148,20149,20101,20124,20112,20111,20184,20307,20325,20338,20336,20306,20313,20330,20328,20320,20312,20292,20377,20422,20433,20422,20418,20419,20451,20489,20459,20485,20492,20507,20622,20593,20592,20591,20605,20640,20722,20737,20814,20800,20886,20835,20826,20851,20934,20984,21022,21020,21014,21021,21069,21114,21137,21214,21226,21251,21238,21310,21358,21427,21462,21465,21510,21542,21599,21646,21658,21730,21831,21845,21907,21997,22061,22141,22157,22249,22363,22439,22478,22552,22615,22656,22741,22851,22923,23035,23119,23193,23307,23394,23378,23417,23520,23641,23769,23887,23961,24056,24185,24335,24373,24517,24647,24769,24881,25050,25166,25263,25344,25482,25619,25754,25882,25993,26104,26216,26341,26435,26542,26657,26727,26829,26922,27032,27155,27295,27325,27396,27468,27559,27675,27754,27837,27930,27951,27996,28073,28055,28024,28044,28058,28065,28059,28044,28051,28034,28038,28030,28041,28070,28112,28187,28274,28382,28480,28576,28612,28668,28704,28686,28693,28677,28623,28517,28422,28300,28213,28110,27972,27844,27708,27538,27390,27217,27040,26877,26687,26478,26312,26124,25921,25765,25568,25370,25181,25007,24816,24614,24422,24254,24112,23947,23795,23618,23468,23319,23164,
Net demand,19702,19555,19501,19477,19331,19245,19202,19098,19080,18951,18844,18813,18704,18643,18590,18622,18630,18646,18668,18651,18699,18733,18789,18715,18637,18582,18463,18357,18282,18150,18092,18004,17939,17796,17675,17625,17577,17592,17576,17533,17445,17482,17469,17381,17332,17275,17207,17176,17078,17046,16967,16904,16783,16684,16634,16580,16545,16521,16460,16489,16493,16595,16713,16770,16756,16762,16663,16678,16706,16660,16596,16545,16390,16367,16359,16141,15891,15703,15513,15309,15016,14688,14342,14047,13761,13346,13297,12964,12731,12522,12320,12104,11993,11897,11800,11752,11642,11310,11028,10798,10498,10388,10397,10314,10123,9992,10088,10105,10052,9803,9467,9192,9352,9453,9585,9454,9340,9193,9354,9451,9236,9037,8936,9053,9086,9052,8892,8753,8736,8764,8723,8759,8697,8629,8598,8677,8714,8601,8653,8666,8657,8738,8664,8594,8493,8408,8428,8491,8516,8369,8345,8261,8460,8505,8675,8605,8590,8751,8904,8861,8762,8783,8688,8682,8650,8945,8758,8692,8740,8779,8820,9090,9155,9083,8863,8858,8941,9019,9037,9138,9973,10188,10273,10418,10565,10960,10717,10487,10096,9971,10281,10665,10915,11150,11271,11511,11441,11477,11479,11628,11775,12016,12268,12488,12711,12919,13103,13353,13568,13814,14060,14311,14575,14857,15133,15487,15831,16109,16388,16744,17157,17534,17965,18408,18822,19239,19619,20113,20500,20860,21187,21556,21874,22136,22411,22593,22796,22924,23022,23086,23208,23315,23477,23592,23758,23862,23956,24027,24123,24198,24232,24272,24254,24273,24241,24129,24059,23913,23813,23695,23572,23476,23321,23190,22991,22800,22619,22390,22185,22024,21847,21672,21498,21364,21151,20956,20723,20552,20365,20184,20017,19855,19696,19526,19386,19228,19100,18917,
