Net Demand 06/23/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,24098,23826,23826,23826,23448,23448,23448,23176,23176,23176,22860,22860,22860,22580,22580,22580,22273,22273,22273,22029,22029,22029,21810,21810,21810,21689,21689,21689,21447,21447,21447,21256,21256,21256,21142,21142,21142,21059,21059,21059,20928,20928,20928,20843,20843,20843,20759,20759,20759,20739,20739,20739,20679,20679,20679,20622,20622,20622,20599,20599,20599,20694,20694,20694,20687,20687,20687,20562,20562,20562,20368,20368,20368,20379,20379,20379,20344,20344,20344,20399,20399,20399,20511,20511,20511,20537,20537,20537,20631,20631,20631,20746,20746,20746,20854,20854,20854,20902,20902,20902,20985,20985,20985,20964,20964,20964,21108,21108,21108,21385,21385,21385,21536,21536,21536,21628,21628,21628,21659,21659,21659,21774,21774,21774,21800,21800,21800,21849,21849,21849,21920,21920,21920,22118,22118,22118,22245,22245,22245,22328,22328,22328,22559,22559,22559,22893,22893,22893,23129,23129,23129,23334,23334,23334,23606,23606,23606,23992,23992,23992,24299,24299,24299,24574,24574,24574,24990,24990,24990,25452,25452,25452,25823,25823,25823,26156,26156,26156,26450,26450,26450,26996,26996,26996,27404,27404,27404,27784,27784,27784,28150,28150,28150,28530,28530,28530,28892,28892,28892,29196,29196,29196,29459,29459,29459,29902,29902,29902,30266,30266,30266,30676,30676,30676,31002,31002,31002,31238,31238,31238,31428,31428,31428,31484,31484,31484,31525,31525,31525,31649,31649,31649,31470,31470,31470,31309,31309,31309,31212,31212,31212,31020,31020,31020,31126,31126,31126,31197,31197,31197,31104,31104,31104,30839,30839,30839,30338,30338,30338,29816,29816,29816,29275,29275,29275,28593,28593,28593,28043,28043,28043,27462,27462,27462,26777,26777,26777,25975,25975,25975,25392,25392,25392,24912,24912,24912,24391,24391,24391
Demand (5 min. avg.),24126,24034,23964,23874,23770,23664,23513,23408,23295,23139,23014,22861,22771,22684,22712,22635,22515,22425,22346,22246,22188,22085,21984,21921,21850,21787,21776,21733,21635,21578,21498,21518,21442,21362,21313,21239,21175,21151,21131,21095,21045,21038,20980,20930,20884,20858,20792,20738,20727,20630,20645,20635,20637,20614,20596,20608,20608,20637,20632,20630,20653,20691,20732,20768,20775,20783,20770,20726,20649,20581,20521,20415,20364,20387,20431,20415,20438,20431,20382,20354,20339,20338,20326,20270,20350,20509,20542,20602,20593,20553,20619,20580,20573,20612,20648,20627,20684,20712,20780,20865,20878,20939,21011,21024,21054,21077,21110,21179,21206,21297,21316,21364,21378,21375,21384,21436,21488,21483,21488,21504,21515,21534,21581,21621,21637,21689,21724,21721,21751,21792,21810,21878,21943,21899,21980,22005,22101,22155,22226,22299,22364,22438,22496,22564,22659,22734,22812,22836,22940,23044,23125,23220,23315,23428,23550,23596,23738,23772,23855,24008,24140,24271,24418,24535,24656,24777,24897,25026,25225,25256,25359,25431,25537,25702,25822,25952,26072,26225,26358,26533,26661,26769,26932,27084,27210,27371,27519,27687,27866,28001,28147,28175,28300,28283,28359,28454,28563,28726,28897,29040,29182,29333,29473,29625,29743,29839,29956,30084,30252,30376,30524,30629,30761,30880,30981,31080,31166,31138,31183,31234,31320,31404,31467,31521,31561,31629,31703,31734,31716,31739,31696,31607,31580,31520,31440,31364,31318,31285,31178,31111,31095,31039,31019,31066,31131,31121,31099,31109,31134,31100,31002,30899,30811,30662,30557,30463,30362,30233,30071,29896,29740,29584,29400,29292,29065,28816,28623,28452,28194,27974,27801,27586,27343,27129,26856,26605,26417,26215,26071,25913,25715,25467,25290,25126,24957,24772,24633,24426,
Net demand,21519,21481,21506,21446,21443,21350,21250,21138,21065,20940,20851,20720,20588,20542,20549,20519,20441,20335,20240,20161,20096,20048,19944,19877,19827,19774,19761,19751,19738,19726,19717,19700,19709,19663,19657,19647,19605,19588,19618,19591,19561,19541,19500,19453,19401,19380,19358,19272,19281,19150,19148,19178,19170,19199,19191,19230,19287,19338,19362,19396,19433,19472,19511,19560,19593,19614,19628,19621,19606,19565,19547,19405,19246,19130,19039,18854,18638,18408,18068,17771,17430,17119,16799,16406,16097,15890,15602,15254,14893,14478,14114,13928,13463,13180,12905,12618,12452,12305,12164,12123,12018,11902,11843,11761,11700,11604,11461,11403,11355,11340,11320,11280,11266,11193,11138,11121,11129,11060,11031,10941,10906,10848,10859,10794,10782,10755,10755,10722,10652,10637,10624,10626,10620,10576,10588,10616,10672,10719,10763,10828,10867,10954,11012,11082,11152,11237,11294,11323,11403,11512,11596,11686,11790,11890,11990,12049,12141,12214,12270,12374,12473,12615,12754,12863,12979,13111,13254,13324,13497,13603,13661,13740,13812,13980,14107,14250,14341,14498,14582,14784,14971,15080,15229,15418,15529,15602,15726,15886,16051,16223,16357,16430,16584,16584,16587,16706,16911,17041,17209,17376,17548,17709,17896,18120,18280,18420,18592,18767,18998,19212,19490,19705,19908,20156,20449,20772,21053,21338,21570,21939,22331,22731,23236,23699,24143,24654,25115,25556,25979,26391,26695,26964,27238,27527,27818,28003,28208,28395,28499,28518,28566,28624,28619,28679,28717,28725,28672,28634,28636,28608,28517,28360,28276,28134,28029,27936,27830,27696,27531,27350,27187,27023,26810,26651,26460,26150,25962,25801,25587,25341,25071,24854,24515,24265,23986,23674,23432,23197,22996,22811,22582,22321,22041,21861,21619,21366,21155,21003,
