Net Demand 05/25/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21204,20989,20989,20989,20730,20730,20730,20551,20551,20551,20322,20322,20322,20027,20027,20027,19812,19812,19812,19605,19605,19605,19416,19416,19416,19267,19267,19267,19161,19161,19161,19085,19085,19085,18985,18985,18985,18943,18943,18943,18861,18861,18861,18839,18839,18839,18802,18802,18802,18776,18776,18776,18798,18798,18798,18844,18844,18844,18935,18935,18935,19123,19123,19123,19262,19262,19262,19345,19345,19345,19159,19159,19159,19198,19198,19198,19246,19246,19246,19304,19304,19304,19421,19421,19421,19368,19368,19368,19492,19492,19492,19570,19570,19570,19495,19495,19495,19493,19493,19493,19492,19492,19492,19270,19270,19270,19190,19190,19190,19331,19331,19331,19283,19283,19283,19219,19219,19219,19157,19157,19157,19174,19174,19174,19108,19108,19108,19092,19092,19092,19100,19100,19100,19014,19014,19014,19056,19056,19056,19107,19107,19107,18808,18808,18808,18759,18759,18759,18702,18702,18702,18751,18751,18751,18601,18601,18601,18498,18498,18498,18457,18457,18457,18419,18419,18419,18694,18694,18694,18416,18416,18416,18452,18452,18452,18470,18470,18470,18481,18481,18481,18691,18691,18691,18848,18848,18848,19070,19070,19070,19189,19189,19189,19315,19315,19315,19558,19558,19558,19755,19755,19755,20027,20027,20027,20344,20344,20344,20634,20634,20634,20968,20968,20968,21392,21392,21392,21514,21514,21514,21814,21814,21814,22290,22290,22290,22482,22482,22482,22638,22638,22638,22874,22874,22874,23215,23215,23215,23517,23517,23517,23838,23838,23838,24188,24188,24188,24335,24335,24335,24302,24302,24302,24051,24051,24051,23894,23894,23894,23546,23546,23546,23227,23227,23227,22839,22839,22839,22521,22521,22521,22184,22184,22184,21836,21836,21836,21479,21479,21479,21175,21175,21175,20886,20886,20886,20529,20529,20529
Demand (5 min. avg.),21140,21083,21080,21037,20913,20805,20699,20696,20602,20507,20373,20238,20163,20114,20040,19961,19866,19796,19739,19631,19550,19517,19481,19431,19325,19284,19347,19327,19295,19185,19146,19111,19116,19090,19004,18988,18946,18968,18963,18944,18908,18879,18857,18835,18809,18782,18751,18740,18713,18732,18781,18811,18828,18836,18855,18860,18903,18899,18924,18951,19015,19132,19203,19247,19314,19324,19308,19306,19313,19251,19203,19130,19111,19154,19208,19212,19239,19282,19303,19313,19290,19232,19225,19181,19208,19318,19359,19375,19358,19349,19325,19415,19309,19290,19251,19281,19345,19352,19359,19364,19346,19331,19300,19297,19309,19344,19278,19251,19256,19287,19292,19280,19278,19267,19237,19243,19209,19201,19169,19156,19132,19163,19225,19272,19321,19257,19204,19170,19165,19161,19103,19121,19168,19226,19263,19074,18962,18969,18920,18881,18877,18855,18813,18773,18741,18817,18855,18695,18636,18649,18667,18655,18699,18685,18648,18577,18435,18412,18377,18484,18533,18573,18454,18388,18336,18369,18400,18382,18389,18302,18329,18366,18336,18258,18261,18328,18381,18510,18449,18562,18592,18589,18590,18618,18689,18691,18740,18799,18884,18999,19074,19098,19160,19154,19264,19285,19367,19443,19544,19725,19819,19918,19992,20104,20216,20262,20381,20529,20641,20752,20830,20864,20906,21011,21142,21275,21345,21509,21615,21719,21863,21984,22052,22150,22201,22259,22332,22443,22546,22638,22716,22803,22850,22979,23068,23103,23099,23197,23261,23391,23543,23700,23800,23881,23978,24090,24106,24170,24154,24168,24153,24122,24148,24076,23967,23898,23827,23764,23689,23584,23503,23423,23317,23212,23086,22961,22866,22777,22641,22559,22475,22334,22211,22072,21938,21813,21711,21619,21501,21386,21240,21130,20990,20906,20812,20674,20578,20486,
Net demand,17754,17723,17779,17859,17800,17678,17566,17458,17375,17206,17018,16860,16754,16699,16620,16547,16477,16455,16439,16379,16276,16233,16153,16098,16053,16024,16064,16107,16113,16057,15970,15975,16018,16001,15960,15887,15887,15930,15966,15959,15900,15877,15849,15843,15862,15881,15891,15926,15949,15952,16039,16113,16190,16229,16293,16303,16354,16394,16423,16535,16632,16807,16936,17036,17063,17111,17105,17085,17138,17139,17145,17074,16967,16915,16885,16772,16669,16513,16276,15947,15567,15142,14782,14506,14498,14078,13640,13298,12917,12695,12456,12470,12318,12001,11855,11628,11277,10626,10106,9924,9935,9932,9782,9723,9638,9595,9535,9395,9338,9320,9082,8854,8724,8847,8929,8928,8804,8751,8832,8662,8525,8357,8148,7673,7489,7600,7698,7712,7770,7807,7573,7327,7221,7226,7259,7567,7486,7325,7402,7266,7213,7377,7685,7638,7532,7288,7177,7432,7652,7767,7632,7499,7386,7236,7150,7426,7688,7641,7556,7250,7104,7298,7994,8014,7643,7580,7469,7454,7455,7749,7668,7682,8037,8231,8409,8288,8184,8135,8462,8557,8480,8397,8439,8546,8710,8710,8559,8470,8345,8283,8412,8592,8562,8787,8896,9115,9362,9537,9281,9157,9169,9431,9625,9814,10219,10222,10381,10736,10949,11075,11147,11311,11543,11958,12436,12930,13448,13702,14101,14351,14665,14944,15133,15394,15778,16222,16752,17241,17696,18127,18487,18840,19081,19219,19466,19639,19785,20053,20255,20416,20521,20616,20743,20870,20939,21004,20996,21021,21027,20993,21026,21012,21031,21043,20971,20900,20786,20707,20647,20589,20494,20426,20329,20209,20140,19980,19890,19878,19743,19695,19643,19461,19297,19179,19070,18921,18845,18761,18683,18560,18480,18341,18248,18095,17950,17787,17637,17516,
