Net Demand 04/15/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,20219,20063,20063,20063,19863,19863,19863,19649,19649,19649,19469,19469,19469,19266,19266,19266,19102,19102,19102,19007,19007,19007,18893,18893,18893,18861,18861,18861,18733,18733,18733,18672,18672,18672,18657,18657,18657,18685,18685,18685,18714,18714,18714,18736,18736,18736,18807,18807,18807,18989,18989,18989,19161,19161,19161,19322,19322,19322,19597,19597,19597,20140,20140,20140,20550,20550,20550,20909,20909,20909,21337,21337,21337,22181,22181,22181,22691,22691,22691,22936,22936,22936,23149,23149,23149,23548,23548,23548,23869,23869,23869,23822,23822,23822,23663,23663,23663,23735,23735,23735,23869,23869,23869,23875,23875,23875,24008,24008,24008,23828,23828,23828,23758,23758,23758,23581,23581,23581,23399,23399,23399,23172,23172,23172,22948,22948,22948,22838,22838,22838,22725,22725,22725,22499,22499,22499,22541,22541,22541,22417,22417,22417,22370,22370,22370,22248,22248,22248,22263,22263,22263,22210,22210,22210,22335,22335,22335,22407,22407,22407,22482,22482,22482,22536,22536,22536,22596,22596,22596,22776,22776,22776,22796,22796,22796,22951,22951,22951,23130,23130,23130,23116,23116,23116,23262,23262,23262,23371,23371,23371,23584,23584,23584,23779,23779,23779,23963,23963,23963,24072,24072,24072,24210,24210,24210,24306,24306,24306,24546,24546,24546,24902,24902,24902,25271,25271,25271,25214,25214,25214,25361,25361,25361,25432,25432,25432,25602,25602,25602,26097,26097,26097,26527,26527,26527,27062,27062,27062,27334,27334,27334,27421,27421,27421,27222,27222,27222,26891,26891,26891,26543,26543,26543,26968,26968,26968,27055,27055,27055,26816,26816,26816,25033,25033,25033,24502,24502,24502,23980,23980,23980,23422,23422,23422,23014,23014,23014,22596,22596,22596,22085,22085,22085,21772,21772,21772,21396,21396,21396
Demand (5 min. avg.),20184,20137,20051,19974,19909,19829,19752,19673,19569,19513,19446,19386,19334,19284,19256,19212,19158,19112,19090,19058,19009,18974,18878,18877,18852,18861,18847,18812,18776,18776,18798,18736,18696,18693,18637,18674,18726,18703,18701,18677,18690,18687,18719,18726,18695,18705,18694,18782,18831,18897,18961,19066,19126,19196,19234,19279,19316,19380,19492,19596,19769,19911,20143,20254,20387,20513,20628,20715,20828,20973,21121,21387,21592,21857,22165,22322,22506,22582,22631,22730,22791,22864,22961,23113,23208,23263,23464,23585,23606,23609,23590,23623,23675,23686,23698,23699,23749,23848,23909,23983,24089,24081,23996,23928,23969,23890,23851,23872,23800,23741,23694,23722,23646,23609,23571,23435,23377,23340,23291,23165,23173,23142,23172,23069,23046,22967,22979,22811,22794,22705,22730,22744,22622,22623,22608,22548,22619,22575,22462,22421,22420,22419,22450,22429,22415,22416,22352,22281,22270,22329,22381,22347,22274,22328,22417,22400,22362,22401,22483,22522,22489,22511,22492,22596,22649,22673,22657,22687,22732,22737,22847,22865,22912,22983,22959,22947,22997,22973,23014,23066,23146,23138,23197,23205,23293,23309,23362,23467,23537,23586,23673,23680,23680,23655,23688,23747,23763,23826,23901,23967,24049,24128,24224,24314,24399,24457,24553,24694,24795,24835,24882,24954,25032,25175,25216,25221,25241,25266,25285,25344,25397,25427,25481,25577,25577,25664,25722,25799,25913,26010,26094,26201,26330,26476,26630,26808,26953,27025,27119,27177,27195,27116,27109,27130,27088,27002,26896,26844,26781,26699,26594,26511,26390,26290,26202,26070,25964,25879,25795,25695,25482,25370,25225,25061,24906,24596,24376,24297,24169,23981,23790,23648,23535,23328,23123,22922,22727,22644,22568,22406,22245,22072,21998,21850,21713,21597,21410,21292,
Net demand,16815,16707,16677,16551,16480,16374,16257,16178,16086,15989,15908,15860,15808,15755,15757,15688,15647,15568,15553,15537,15527,15546,15483,15514,15534,15582,15680,15645,15619,15627,15749,15719,15707,15660,15652,15691,15739,15740,15746,15746,15759,15770,15709,15742,15693,15669,15665,15701,15768,15855,15971,16116,16248,16342,16426,16493,16519,16566,16646,16719,16840,16955,17141,17301,17407,17510,17610,17667,17752,17875,18047,18201,18399,18586,18839,19087,19257,19458,19533,19609,19599,19497,19371,19273,19260,19077,18790,18771,18600,18414,18251,17946,17692,17252,16805,16483,15945,15518,15430,14966,14513,14114,13869,13308,13099,13124,12966,12880,12870,12395,12329,12238,11951,11709,11551,11457,11248,11114,10956,10883,10851,10867,10904,10956,10927,10792,10653,10957,11066,10963,10738,10776,10975,11126,11276,11148,10722,10694,10536,10372,10114,9719,9619,9937,10392,10415,10431,10418,10502,10197,10189,10465,10568,10479,10649,10631,10546,10487,10158,10062,9833,9817,9792,9900,9993,9989,10036,10094,10074,10262,9966,9894,10043,9999,10011,10084,10037,9859,10039,10136,10209,10295,10642,10861,11103,11313,11367,11512,11741,11866,11967,11960,12143,12224,12394,12527,12668,13031,13138,13433,13682,14016,14378,14780,15277,15540,15732,15925,16075,16241,16519,16740,17101,17563,18005,18399,18645,18883,19145,19607,19936,20341,20751,21203,21556,21906,22162,22377,22573,22786,22969,23127,23321,23517,23735,23941,24119,24242,24376,24449,24518,24507,24545,24600,24591,24548,24430,24374,24324,24280,24241,24181,24004,23929,23856,23708,23610,23558,23449,23419,23249,23142,22980,22827,22648,22364,22047,21878,21704,21505,21335,21124,20950,20726,20424,20202,19936,19749,19637,19495,19288,19068,18943,18754,18573,18393,18218,18012,
