Net Demand 01/11/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21800,21486,21486,21486,21266,21266,21266,20978,20978,20978,20722,20722,20722,20487,20487,20487,20346,20346,20346,20129,20129,20129,19965,19965,19965,19829,19829,19829,19715,19715,19715,19627,19627,19627,19554,19554,19554,19466,19466,19466,19435,19435,19435,19403,19403,19403,19363,19363,19363,19465,19465,19465,19551,19551,19551,19608,19608,19608,19719,19719,19719,19979,19979,19979,20099,20099,20099,20349,20349,20349,20583,20583,20583,21022,21022,21022,21329,21329,21329,21609,21609,21609,21706,21706,21706,21950,21950,21950,22099,22099,22099,22110,22110,22110,22130,22130,22130,22194,22194,22194,22145,22145,22145,22038,22038,22038,21762,21762,21762,21694,21694,21694,21452,21452,21452,21212,21212,21212,21014,21014,21014,20757,20757,20757,20546,20546,20546,20187,20187,20187,19950,19950,19950,19727,19727,19727,19577,19577,19577,19491,19491,19491,19423,19423,19423,19323,19323,19323,19121,19121,19121,19070,19070,19070,18998,18998,18998,18969,18969,18969,18997,18997,18997,19019,19019,19019,19103,19103,19103,19193,19193,19193,19283,19283,19283,19432,19432,19432,19867,19867,19867,20108,20108,20108,20537,20537,20537,20822,20822,20822,21295,21295,21295,21675,21675,21675,22169,22169,22169,22770,22770,22770,23181,23181,23181,24233,24233,24233,25125,25125,25125,25301,25301,25301,25437,25437,25437,25399,25399,25399,25491,25491,25491,25420,25420,25420,25352,25352,25352,25348,25348,25348,25254,25254,25254,25087,25087,25087,24990,24990,24990,24910,24910,24910,24742,24742,24742,24579,24579,24579,24396,24396,24396,24232,24232,24232,24092,24092,24092,23818,23818,23818,23532,23532,23532,23196,23196,23196,22883,22883,22883,22511,22511,22511,22169,22169,22169,21887,21887,21887,21564,21564,21564,21276,21276,21276,20998,20998,20998
Demand (5 min. avg.),21536,21505,21430,21358,21253,21161,21082,20981,20911,20825,20754,20706,20643,20593,20501,20444,20384,20317,20243,20189,20133,20070,20011,19939,19895,19849,19807,19790,19739,19704,19646,19633,19607,19561,19520,19505,19470,19465,19476,19469,19434,19402,19398,19388,19408,19395,19390,19393,19425,19419,19487,19498,19516,19522,19548,19597,19632,19633,19665,19687,19742,19892,19997,20080,20137,20171,20207,20295,20388,20452,20512,20569,20681,20878,21043,21165,21227,21330,21419,21511,21589,21638,21692,21742,21756,21916,22023,22027,22061,22090,22106,22090,22081,22084,22098,22029,22086,22118,22151,22118,22069,22025,21960,21906,21877,21868,21764,21754,21654,21612,21558,21488,21386,21323,21253,21147,21067,20973,20929,20821,20755,20687,20602,20525,20462,20386,20310,20206,20115,20075,19965,19831,19791,19759,19697,19634,19631,19612,19481,19462,19437,19423,19327,19338,19254,19230,19137,19120,19087,19071,19018,19007,19017,19027,18969,18996,18994,19009,18981,18974,18979,18974,18962,19005,18991,19037,19057,19077,19118,19138,19176,19207,19306,19361,19468,19556,19668,19741,19826,19935,20023,20115,20207,20276,20392,20489,20648,20748,20902,21035,21150,21299,21381,21505,21645,21845,22026,21947,22118,22369,22587,22796,23037,23220,23479,23768,24084,24394,24674,24916,25067,25221,25293,25363,25386,25448,25470,25508,25494,25551,25515,25534,25467,25504,25470,25452,25414,25446,25428,25375,25365,25305,25260,25240,25188,25173,25137,25092,25041,25027,24972,24911,24866,24834,24788,24720,24661,24620,24582,24541,24510,24442,24392,24332,24261,24147,24090,24048,23979,23884,23792,23709,23617,23517,23388,23239,23082,23031,22928,22836,22723,22612,22505,22391,22267,22177,22081,21911,21757,21684,21577,21462,21371,21287,21194,21065,20987,20900,20788
Net demand,20331,20251,20177,20046,19965,19869,19775,19680,19599,19558,19509,19490,19456,19396,19347,19261,19204,19108,18973,18838,18719,18605,18462,18316,18139,18041,17885,17855,17794,17771,17681,17670,17630,17565,17499,17462,17454,17432,17422,17443,17416,17372,17355,17338,17345,17379,17404,17425,17462,17519,17624,17628,17649,17642,17632,17659,17697,17708,17789,17847,17951,18011,18190,18263,18293,18299,18292,18313,18333,18350,18420,18505,18575,18757,18912,19004,19039,19108,19151,19273,19389,19498,19594,19592,19615,19623,19581,19446,19166,19032,18821,18544,18223,18011,17640,17262,16834,16491,16099,15730,15259,14758,14289,13853,13421,13143,12894,12596,12873,12854,12739,12253,11797,11510,11467,11603,11543,11562,11507,11232,11381,11368,11251,11063,10745,10668,10596,10596,10578,10718,10718,10612,10621,10904,10862,10724,10721,10790,10723,10663,10561,10497,10449,10377,10200,10124,10161,10187,10273,10437,10496,10389,10107,10085,10140,10272,10216,10234,10189,10047,10274,10418,10253,10214,10230,10344,10371,10474,10476,10525,10574,10625,10660,10704,10528,10332,10550,10691,10622,10713,11136,11877,12191,12382,12688,12705,12873,13187,13638,14074,14597,15058,15557,16020,16529,17090,17625,18160,18429,18835,19239,19630,19953,20210,20514,20836,21096,21459,21786,22058,22256,22341,22456,22534,22518,22595,22573,22675,22707,22815,22851,22852,22836,22856,22861,22793,22731,22734,22751,22735,22681,22661,22608,22599,22603,22592,22599,22630,22588,22577,22586,22520,22440,22487,22455,22436,22359,22321,22264,22172,22136,22072,21973,21906,21782,21631,21494,21409,21406,21320,21254,21151,21039,20849,20663,20455,20259,20133,20126,20068,20021,19976,19863,19756,19721,19592,19493,19414,19383,19350,19421,19444,19477,19489,19453,19342,19311,19346,19406
