Net Demand 04/29/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,23261,22867,22867,22867,22659,22659,22659,22258,22258,22258,21927,21927,21927,21634,21634,21634,21421,21421,21421,21082,21082,21082,20803,20803,20803,20647,20647,20647,20516,20516,20516,20342,20342,20342,20283,20283,20283,20250,20250,20250,20146,20146,20146,20102,20102,20102,20094,20094,20094,20200,20200,20200,20244,20244,20244,20374,20374,20374,20506,20506,20506,20842,20842,20842,21065,21065,21065,21343,21343,21343,21539,21539,21539,22016,22016,22016,22038,22038,22038,22029,22029,22029,22126,22126,22126,22376,22376,22376,22461,22461,22461,22329,22329,22329,22266,22266,22266,22503,22503,22503,22613,22613,22613,22574,22574,22574,22581,22581,22581,22540,22540,22540,22531,22531,22531,22574,22574,22574,22591,22591,22591,22839,22839,22839,22892,22892,22892,22974,22974,22974,23034,23034,23034,22952,22952,22952,23096,23096,23096,23216,23216,23216,23403,23403,23403,23494,23494,23494,23681,23681,23681,23784,23784,23784,24053,24053,24053,24334,24334,24334,24465,24465,24465,24652,24652,24652,25103,25103,25103,25170,25170,25170,25396,25396,25396,25430,25430,25430,25641,25641,25641,25720,25720,25720,26242,26242,26242,26075,26075,26075,26647,26647,26647,26906,26906,26906,27236,27236,27236,27378,27378,27378,27635,27635,27635,27812,27812,27812,28058,28058,28058,28302,28302,28302,27985,27985,27985,27671,27671,27671,27890,27890,27890,27880,27880,27880,27967,27967,27967,27830,27830,27830,27846,27846,27846,28022,28022,28022,28362,28362,28362,28350,28350,28350,28238,28238,28238,27943,27943,27943,27535,27535,27535,27262,27262,27262,26925,26925,26925,26640,26640,26640,26159,26159,26159,25581,25581,25581,25216,25216,25216,24763,24763,24763,24250,24250,24250,23743,23743,23743,23346,23346,23346,22926,22926,22926,22563,22563,22563
Demand (5 min. avg.),23085,22940,22889,22756,22650,22518,22420,22316,22181,22124,22013,21900,21784,21611,21539,21479,21357,21288,21189,21111,21014,20934,20894,20831,20768,20719,20721,20671,20618,20580,20542,20440,20438,20370,20329,20288,20265,20250,20255,20207,20201,20180,20161,20126,20112,20090,20100,20069,20091,20168,20250,20249,20282,20287,20302,20316,20340,20386,20396,20406,20480,20730,20843,20907,20984,21059,21130,21229,21302,21366,21435,21462,21558,21758,21896,21941,21972,21948,21919,21929,21938,21972,21995,22017,22033,22136,22179,22200,22220,22258,22241,22281,22327,22343,22359,22398,22398,22458,22583,22608,22638,22601,22568,22571,22483,22450,22438,22367,22360,22418,22537,22578,22522,22540,22521,22780,22754,22786,22724,22757,22764,22772,22760,22775,22832,22843,22765,22774,22828,22735,22765,22867,22932,22906,22905,22966,23092,23100,23131,23198,23271,23332,23410,23455,23479,23580,23239,23350,23592,23694,23753,23898,23913,23982,24005,24128,24196,24236,24285,24432,24527,24688,24690,24721,24764,24885,24962,25004,24943,24928,25018,25143,25269,25254,25123,25188,25291,25343,25585,25762,25909,25950,25924,25922,26030,26148,26248,26379,26494,26648,26768,26796,26831,26856,26899,27074,27142,27316,27412,27449,27586,27619,27738,27852,27863,27750,27504,27511,27589,27646,27628,27574,27669,27704,27821,27835,27847,27761,27692,27784,27832,27910,27920,27965,27963,27961,27897,27886,27867,27835,27804,27835,27864,27925,27977,27982,28018,28076,28121,28174,28203,28198,28223,28216,28208,28133,28046,28023,27946,27815,27741,27645,27529,27463,27355,27233,27143,27029,26875,26756,26627,26498,26319,26184,26069,25842,25678,25482,25348,25178,25020,24846,24692,24504,24325,24201,24056,23863,23720,23601,23446,23311,23148,23027,22916,22778,22623,22612,
Net demand,21693,21530,21482,21423,21318,21172,21091,21035,20956,20919,20814,20699,20534,20306,20143,20059,19953,19886,19843,19817,19773,19695,19670,19645,19564,19493,19491,19506,19480,19469,19476,19398,19394,19402,19367,19318,19286,19274,19237,19220,19141,19133,19030,19026,18952,18929,18947,18981,19028,19124,19238,19279,19334,19352,19366,19425,19507,19510,19511,19468,19491,19634,19789,19800,19789,19902,19955,20054,20149,20239,20303,20362,20389,20503,20652,20650,20600,20432,20267,20055,19827,19578,19312,18896,18531,18148,17732,17349,16920,16624,16237,15860,15441,15138,14942,14661,14350,13992,13797,13755,13666,13573,13486,13314,13074,12793,12707,12643,12454,12342,12254,12393,12219,12022,11840,11870,12066,11875,11763,11942,11760,11626,11552,11525,11592,11616,11442,11517,11553,11367,11414,11349,11361,11232,11273,11492,11458,11714,11872,11840,12081,12080,11809,11735,11737,11606,11295,11119,11383,11680,11723,11811,11948,12087,11974,12079,12273,12310,12512,12701,12885,12778,12845,13059,13150,13116,13112,13260,13467,13589,13747,13935,14036,14118,14214,14572,14663,14613,14897,15387,15357,15201,15491,15418,15656,15807,16004,16217,16333,16409,17224,17927,18412,18813,19138,19445,19670,20145,20536,20506,20492,20456,20535,20309,19888,19892,19865,20143,20142,19760,19712,20056,20433,20614,21090,21656,21869,21927,22128,22355,22659,23121,23568,23845,24064,24279,24337,24420,24533,24572,24579,24599,24594,24616,24650,24677,24734,24788,24828,24855,24869,24846,24907,24874,24832,24687,24613,24555,24445,24373,24282,24246,24172,24091,24015,23951,23879,23792,23648,23513,23367,23219,23095,22985,22900,22724,22524,22412,22296,22130,21962,21754,21529,21300,21080,20827,20639,20440,20297,20161,20009,19813,19587,19365,19288,19161,18999,18899,
