Net Demand 07/07/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,33188,32538,32538,32538,31915,31915,31915,31219,31219,31219,30660,30660,30660,30110,30110,30110,29634,29634,29634,29243,29243,29243,28791,28791,28791,28437,28437,28437,28025,28025,28025,27666,27666,27666,27367,27367,27367,27091,27091,27091,26832,26832,26832,26621,26621,26621,26431,26431,26431,26380,26380,26380,26288,26288,26288,26144,26144,26144,26132,26132,26132,26221,26221,26221,26239,26239,26239,26207,26207,26207,25937,25937,25937,25927,25927,25927,25949,25949,25949,26184,26184,26184,26432,26432,26432,26882,26882,26882,27246,27246,27246,27586,27586,27586,27968,27968,27968,28592,28592,28592,29015,29015,29015,29546,29546,29546,30085,30085,30085,30673,30673,30673,31243,31243,31243,31767,31767,31767,32368,32368,32368,32895,32895,32895,33514,33514,33514,34082,34082,34082,34609,34609,34609,35171,35171,35171,35678,35678,35678,36151,36151,36151,36697,36697,36697,36990,36990,36990,37377,37377,37377,37743,37743,37743,38158,38158,38158,38364,38364,38364,38672,38672,38672,38986,38986,38986,39279,39279,39279,39402,39402,39402,39682,39682,39682,39784,39784,39784,40020,40020,40020,40265,40265,40265,40567,40567,40567,40644,40644,40644,40910,40910,40910,40988,40988,40988,41170,41170,41170,41270,41270,41270,41312,41312,41312,41474,41474,41474,41638,41638,41638,41544,41544,41544,41434,41434,41434,41234,41234,41234,41100,41100,41100,41008,41008,41008,40798,40798,40798,40547,40547,40547,40312,40312,40312,39773,39773,39773,39493,39493,39493,39297,39297,39297,39136,39136,39136,39122,39122,39122,38830,38830,38830,38298,38298,38298,37831,37831,37831,37399,37399,37399,36712,36712,36712,35833,35833,35833,35365,35365,35365,34752,34752,34752,34014,34014,34014,33147,33147,33147,32528,32528,32528,31753,31753,31753,31058,31058,31058
Demand (5 min. avg.),32987,32752,32514,32309,32132,31837,31648,31429,31252,31055,30872,30686,30496,30284,30144,30002,29853,29728,29530,29368,29266,29093,28976,28812,28667,28514,28389,28255,28164,28012,27885,27805,27694,27569,27461,27360,27241,27182,27063,27040,26956,26865,26783,26701,26655,26599,26523,26444,26387,26380,26383,26339,26291,26252,26219,26195,26169,26135,26084,26093,26115,26155,26203,26214,26245,26254,26245,26189,26147,26072,25987,25900,25878,25938,26010,26031,26028,26083,26165,26224,26227,26297,26354,26471,26549,26710,26903,27024,27135,27220,27295,27447,27612,27692,27764,27951,28119,28371,28556,28730,28955,29119,29288,29395,29613,29744,29940,30046,30206,30450,30661,30921,31074,31216,31377,31545,31725,31899,32069,32233,32438,32695,32925,33121,33342,33490,33694,33868,34024,34200,34371,34573,34766,34921,35140,35303,35487,35645,35777,35972,36209,36337,36416,36589,36693,36845,36926,37056,37214,37317,37445,37610,37746,37873,37928,38086,38171,38242,38362,38467,38576,38677,38769,38872,38949,39038,39108,39189,39225,39309,39388,39441,39514,39544,39603,39705,39812,39892,40009,40077,40160,40258,40316,40356,40361,40405,40451,40584,40664,40737,40802,40862,40896,40924,41012,41065,41073,41155,41183,41165,41237,41340,41396,41446,41436,41407,41361,41406,41480,41468,41450,41415,41448,41498,41458,41448,41446,41326,41288,41251,41240,41195,41186,41142,41079,41027,40946,40884,40853,40806,40733,40602,40446,40321,40188,40064,39931,39827,39714,39637,39500,39305,39241,39195,39181,39208,39198,39138,39045,38993,38912,38819,38703,38471,38347,38186,38059,37935,37770,37551,37369,37168,36968,36794,36555,36218,36101,35909,35683,35532,35223,34948,34734,34502,34271,34011,33713,33425,33208,32992,32777,32510,32248,31978,31721,31582,31318,31149,
Net demand,30119,29870,29670,29478,29297,29079,28889,28714,28512,28361,28179,27983,27825,27611,27414,27260,27135,27015,26825,26665,26594,26505,26387,26242,26171,26026,25897,25769,25690,25629,25471,25382,25316,25242,25164,25092,25035,24976,24874,24863,24813,24782,24740,24703,24652,24639,24622,24601,24586,24607,24622,24627,24631,24667,24655,24647,24633,24638,24672,24670,24727,24824,24885,24886,24868,24864,24862,24888,24838,24777,24710,24596,24609,24666,24737,24726,24635,24514,24396,24261,24206,24093,24033,23955,23926,23953,23875,23762,23507,23362,23342,23127,23028,22985,22848,22880,22908,22896,22969,23058,22758,22824,22855,22698,22716,22791,22785,22918,22966,22979,22986,23090,23097,23265,23311,23305,23371,23598,23769,23932,24252,24477,24646,24812,25008,25129,25159,25322,25414,25515,25546,25727,25817,25884,25982,26125,26184,26335,26500,26618,26911,27051,27112,27238,27253,27364,27391,27479,27642,27740,27815,27965,28106,28122,28298,28617,28748,28753,28761,28936,29037,29126,29272,29400,29508,29682,29774,29759,29825,29936,29992,30153,30342,30522,30759,30994,31522,31949,31813,31555,31525,31395,31385,31412,31468,31529,31770,31940,32003,31957,32021,31981,32014,32364,32982,32688,32302,32558,32556,32752,32628,32666,32705,32733,32817,32822,32892,32854,32945,33113,33366,33633,33950,34192,34284,34363,34484,34689,34791,35015,35156,35187,35252,35395,35514,35658,35929,36118,36304,36590,36746,36788,36765,36850,36865,36874,36818,36809,36733,36712,36638,36465,36370,36279,36242,36248,36208,36152,36044,35935,35875,35726,35589,35398,35216,35064,34846,34681,34499,34255,34012,33858,33647,33457,33246,32957,32733,32544,32360,32156,31874,31603,31332,31220,31024,30784,30575,30271,30099,29866,29700,29475,29220,28951,28701,28579,28364,28185,
