Net Demand 05/11/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,23493,23067,23067,23067,22959,22959,22959,22523,22523,22523,22146,22146,22146,21910,21910,21910,21603,21603,21603,21391,21391,21391,21201,21201,21201,21042,21042,21042,20940,20940,20940,20829,20829,20829,20715,20715,20715,20676,20676,20676,20628,20628,20628,20609,20609,20609,20600,20600,20600,20783,20783,20783,20897,20897,20897,21054,21054,21054,21256,21256,21256,21644,21644,21644,22078,22078,22078,22359,22359,22359,22659,22659,22659,23273,23273,23273,23603,23603,23603,23937,23937,23937,24329,24329,24329,24803,24803,24803,25044,25044,25044,25069,25069,25069,25080,25080,25080,25309,25309,25309,25330,25330,25330,25232,25232,25232,25144,25144,25144,25103,25103,25103,25143,25143,25143,25302,25302,25302,25252,25252,25252,25361,25361,25361,25295,25295,25295,25268,25268,25268,25203,25203,25203,25103,25103,25103,25041,25041,25041,24963,24963,24963,24815,24815,24815,24758,24758,24758,24628,24628,24628,24644,24644,24644,24739,24739,24739,24736,24736,24736,24831,24831,24831,24858,24858,24858,24868,24868,24868,24875,24875,24875,24911,24911,24911,24847,24847,24847,24854,24854,24854,24917,24917,24917,25024,25024,25024,25177,25177,25177,25209,25209,25209,25317,25317,25317,25387,25387,25387,25550,25550,25550,25709,25709,25709,25771,25771,25771,25751,25751,25751,26060,26060,26060,26200,26200,26200,26295,26295,26295,26447,26447,26447,26577,26577,26577,26784,26784,26784,26962,26962,26962,27130,27130,27130,27338,27338,27338,27745,27745,27745,28046,28046,28046,28078,28078,28078,28083,28083,28083,27873,27873,27873,27640,27640,27640,27438,27438,27438,27118,27118,27118,26738,26738,26738,26188,26188,26188,25834,25834,25834,25426,25426,25426,24951,24951,24951,24429,24429,24429,24103,24103,24103,23685,23685,23685,23242,23242,23242
Demand (5 min. avg.),23178,23138,23149,23029,22885,22762,22632,22493,22350,22281,22218,22154,22102,21952,21873,21700,21625,21601,21539,21422,21417,21317,21193,21178,21173,21131,21102,21012,20997,20928,20938,20858,20822,20783,20739,20735,20703,20667,20702,20670,20629,20621,20619,20597,20579,20612,20621,20612,20639,20697,20766,20814,20869,20912,20934,20982,21069,21118,21158,21196,21323,21550,21735,21878,21951,22031,22100,22229,22423,22519,22638,22679,22791,23053,23330,23459,23542,23616,23665,23823,23997,24095,24168,24359,24476,24623,24844,24929,24973,25002,25063,25070,25113,25082,25103,25155,25096,25080,25159,25152,25105,25057,25048,25096,25130,25073,25066,25076,25007,25167,25229,25161,25281,25356,25304,25246,25259,25307,25273,25287,25309,25303,25295,25271,25317,25292,25216,25255,25248,25182,25178,25183,25111,25063,25072,25049,25041,24999,25021,24944,24937,24879,24896,24848,24718,24729,24649,24649,24615,24623,24649,24599,24693,24684,24665,24671,24723,24729,24727,24767,24816,24804,24822,24812,24847,24809,24855,24852,24867,24870,24843,24864,24839,24874,24805,24803,24766,24846,24864,24857,24837,24870,24917,24956,25007,25118,25058,25158,25120,25092,25162,25228,25266,25283,25341,25351,25401,25476,25515,25544,25595,25669,25717,25764,25775,25704,25748,25885,25912,26025,26083,26115,26151,26198,26266,26330,26419,26331,26261,26347,26429,26443,26550,26624,26686,26757,26821,26882,26952,26929,26994,27078,27154,27140,27212,27303,27408,27517,27637,27776,27808,27854,27928,28017,28096,28126,28151,28123,28098,28051,27986,27957,27866,27780,27672,27591,27529,27453,27366,27232,27131,27006,26887,26717,26608,26443,26280,26157,26004,25881,25749,25587,25424,25265,25084,24925,24797,24598,24481,24328,24152,24031,23905,23731,23606,23505,23356,23196,
Net demand,18363,18291,18345,18323,18198,18068,17871,17719,17661,17551,17516,17494,17429,17313,17196,17035,16925,16947,16900,16744,16729,16660,16560,16579,16571,16541,16490,16432,16437,16431,16392,16358,16296,16279,16233,16319,16325,16361,16393,16448,16440,16477,16484,16506,16534,16580,16656,16697,16762,16906,16984,17119,17130,17242,17192,17261,17343,17430,17460,17526,17667,17815,17999,18175,18302,18343,18390,18488,18707,18851,18952,19007,19064,19236,19377,19405,19351,19326,19207,19131,19146,19056,18982,18822,18843,18421,18241,18034,17661,17254,16878,16636,16274,15975,15718,15627,15339,14910,14685,14484,14204,14004,13875,13730,13618,13558,13491,13276,13122,13159,13306,13237,12987,12753,12525,12334,12133,11911,11750,11607,11482,11350,11084,11008,11103,11097,10994,10968,10814,10700,10764,10821,10837,10892,10922,10913,10915,10908,10963,11297,11418,11412,11219,11001,10620,10841,10940,10995,11098,11060,10884,10765,10734,10619,10541,10543,10533,10536,10452,10435,10512,10481,10437,10469,10407,10426,10458,10502,10412,10551,10685,10820,10702,10628,10581,10616,10661,10666,10629,10695,10827,11036,11100,11235,11210,11610,11691,11542,11523,11575,11744,12035,12196,12506,12790,13040,13043,13057,13166,13296,13382,13422,13561,13767,13970,14093,14227,14427,14645,14971,15323,15565,15954,16291,16437,16754,17042,17380,17555,18051,18589,19002,19442,19868,20246,20619,21011,21482,21912,22136,22380,22618,22796,23021,23213,23409,23636,23830,24075,24298,24417,24485,24547,24687,24798,24864,24915,24926,24863,24881,24864,24816,24829,24770,24696,24610,24556,24493,24393,24261,24176,24057,23951,23829,23705,23640,23506,23392,23311,23191,23127,22987,22863,22771,22649,22484,22352,22209,22120,22058,21989,21930,21845,21714,21574,21531,21401,21272,
