Net Demand 02/17/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,20524,20301,20301,20301,20029,20029,20029,19898,19898,19898,19673,19673,19673,19560,19560,19560,19413,19413,19413,19264,19264,19264,19160,19160,19160,19068,19068,19068,18967,18967,18967,18886,18886,18886,18811,18811,18811,18761,18761,18761,18717,18717,18717,18763,18763,18763,18691,18691,18691,18812,18812,18812,19123,19123,19123,19269,19269,19269,19343,19343,19343,19822,19822,19822,20029,20029,20029,20349,20349,20349,20723,20723,20723,21245,21245,21245,21711,21711,21711,21754,21754,21754,22047,22047,22047,22168,22168,22168,22233,22233,22233,22165,22165,22165,22146,22146,22146,22270,22270,22270,22159,22159,22159,21942,21942,21942,21599,21599,21599,21425,21425,21425,21199,21199,21199,21006,21006,21006,20808,20808,20808,20627,20627,20627,20346,20346,20346,20224,20224,20224,20034,20034,20034,19953,19953,19953,19909,19909,19909,19991,19991,19991,19923,19923,19923,19898,19898,19898,19870,19870,19870,19914,19914,19914,19920,19920,19920,20026,20026,20026,20134,20134,20134,20228,20228,20228,20371,20371,20371,20531,20531,20531,20674,20674,20674,20920,20920,20920,21174,21174,21174,21239,21239,21239,21639,21639,21639,21928,21928,21928,22231,22231,22231,22573,22573,22573,22989,22989,22989,23596,23596,23596,24053,24053,24053,24698,24698,24698,25262,25262,25262,26048,26048,26048,26730,26730,26730,27342,27342,27342,27524,27524,27524,27385,27385,27385,27266,27266,27266,27126,27126,27126,27163,27163,27163,26712,26712,26712,26606,26606,26606,26371,26371,26371,26130,26130,26130,25908,25908,25908,25678,25678,25678,25412,25412,25412,25084,25084,25084,24730,24730,24730,24348,24348,24348,23947,23947,23947,23523,23523,23523,23077,23077,23077,22612,22612,22612,22224,22224,22224,21939,21939,21939,21641,21641,21641,21332,21332,21332
Demand (5 min. avg.),20324,20249,20221,20172,20157,20089,20037,19993,19921,19852,19806,19752,19693,19632,19583,19531,19473,19411,19386,19347,19319,19249,19222,19182,19160,19058,19032,19008,18955,18956,18916,18912,18857,18773,18765,18823,18811,18803,18792,18738,18704,18779,18816,18823,18816,18725,18745,18845,18879,18969,19036,19067,19136,19166,19192,19254,19297,19360,19405,19455,19571,19719,19864,20000,20069,20154,20215,20360,20483,20533,20570,20704,20805,21080,21321,21506,21614,21551,21745,21878,21974,21983,22024,22046,22031,22146,22249,22299,22325,22330,22351,22352,22351,22347,22311,22226,22164,22286,22280,22227,22073,22096,21965,21863,21787,21677,21581,21557,21448,21425,21388,21337,21245,21121,21054,21004,20871,20799,20639,20567,20557,20533,20463,20454,20438,20404,20391,20330,20314,20270,20197,20142,20066,20011,20102,20127,20107,20098,20055,20024,20001,19957,19890,19897,19882,19900,19900,19903,19916,19948,19916,19880,19917,19936,19927,19932,19961,19999,20082,20088,20165,20198,20197,20231,20238,20280,20348,20437,20439,20534,20591,20625,20697,20747,20707,20729,20767,20839,21009,21108,21172,21267,21343,21464,21538,21640,21731,21860,22038,22137,22213,22374,22495,22664,22816,22980,23133,23286,23466,23653,23804,23983,24159,24391,24597,24685,24802,25008,25186,25379,25581,25817,26010,26248,26546,26874,27097,27181,27275,27321,27365,27390,27371,27373,27373,27373,27373,27373,27373,27224,27005,26998,26971,26912,26858,26769,26741,26704,26655,26620,26541,26457,26397,26349,26271,26196,26086,26000,25961,25886,25721,25692,25581,25533,25411,25359,25224,25136,24967,24874,24750,24616,24443,24348,24211,23959,23779,23671,23538,23412,23284,23107,22999,22821,22709,22599,22456,22366,22223,22114,21987,21893,21786,21691,21545,21455,21330,21238,21109
Net demand,17846,17709,17752,17705,17709,17664,17592,17529,17464,17383,17290,17219,17158,17095,17044,16993,16917,16843,16800,16735,16723,16655,16599,16537,16494,16402,16362,16317,16276,16263,16257,16243,16231,16177,16160,16227,16287,16233,16207,16162,16121,16164,16234,16245,16251,16140,16086,16147,16197,16273,16341,16416,16444,16545,16602,16707,16825,16908,16962,17035,17166,17313,17509,17643,17716,17741,17714,17771,17863,17852,17865,17985,18142,18284,18600,18773,18901,19007,18898,19251,19418,19411,19297,19225,19060,18887,18825,18660,18360,18045,17698,17403,17044,16693,16311,15920,15427,15214,14911,14529,14039,13899,13488,13226,12604,12312,11975,11885,11894,11697,11544,11219,10944,10744,10647,10507,10419,10325,10365,10188,10054,9973,9988,10067,10035,9914,9662,9510,9438,9401,9295,9350,9569,9494,9357,9420,9386,9330,9347,9294,9233,9176,9140,9109,9127,9194,9261,9223,9263,9251,9309,9258,9359,9576,9432,9392,9389,9539,9520,9610,9614,9564,9643,9612,9672,9708,9809,9881,10085,10114,9914,9749,10130,10707,10637,10748,10665,10998,11137,11346,11476,11528,11560,11759,12002,12233,12650,12952,13403,13766,14125,14488,14875,15431,16062,16720,17327,17798,18422,19064,19679,20282,20909,21446,22014,22496,22843,23253,23584,23931,24228,24523,24731,24940,25235,25597,25861,25993,26080,26145,26193,26259,26233,26240,26231,26231,26231,26231,26231,26297,26187,26182,26181,26127,26087,25996,25966,25953,25930,25906,25830,25763,25716,25657,25581,25503,25455,25303,25286,25210,25087,24984,24896,24782,24711,24619,24524,24406,24301,24174,24060,23929,23782,23697,23573,23359,23094,22964,22831,22734,22588,22484,22369,22233,22090,21972,21854,21731,21590,21465,21359,21268,21180,21081,20954,20853,20770,20658,20550
