Net Demand 06/22/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,24474,24010,24010,24010,23654,23654,23654,23341,23341,23341,22998,22998,22998,22664,22664,22664,22410,22410,22410,22157,22157,22157,21889,21889,21889,21700,21700,21700,21583,21583,21583,21488,21488,21488,21349,21349,21349,21271,21271,21271,21119,21119,21119,21062,21062,21062,21038,21038,21038,21165,21165,21165,21225,21225,21225,21311,21311,21311,21468,21468,21468,21890,21890,21890,22143,22143,22143,22201,22201,22201,22265,22265,22265,22796,22796,22796,23138,23138,23138,23390,23390,23390,23676,23676,23676,24071,24071,24071,24206,24206,24206,24444,24444,24444,24611,24611,24611,24798,24798,24798,24975,24975,24975,25122,25122,25122,25233,25233,25233,25345,25345,25345,25375,25375,25375,25370,25370,25370,25468,25468,25468,25576,25576,25576,25636,25636,25636,25698,25698,25698,25795,25795,25795,25876,25876,25876,26063,26063,26063,26410,26410,26410,26638,26638,26638,26940,26940,26940,27307,27307,27307,27725,27725,27725,28181,28181,28181,28600,28600,28600,29052,29052,29052,29526,29526,29526,29952,29952,29952,30327,30327,30327,30544,30544,30544,30908,30908,30908,31570,31570,31570,32104,32104,32104,32681,32681,32681,33153,33153,33153,33493,33493,33493,33807,33807,33807,34217,34217,34217,34518,34518,34518,34912,34912,34912,35135,35135,35135,35406,35406,35406,35632,35632,35632,35887,35887,35887,35887,35887,35887,36062,36062,36062,36163,36163,36163,36071,36071,36071,35758,35758,35758,35465,35465,35465,35114,35114,35114,34804,34804,34804,34514,34514,34514,34493,34493,34493,34334,34334,34334,34019,34019,34019,33621,33621,33621,33134,33134,33134,32631,32631,32631,31929,31929,31929,31195,31195,31195,30565,30565,30565,29959,29959,29959,29181,29181,29181,28470,28470,28470,27968,27968,27968,27411,27411,27411,26839,26839,26839
Demand (5 min. avg.),24094,24008,23979,23877,23754,23607,23472,23342,23220,23085,22970,22879,22754,22713,22637,22531,22420,22344,22263,22094,22077,22015,21956,21882,21859,21836,21803,21705,21654,21606,21562,21482,21446,21362,21242,21201,21143,21146,21139,21127,21100,21072,21056,21030,21013,20977,20963,20959,20969,21017,21080,21130,21181,21204,21221,21278,21335,21361,21395,21438,21495,21684,21860,21967,22072,22136,22175,22220,22308,22316,22324,22348,22440,22608,22881,22973,23055,23121,23212,23316,23387,23443,23478,23587,23676,23914,24060,24116,24183,24259,24254,24363,24442,24503,24547,24596,24650,24795,24930,25005,25000,25056,25042,25090,25139,25120,25172,25207,25195,25205,25250,25274,25300,25278,25274,25287,25278,25329,25342,25351,25355,25463,25464,25471,25464,25515,25528,25566,25597,25516,25589,25736,25836,25935,26012,26137,26218,26263,26325,26416,26502,26613,26706,26804,26900,27013,27150,27231,27375,27507,27628,27740,27866,27993,28146,28283,28417,28584,28723,28884,29026,29184,29319,29474,29575,29653,29681,29832,29999,30384,30493,30649,30801,30945,31100,31235,31362,31530,31708,31868,32009,32134,32283,32462,32597,32730,32885,32975,33113,33276,33391,33530,33629,33700,33767,33909,34039,34205,34332,34443,34561,34686,34846,34964,35069,35021,35066,35204,35318,35443,35565,35669,35751,35876,35945,36011,36033,35913,35868,35923,36010,36056,36061,36120,36055,36116,36084,36044,35964,35846,35715,35634,35486,35464,35389,35274,35145,35055,34956,34836,34723,34583,34532,34497,34433,34381,34341,34295,34233,34168,34067,33969,33861,33787,33634,33477,33305,33152,32976,32827,32626,32426,32207,32038,31789,31497,31227,31003,30762,30556,30309,30088,29862,29612,29412,29212,29014,28747,28539,28321,28100,27905,27695,27500,27294,27110,26958,26766,
Net demand,19818,19693,19656,19593,19472,19330,19223,19083,18969,18888,18775,18693,18604,18536,18509,18391,18335,18244,18178,18033,18025,18033,17987,17918,17841,17799,17722,17641,17571,17521,17544,17528,17499,17488,17347,17327,17296,17246,17288,17276,17270,17274,17251,17248,17234,17246,17211,17227,17292,17348,17480,17586,17754,17862,17969,18080,18217,18339,18428,18540,18627,18823,19118,19293,19458,19543,19620,19656,19780,19828,19808,19832,19813,19845,20004,19924,19832,19660,19357,19167,18906,18648,18340,18078,17815,17539,17406,17020,16645,16287,15957,15667,15486,15306,15150,15043,14903,14837,14786,14764,14630,14576,14466,14433,14389,14334,14314,14307,14289,14240,14250,14214,14225,14166,14120,14074,14040,14026,14013,13982,13991,13995,14038,14008,13984,13990,13992,14001,14034,13961,13981,14037,14197,14210,14296,14384,14467,14516,14558,14653,14727,14812,14912,14972,15090,15161,15310,15386,15496,15635,15754,15847,15985,16091,16238,16372,16519,16639,16770,16929,17086,17260,17394,17564,17655,17918,18079,18168,18366,18375,18611,18719,18862,19018,19127,19287,19468,19605,19783,19968,20154,20282,20426,20611,20782,20928,21047,21145,21277,21382,21480,21598,21714,21789,21796,21941,22140,22331,22496,22646,22836,23045,23264,23445,23652,23701,23791,24060,24374,24632,24900,25099,25322,25527,25758,25971,26194,26327,26392,26694,27040,27470,27818,28224,28523,28941,29388,29809,30218,30505,30761,31032,31157,31352,31529,31622,31688,31659,31671,31635,31578,31453,31291,31242,31160,31070,31036,30959,30884,30757,30624,30459,30296,30200,30036,29818,29644,29500,29326,29195,29033,28790,28576,28371,28150,27838,27547,27351,27097,26903,26679,26456,26295,26121,25920,25726,25487,25251,25014,24816,24618,24412,24196,24011,23808,23599,23468,23277,
