Net Demand 02/28/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21374,21164,21164,21164,20903,20903,20903,20644,20644,20644,20351,20351,20351,20234,20234,20234,20052,20052,20052,19860,19860,19860,19771,19771,19771,19576,19576,19576,19498,19498,19498,19445,19445,19445,19403,19403,19403,19455,19455,19455,19464,19464,19464,19444,19444,19444,19541,19541,19541,19769,19769,19769,19942,19942,19942,20056,20056,20056,20286,20286,20286,20707,20707,20707,21161,21161,21161,21673,21673,21673,22091,22091,22091,22963,22963,22963,23545,23545,23545,23940,23940,23940,24055,24055,24055,24350,24350,24350,24475,24475,24475,24206,24206,24206,23846,23846,23846,23895,23895,23895,23767,23767,23767,23600,23600,23600,23644,23644,23644,23629,23629,23629,23533,23533,23533,23536,23536,23536,23346,23346,23346,23173,23173,23173,23068,23068,23068,22908,22908,22908,22632,22632,22632,22475,22475,22475,22351,22351,22351,22186,22186,22186,21965,21965,21965,21784,21784,21784,21733,21733,21733,21651,21651,21651,21484,21484,21484,21513,21513,21513,21547,21547,21547,21344,21344,21344,21347,21347,21347,21294,21294,21294,21346,21346,21346,21339,21339,21339,21466,21466,21466,21577,21577,21577,21764,21764,21764,21969,21969,21969,22262,22262,22262,22484,22484,22484,22792,22792,22792,23137,23137,23137,23771,23771,23771,24034,24034,24034,24563,24563,24563,25656,25656,25656,26258,26258,26258,26797,26797,26797,27122,27122,27122,27115,27115,27115,27275,27275,27275,27253,27253,27253,27152,27152,27152,26884,26884,26884,26815,26815,26815,26584,26584,26584,26425,26425,26425,26254,26254,26254,25975,25975,25975,25725,25725,25725,25368,25368,25368,25010,25010,25010,24542,24542,24542,23979,23979,23979,23371,23371,23371,22986,22986,22986,22526,22526,22526,22160,22160,22160,21796,21796,21796,21411,21411,21411,21037,21037,21037
Demand (5 min. avg.),21337,21276,21109,20936,20820,20708,20753,20709,20666,20462,20425,20406,20290,20264,20164,20097,20053,20045,19997,19902,19813,19852,19734,19613,19671,19672,19575,19527,19542,19537,19534,19550,19509,19490,19468,19453,19420,19400,19399,19435,19460,19443,19442,19399,19517,19528,19531,19564,19593,19522,19617,19675,19742,19749,19806,19920,20002,20038,20149,20174,20273,20476,20684,20839,21003,21055,21209,21398,21576,21695,21863,22035,22219,22567,22890,23117,23198,23316,23419,23596,23730,23816,23918,23923,23927,23981,24030,24094,24101,24085,24045,24023,23979,23888,23967,23940,23811,23850,23857,23860,23831,23832,23883,23879,23873,23781,23730,23665,23689,23704,23681,23611,23633,23545,23470,23406,23310,23202,23225,23203,23229,23135,23183,23045,23042,22770,22722,22724,22657,22602,22547,22575,22489,22412,22393,22354,22265,22126,22082,21976,22011,21945,21895,21833,21731,21756,21775,21719,21672,21576,21517,21514,21503,21493,21472,21470,21395,21363,21333,21352,21359,21344,21268,21264,21203,21216,21241,21226,21247,21236,21243,21268,21275,21307,21295,21311,21327,21384,21431,21470,21479,21552,21589,21698,21729,21828,21959,22030,22094,22170,22207,22258,22416,22456,22552,22689,22899,23084,23232,23312,23468,23535,23703,23745,23874,24148,24363,24427,24557,24743,24929,25183,25356,25606,25895,26149,26360,26539,26815,27030,27100,27210,27268,27326,27313,27306,27344,27366,27334,27228,27228,27181,27151,27125,27060,26985,26917,26865,26801,26739,26698,26673,26668,26611,26543,26498,26461,26435,26358,26335,26290,26124,25959,25871,25744,25609,25459,25356,25265,25117,24925,24810,24570,24439,24258,24095,23987,23835,23658,23491,23310,23118,23011,22839,22654,22527,22365,22210,22073,21946,21811,21622,21526,21426,21321,21241,21112,20952,
Net demand,19249,19280,19176,19012,18842,18744,18731,18691,18611,18422,18345,18257,18153,18061,17992,17874,17817,17851,17862,17798,17766,17758,17710,17526,17477,17499,17455,17399,17372,17412,17380,17492,17435,17507,17476,17468,17418,17404,17450,17512,17618,17651,17674,17661,17801,17887,17907,17965,18009,17946,17937,18039,18074,18092,18094,18177,18266,18314,18388,18473,18540,18672,18886,19025,19142,19173,19316,19472,19652,19790,19949,20123,20312,20578,20916,21201,21274,21349,21375,21407,21504,21398,21295,21093,20850,20641,20360,20093,19707,19327,18997,18774,18471,18094,17733,17411,16901,16601,16281,16026,15786,15683,15520,15404,15366,15034,14831,14777,14801,14855,14711,14356,14102,14196,14184,13907,13700,13750,13392,13185,12880,12865,12712,12760,12719,12942,12968,12915,13002,13031,12982,12890,12888,12809,12861,12917,12977,12902,12911,12767,12872,12755,12482,12178,12285,11999,12061,12253,12241,12220,12110,12239,12308,12247,11907,11587,11722,12057,12136,12067,11890,11720,11649,11756,11900,11980,12068,12063,12060,11864,11811,11777,11857,11862,12077,12227,12349,12290,12366,12509,12547,12785,12881,13054,13238,13089,13127,13102,13287,13436,13570,13313,13590,14245,14661,15152,15378,15471,15805,16403,17032,17708,18374,19004,19424,20030,20435,20926,21208,21503,21811,22124,22450,22741,23047,23365,23612,23855,24220,24457,24589,24735,24849,24946,24944,24934,24901,24921,24907,24842,24861,24821,24798,24772,24685,24587,24512,24425,24309,24252,24244,24239,24284,24290,24268,24155,24115,24100,24067,24040,24036,23961,23825,23742,23615,23465,23326,23208,23008,22873,22654,22413,22201,22016,21856,21691,21550,21417,21298,21093,20948,20731,20557,20410,20159,20010,19854,19665,19506,19368,19285,19063,18985,18828,18678,18482,18384,18252,
