Net Demand 06/01/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,22829,22577,22577,22577,22249,22249,22249,21931,21931,21931,21680,21680,21680,21598,21598,21598,21385,21385,21385,21097,21097,21097,20808,20808,20808,20560,20560,20560,20415,20415,20415,20274,20274,20274,20102,20102,20102,20067,20067,20067,19986,19986,19986,19943,19943,19943,19933,19933,19933,20017,20017,20017,20037,20037,20037,20104,20104,20104,20155,20155,20155,20260,20260,20260,20368,20368,20368,20290,20290,20290,20163,20163,20163,20443,20443,20443,20502,20502,20502,20597,20597,20597,20764,20764,20764,20859,20859,20859,20997,20997,20997,21014,21014,21014,21135,21135,21135,21261,21261,21261,21326,21326,21326,21300,21300,21300,21338,21338,21338,21409,21409,21409,21432,21432,21432,21473,21473,21473,21545,21545,21545,21774,21774,21774,21799,21799,21799,21815,21815,21815,21782,21782,21782,21816,21816,21816,21840,21840,21840,21986,21986,21986,21868,21868,21868,21793,21793,21793,21939,21939,21939,21918,21918,21918,21907,21907,21907,21869,21869,21869,21956,21956,21956,22099,22099,22099,22191,22191,22191,22087,22087,22087,22269,22269,22269,22323,22323,22323,22350,22350,22350,22513,22513,22513,22843,22843,22843,22843,22843,22843,23017,23017,23017,23346,23346,23346,23629,23629,23629,24129,24129,24129,23977,23977,23977,24204,24204,24204,24502,24502,24502,24614,24614,24614,24827,24827,24827,25008,25008,25008,25224,25224,25224,25364,25364,25364,25396,25396,25396,25518,25518,25518,25525,25525,25525,25599,25599,25599,25715,25715,25715,26267,26267,26267,26558,26558,26558,26538,26538,26538,26512,26512,26512,26211,26211,26211,25999,25999,25999,25692,25692,25692,25275,25275,25275,24953,24953,24953,24565,24565,24565,24008,24008,24008,23572,23572,23572,23094,23094,23094,22686,22686,22686,22276,22276,22276,21935,21935,21935
Demand (5 min. avg.),22753,22638,22628,22552,22438,22358,22251,22179,22105,22041,21938,21866,21745,21667,21537,21428,21360,21240,21195,21088,21002,20903,20844,20746,20655,20597,20605,20534,20456,20393,20342,20292,20261,20223,20183,20156,20101,20097,20103,20073,20071,20063,20039,20038,20024,20001,19983,19984,19936,20032,20071,20070,20057,20076,20091,20093,20093,20100,20101,20102,20122,20162,20227,20263,20317,20325,20337,20386,20411,20393,20315,20287,20281,20405,20483,20512,20525,20581,20611,20619,20621,20613,20638,20639,20711,20770,20828,20884,20943,20959,20990,20960,20958,20990,21010,21047,21072,21156,21232,21257,21293,21294,21202,21241,21269,21302,21290,21308,21319,21388,21515,21557,21557,21563,21595,21633,21686,21689,21686,21701,21712,21765,21805,21803,21793,21795,21775,21771,21759,21783,21764,21761,21802,21833,21867,21835,21801,21772,21770,21707,21736,21730,21732,21769,21799,21808,21722,21723,21704,21743,21702,21736,21761,21748,21775,21768,21775,21790,21870,21887,21887,21869,21856,21851,21830,21853,21899,21993,21951,21939,21968,21900,21947,21974,21993,22035,22167,22190,22321,22432,22478,22377,22347,22413,22415,22525,22582,22706,22851,22957,23047,23104,23197,23358,23441,23350,23354,23462,23491,23634,23759,23820,23864,23953,24081,24018,24068,24157,24258,24376,24497,24551,24659,24728,24834,24857,24923,24937,24984,25056,25059,25173,25197,25212,25257,25302,25331,25410,25434,25514,25552,25590,25658,25632,25619,25717,25808,25864,25899,25975,26045,26088,26146,26273,26375,26424,26409,26372,26352,26372,26345,26333,26338,26309,26207,26135,26039,25973,25903,25849,25771,25673,25560,25411,25177,24947,24810,24659,24548,24409,24253,24094,23957,23834,23690,23500,23339,23161,23128,23059,22911,22798,22653,22529,22383,22259,22106,22033,
Net demand,20108,19993,20046,19970,19941,19862,19800,19741,19683,19667,19614,19513,19384,19287,19180,19088,19076,18992,18902,18829,18750,18635,18550,18478,18388,18297,18265,18210,18139,18056,18008,17984,18000,18029,18045,18102,18121,18149,18166,18172,18170,18191,18191,18247,18281,18317,18300,18300,18301,18370,18461,18457,18430,18441,18440,18478,18524,18513,18596,18600,18651,18714,18814,18877,18934,18935,18921,18973,19023,19056,19020,18989,18940,18937,18962,18827,18646,18483,18201,17929,17636,17321,17009,16689,16302,16063,15748,15397,15071,14636,14283,13906,13532,13330,13175,12945,12661,12424,12318,12113,11978,11800,11654,11480,11369,11286,11195,11106,11053,11013,11038,11036,10946,10898,10835,10729,10662,10630,10555,10508,10469,10459,10483,10426,10375,10321,10282,10235,10165,10162,10102,9992,9936,9866,9843,9811,9749,9641,9656,9634,9653,9724,9754,9772,9780,9859,9847,9788,9783,9847,9960,9917,9885,9923,10172,10350,10409,10449,10454,10367,10282,10255,10170,10139,10199,10240,10330,10334,10393,10332,10371,10396,10605,10699,10860,10868,10955,11123,11141,11195,11337,11170,10951,11118,11153,11191,11514,11661,11847,11823,12005,12288,12250,12255,12573,12753,12708,12714,12948,13113,13429,13763,13975,14276,14714,15012,15068,15413,15709,15923,16255,16650,16925,17228,17545,17643,17769,17862,18125,18483,18731,19032,19292,19406,19647,19877,20167,20366,20599,20784,21098,21343,21539,21725,21755,21844,21977,22128,22262,22351,22483,22600,22659,22725,22893,23025,23090,23096,23139,23152,23215,23284,23383,23465,23505,23514,23511,23489,23425,23391,23325,23252,23087,22981,22797,22501,22311,22129,21976,21837,21684,21529,21360,21183,20994,20847,20658,20381,20273,20186,20058,19943,19802,19695,19619,19511,19310,19253,
