Net Demand 03/26/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21173,20934,20934,20934,20701,20701,20701,20395,20395,20395,20220,20220,20220,20151,20151,20151,19979,19979,19979,19656,19656,19656,19405,19405,19405,19293,19293,19293,19206,19206,19206,19079,19079,19079,19009,19009,19009,18933,18933,18933,18931,18931,18931,19008,19008,19008,19075,19075,19075,19297,19297,19297,19456,19456,19456,19563,19563,19563,19782,19782,19782,20203,20203,20203,20610,20610,20610,21115,21115,21115,21486,21486,21486,22344,22344,22344,22943,22943,22943,23599,23599,23599,23978,23978,23978,24477,24477,24477,24653,24653,24653,24607,24607,24607,24434,24434,24434,24823,24823,24823,24802,24802,24802,24605,24605,24605,23890,23890,23890,24003,24003,24003,23826,23826,23826,23568,23568,23568,23478,23478,23478,23048,23048,23048,22860,22860,22860,22564,22564,22564,22292,22292,22292,22344,22344,22344,22229,22229,22229,22271,22271,22271,22281,22281,22281,21861,21861,21861,21745,21745,21745,21600,21600,21600,21493,21493,21493,21503,21503,21503,21517,21517,21517,21539,21539,21539,21645,21645,21645,21631,21631,21631,21689,21689,21689,21735,21735,21735,21902,21902,21902,21978,21978,21978,22122,22122,22122,22183,22183,22183,22304,22304,22304,22320,22320,22320,22475,22475,22475,22545,22545,22545,22993,22993,22993,23198,23198,23198,23416,23416,23416,23841,23841,23841,24257,24257,24257,24241,24241,24241,24590,24590,24590,24934,24934,24934,25563,25563,25563,26094,26094,26094,26695,26695,26695,26993,26993,26993,26916,26916,26916,26632,26632,26632,26547,26547,26547,26338,26338,26338,26009,26009,26009,25660,25660,25660,25343,25343,25343,24937,24937,24937,24488,24488,24488,24050,24050,24050,23588,23588,23588,23036,23036,23036,22542,22542,22542,22163,22163,22163,21783,21783,21783,21470,21470,21470,21074,21074,21074
Demand (5 min. avg.),21129,20902,20823,20772,20744,20625,20536,20442,20358,20317,20306,20257,20184,19930,19855,19818,19719,19657,19584,19545,19488,19425,19358,19346,19302,19274,19225,19154,19162,19112,19074,19028,18977,18973,18930,18895,18856,18923,18955,18973,18923,18979,18995,18971,18986,18993,19020,19081,19122,19161,19230,19283,19301,19358,19385,19460,19549,19574,19641,19705,19811,20081,20294,20447,20511,20536,20591,20767,20994,21115,21212,21405,21613,22052,22443,22729,22945,23018,23316,23570,23787,23894,24013,24080,24182,24370,24493,24561,24576,24584,24582,24578,24596,24614,24731,24720,24705,24735,24774,24716,24360,24333,24287,24309,24351,24339,24307,24129,23950,23936,24025,23894,23819,23804,23707,23594,23524,23342,23222,23196,23114,22977,22929,22856,22765,22668,22609,22558,22512,22451,22397,22497,22437,22456,22442,22401,22411,22376,22254,22191,22127,22104,21999,21918,21859,21814,21770,21698,21654,21601,21520,21457,21420,21433,21483,21477,21474,21479,21521,21461,21476,21523,21495,21501,21552,21565,21563,21567,21632,21640,21650,21642,21672,21696,21716,21749,21736,21743,21800,21897,21921,21942,21921,21928,21941,21998,22024,22095,22088,22065,22137,22280,22236,22277,22304,22297,22336,22487,22835,22871,22885,22941,23019,23158,23145,23176,23240,23362,23580,23608,23680,23789,23850,23941,24090,24203,24319,24237,24343,24517,24674,24785,24874,25041,25221,25301,25444,25579,25719,25856,25928,25985,26188,26375,26547,26649,26745,26799,26779,26744,26722,26677,26605,26550,26494,26463,26378,26304,26230,26171,26111,25979,25876,25732,25636,25530,25378,25300,25161,24994,24876,24764,24779,24629,24359,24165,24053,23845,23633,23431,23367,23215,23017,22938,22721,22601,22461,22339,22118,21985,21876,21746,21562,21449,21305,21210,21069,20984,
Net demand,20598,20391,20305,20190,20208,20095,20019,19944,19859,19822,19814,19803,19713,19525,19374,19324,19242,19136,19071,18992,18953,18870,18806,18759,18757,18719,18635,18534,18465,18389,18311,18268,18196,18142,18118,18109,18127,18194,18287,18339,18364,18357,18440,18454,18457,18473,18507,18542,18589,18624,18686,18746,18758,18771,18805,18826,18931,18947,18978,19059,19109,19322,19603,19794,19915,19919,19964,20008,20223,20347,20465,20594,20825,21175,21694,22035,22313,22452,22594,22889,23175,23300,23398,23436,23424,23440,23519,23450,23354,23231,23103,22901,22746,22495,22108,21831,21419,21137,20810,20599,20263,19948,19680,19636,19418,18847,18284,18101,17689,17459,17280,17263,16984,16726,16575,16027,15715,15572,15334,14992,14671,14566,14349,14224,14103,14004,13944,13827,13593,13567,13370,13305,13240,12906,12742,12610,12804,12613,12436,12311,12198,11985,12064,12308,12026,11695,11913,12056,12086,12128,12270,12331,12476,12368,12201,12218,12204,12331,12277,12274,12187,11885,11776,11995,11927,11885,12241,12233,12102,12084,12167,12059,12045,12136,11941,11956,11922,11842,11645,11932,11820,11712,12046,12640,12894,12726,12746,12979,13322,13442,13257,12877,12961,13366,13685,13843,14112,14039,14313,14643,14811,15173,14915,14982,15290,15699,16315,16615,16955,17410,17905,18476,18805,18904,19056,19442,20049,20475,20702,21158,21746,22155,22371,22737,23169,23500,23725,23985,24192,24364,24587,24645,24806,25059,25263,25406,25507,25584,25616,25568,25536,25533,25481,25425,25394,25346,25341,25245,25172,25077,25004,24854,24674,24532,24370,24283,24154,24038,23917,23749,23545,23416,23365,23315,23127,22832,22689,22481,22290,22006,21899,21870,21681,21550,21226,21050,21049,20995,20693,20560,20381,20336,20179,20062,19932,19839,19787,19724,
