Net Demand 05/28/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21964,21606,21606,21606,21433,21433,21433,21078,21078,21078,20732,20732,20732,20475,20475,20475,20282,20282,20282,20070,20070,20070,19804,19804,19804,19638,19638,19638,19540,19540,19540,19369,19369,19369,19190,19190,19190,19111,19111,19111,19031,19031,19031,19057,19057,19057,19050,19050,19050,19113,19113,19113,19198,19198,19198,19261,19261,19261,19292,19292,19292,19440,19440,19440,19532,19532,19532,19516,19516,19516,19271,19271,19271,19386,19386,19386,19453,19453,19453,19608,19608,19608,19658,19658,19658,19878,19878,19878,19941,19941,19941,20030,20030,20030,20179,20179,20179,20425,20425,20425,20506,20506,20506,20673,20673,20673,20844,20844,20844,21018,21018,21018,21132,21132,21132,21164,21164,21164,21227,21227,21227,21333,21333,21333,21362,21362,21362,21389,21389,21389,21436,21436,21436,21542,21542,21542,21681,21681,21681,21849,21849,21849,21912,21912,21912,22113,22113,22113,22304,22304,22304,22448,22448,22448,22638,22638,22638,22808,22808,22808,22997,22997,22997,23235,23235,23235,23474,23474,23474,23689,23689,23689,23968,23968,23968,24325,24325,24325,24588,24588,24588,24873,24873,24873,25289,25289,25289,25618,25618,25618,25919,25919,25919,26262,26262,26262,26671,26671,26671,27069,27069,27069,27528,27528,27528,27891,27891,27891,28340,28340,28340,28549,28549,28549,29005,29005,29005,29038,29038,29038,29256,29256,29256,29410,29410,29410,29515,29515,29515,29523,29523,29523,29534,29534,29534,29528,29528,29528,29601,29601,29601,29762,29762,29762,29949,29949,29949,29801,29801,29801,29635,29635,29635,29336,29336,29336,29008,29008,29008,28539,28539,28539,27937,27937,27937,27209,27209,27209,26598,26598,26598,26011,26011,26011,25338,25338,25338,24740,24740,24740,24324,24324,24324,23873,23873,23873,23342,23342,23342
Demand (5 min. avg.),21720,21618,21505,21472,21339,21256,21137,21037,20945,20867,20791,20732,20642,20576,20508,20420,20355,20235,20169,20084,19991,19925,19851,19789,19733,19676,19640,19603,19534,19478,19425,19365,19317,19269,19212,19195,19156,19125,19120,19128,19124,19112,19117,19097,19095,19072,19060,19058,19090,19125,19175,19185,19191,19210,19202,19233,19257,19265,19266,19258,19244,19307,19409,19444,19481,19492,19508,19506,19512,19425,19353,19308,19264,19346,19439,19459,19526,19523,19530,19558,19592,19595,19609,19662,19686,19770,19862,19886,19908,19951,19978,20028,20056,20076,20109,20146,20196,20308,20438,20479,20554,20557,20582,20699,20705,20729,20739,20800,20786,20889,20889,20926,20986,20977,20986,21030,21029,21053,21092,21115,21140,21199,21215,21236,21244,21290,21280,21301,21328,21347,21387,21391,21415,21456,21530,21559,21629,21687,21697,21734,21766,21833,21883,21924,21965,22019,22069,22119,22179,22232,22284,22337,22379,22442,22509,22570,22609,22654,22753,22838,22891,22966,23041,23137,23186,23263,23312,23409,23509,23548,23614,23734,23867,23980,24089,24160,24278,24361,24454,24541,24658,24717,24805,24930,25071,25206,25303,25441,25550,25662,25812,25960,26115,26211,26337,26461,26613,26746,26875,27009,27176,27303,27436,27604,27771,27855,27960,28123,28247,28359,28467,28587,28711,28830,28933,29034,29085,29048,29031,29093,29177,29276,29328,29384,29432,29461,29513,29537,29564,29507,29541,29570,29557,29553,29516,29527,29538,29520,29515,29570,29613,29619,29675,29725,29762,29776,29740,29733,29755,29767,29729,29702,29608,29488,29388,29274,29132,28987,28833,28657,28511,28342,28110,27946,27750,27452,27293,27081,26849,26662,26411,26195,25992,25796,25576,25345,25125,24935,24701,24574,24404,24248,24041,23869,23727,23568,23362,23214,
Net demand,18930,18840,18916,18797,18736,18684,18661,18658,18659,18664,18697,18769,18852,18820,18783,18714,18607,18581,18468,18366,18264,18151,18100,18043,17975,17877,17737,17589,17409,17223,17060,16938,16787,16663,16531,16405,16315,16248,16229,16238,16265,16292,16325,16320,16388,16432,16477,16532,16672,16806,16897,16940,16969,17012,17039,17056,17082,17064,17071,17047,17024,17011,17096,17142,17195,17252,17307,17403,17480,17525,17520,17522,17496,17485,17505,17441,17345,17192,17056,16844,16645,16372,16085,15812,15499,15209,14936,14615,14282,13910,13563,13326,13251,13154,12940,12754,12584,12078,11809,11695,11824,11741,11402,11353,11242,11132,11079,11052,10995,11005,11083,10976,10901,10809,10732,10709,10678,10607,10580,10559,10546,10561,10587,10541,10536,10518,10483,10462,10473,10466,10458,10448,10427,10406,10445,10474,10475,10555,10548,10557,10581,10641,10692,10753,10795,10864,10953,10973,11002,11074,11137,11169,11185,11241,11341,11370,11408,11437,11486,11572,11655,11718,11832,11885,11944,11971,12031,12099,12186,12236,12321,12412,12524,12604,12697,12790,12867,12983,13076,13176,13265,13380,13438,13514,13631,13777,13920,14045,14123,14212,14373,14536,14737,14850,14993,15105,15344,15504,15695,15871,16052,16245,16398,16618,16893,17130,17267,17542,17833,18130,18411,18697,19023,19369,19687,19993,20316,20545,20777,21118,21599,22036,22443,22863,23332,23739,24111,24518,24888,25225,25492,25790,26103,26328,26536,26693,26826,26838,26866,26945,27010,27012,27014,27054,27096,27065,27024,26975,26963,26980,26965,26976,26899,26775,26756,26670,26585,26490,26347,26204,26062,25907,25704,25543,25367,25096,24846,24697,24451,24260,24054,23840,23664,23492,23311,23108,22931,22740,22557,22363,22184,22038,21868,21742,21582,21425,21236,21008,
