Net Demand 02/10/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21331,21139,21139,21139,20905,20905,20905,20636,20636,20636,20401,20401,20401,20317,20317,20317,20171,20171,20171,19967,19967,19967,19894,19894,19894,19762,19762,19762,19680,19680,19680,19637,19637,19637,19560,19560,19560,19510,19510,19510,19459,19459,19459,19409,19409,19409,19432,19432,19432,19508,19508,19508,19543,19543,19543,19571,19571,19571,19669,19669,19669,19724,19724,19724,19862,19862,19862,20078,20078,20078,20241,20241,20241,20588,20588,20588,20765,20765,20765,20880,20880,20880,20971,20971,20971,21181,21181,21181,21221,21221,21221,21270,21270,21270,21426,21426,21426,21772,21772,21772,21771,21771,21771,21591,21591,21591,21468,21468,21468,21442,21442,21442,21325,21325,21325,21186,21186,21186,21106,21106,21106,21110,21110,21110,20993,20993,20993,20863,20863,20863,20838,20838,20838,20780,20780,20780,20681,20681,20681,20663,20663,20663,20620,20620,20620,20705,20705,20705,20679,20679,20679,20655,20655,20655,20580,20580,20580,20628,20628,20628,20517,20517,20517,20577,20577,20577,20565,20565,20565,20361,20361,20361,20429,20429,20429,20440,20440,20440,20613,20613,20613,20645,20645,20645,20884,20884,20884,21310,21310,21310,21509,21509,21509,21939,21939,21939,22343,22343,22343,22883,22883,22883,23482,23482,23482,24168,24168,24168,24874,24874,24874,25429,25429,25429,26239,26239,26239,26738,26738,26738,26924,26924,26924,26777,26777,26777,26814,26814,26814,26809,26809,26809,26736,26736,26736,26528,26528,26528,26520,26520,26520,26396,26396,26396,26208,26208,26208,26026,26026,26026,25824,25824,25824,25578,25578,25578,25282,25282,25282,24938,24938,24938,24548,24548,24548,24192,24192,24192,23818,23818,23818,23318,23318,23318,22973,22973,22973,22602,22602,22602,22268,22268,22268,21850,21850,21850,21612,21612,21612
Demand (5 min. avg.),21257,21203,21208,21167,21022,20926,20875,20765,20684,20615,20565,20541,20492,20375,20341,20309,20317,20246,20159,20077,20025,19961,19924,19887,19835,19814,19812,19744,19707,19694,19681,19632,19631,19618,19549,19515,19481,19495,19492,19483,19474,19469,19462,19441,19422,19419,19425,19427,19453,19426,19452,19483,19469,19516,19557,19541,19567,19580,19541,19564,19572,19688,19785,19826,19873,19901,19921,20034,20060,20108,20164,20240,20347,20508,20634,20736,20820,20879,20924,20991,21043,21056,21079,21086,21094,21132,21212,21238,21255,21304,21434,21552,21654,21741,21755,21641,21613,21673,21719,21733,21712,21688,21687,21665,21605,21549,21596,21516,21465,21407,21426,21466,21468,21392,21358,21328,21289,21275,21228,21157,21115,21083,21059,21063,21028,21018,21088,21048,21053,21012,20886,20881,20782,20800,20770,20791,20750,20741,20716,20715,20755,20717,20713,20707,20714,20722,20728,20702,20680,20678,20674,20721,20712,20670,20611,20539,20520,20513,20513,20537,20522,20485,20397,20381,20354,20353,20356,20298,20212,20196,20280,20322,20311,20403,20390,20359,20446,20439,20448,20493,20554,20699,20749,20789,20895,20873,20991,21070,21160,21359,21446,21577,21716,21725,21909,22056,22205,22374,22545,22676,22914,23189,23379,23488,23655,23723,23881,24172,24372,24640,24908,25142,25380,25718,25964,26221,26450,26565,26668,26703,26752,26840,26881,26866,26878,26861,26883,26868,26821,26727,26726,26701,26688,26688,26665,26666,26624,26599,26550,26550,26491,26478,26377,26367,26299,26252,26171,26064,26009,25947,25925,25843,25751,25647,25598,25518,25391,25308,25236,25139,25004,24895,24744,24634,24465,24250,24158,24075,23969,23833,23688,23489,23399,23279,23074,22969,22840,22551,22402,22442,22363,22242,22137,22115,21995,21854,21693,21687,
Net demand,19599,19482,19563,19583,19452,19297,19248,19196,19148,19108,19046,19051,18982,18870,18796,18749,18779,18754,18694,18579,18505,18415,18346,18319,18276,18270,18271,18267,18202,18192,18168,18124,18079,18052,18021,17970,17941,17949,17916,17928,17930,17919,17930,17930,17907,17908,17919,17931,17951,17949,17968,17988,17992,17946,17959,17877,17813,17792,17815,17871,17990,18116,18295,18404,18482,18557,18601,18716,18788,18842,18917,19002,19098,19258,19422,19500,19596,19617,19615,19616,19630,19582,19551,19459,19345,19167,19055,18826,18638,18340,18114,17904,17731,17477,17313,16910,16452,16203,16048,15835,15594,15443,15155,14974,14854,14452,14066,14056,14483,14132,13869,13756,13533,13427,13367,13597,13433,13306,13454,13449,13261,13120,12919,12953,13049,12782,12338,12203,11930,11791,11834,11738,11475,11399,11371,11419,11412,11181,10989,10877,10941,10840,10818,10639,10565,10504,10478,10405,10317,10305,10381,10587,10893,11085,11323,11294,11338,11307,11261,11250,11209,10901,10723,10600,10566,10375,10159,10444,10834,10591,10926,10935,11063,11405,11628,11462,11546,11588,11509,11692,11708,11580,11708,11569,11728,11950,12207,12413,12630,12836,13231,13613,13859,14152,14476,14702,15125,15598,16066,16503,17062,17775,18370,18931,19442,19840,20190,20687,21098,21450,21843,22174,22442,22783,23076,23295,23474,23583,23661,23719,23822,23979,24061,24060,24088,24060,24012,23955,23918,23820,23775,23730,23730,23702,23717,23704,23698,23663,23711,23745,23756,23743,23707,23660,23607,23499,23401,23299,23288,23321,23363,23336,23260,23099,22978,22904,22810,22734,22721,22666,22470,22316,22082,21948,21767,21599,21537,21497,21400,21262,21080,20916,20848,20753,20541,20368,20251,19953,19689,19649,19630,19461,19352,19282,19167,18980,18840,18815,
