Net Demand 01/09/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21916,21151,21151,21151,20953,20953,20953,20654,20654,20654,20378,20378,20378,20232,20232,20232,20077,20077,20077,19921,19921,19921,19745,19745,19745,19648,19648,19648,19552,19552,19552,19469,19469,19469,19403,19403,19403,19443,19443,19443,19457,19457,19457,19471,19471,19471,19535,19535,19535,19780,19780,19780,19958,19958,19958,20189,20189,20189,20404,20404,20404,21060,21060,21060,21473,21473,21473,21919,21919,21919,22426,22426,22426,23321,23321,23321,24008,24008,24008,24587,24587,24587,25031,25031,25031,25527,25527,25527,25664,25664,25664,25621,25621,25621,25517,25517,25517,25509,25509,25509,25373,25373,25373,25223,25223,25223,25073,25073,25073,24981,24981,24981,24686,24686,24686,24495,24495,24495,24333,24333,24333,24989,24989,24989,24847,24847,24847,24495,24495,24495,24409,24409,24409,24205,24205,24205,24074,24074,24074,24029,24029,24029,23944,23944,23944,23792,23792,23792,23467,23467,23467,23471,23471,23471,23307,23307,23307,23321,23321,23321,23597,23597,23597,23647,23647,23647,23630,23630,23630,23600,23600,23600,23439,23439,23439,23448,23448,23448,23608,23608,23608,23644,23644,23644,23797,23797,23797,24054,24054,24054,24310,24310,24310,24678,24678,24678,25070,25070,25070,25530,25530,25530,26100,26100,26100,26870,26870,26870,27693,27693,27693,28047,28047,28047,28103,28103,28103,27980,27980,27980,28124,28124,28124,28068,28068,28068,27977,27977,27977,27912,27912,27912,27751,27751,27751,27615,27615,27615,27453,27453,27453,27396,27396,27396,27175,27175,27175,26911,26911,26911,26728,26728,26728,26360,26360,26360,25997,25997,25997,25697,25697,25697,25247,25247,25247,24699,24699,24699,24328,24328,24328,23822,23822,23822,23389,23389,23389,22986,22986,22986,22573,22573,22573,22227,22227,22227,21902,21902,21902
Demand (5 min. avg.),21251,21194,21124,21050,20964,20878,20809,20678,20630,20525,20469,20353,20310,20271,20182,20117,20052,20025,19975,19885,19845,19801,19738,19690,19667,19633,19603,19557,19548,19518,19491,19441,19445,19449,19426,19385,19413,19417,19458,19434,19448,19455,19449,19461,19495,19503,19495,19537,19569,19689,19784,19848,19886,19933,19985,20101,20195,20271,20364,20460,20539,20811,21045,21179,21319,21451,21488,21718,21938,22040,22210,22331,22530,22918,23288,23563,23778,23986,24197,24404,24631,24797,24901,25000,25101,25304,25505,25646,25720,25783,25740,25670,25656,25628,25566,25522,25503,25577,25589,25580,25496,25470,25442,25449,25436,25372,25297,25252,25184,25172,25135,25082,25062,25044,25056,25072,25072,25072,25072,25072,24927,24783,24756,24687,24581,24576,24589,24537,24483,24472,24426,24394,24317,24161,24085,24121,24080,24050,23980,23980,23932,23859,23733,23692,23621,23487,23453,23464,23418,23424,23406,23389,23368,23378,23461,23522,23536,23568,23520,23561,23594,23654,23657,23636,23610,23555,23556,23585,23562,23529,23419,23441,23466,23471,23462,23469,23470,23505,23509,23551,23636,23687,23748,23809,23879,23934,23972,24068,24134,24236,24332,24414,24473,24575,24652,24742,24908,25031,25171,25336,25497,25665,25875,26095,26295,26549,26782,27057,27281,27538,27713,27833,27924,28009,28064,28113,28153,28176,28177,28144,28165,28143,28132,28131,28044,28050,28053,28050,27988,27968,27867,27840,27792,27772,27743,27694,27659,27641,27608,27567,27437,27411,27372,27304,27235,27209,27137,27048,26945,26877,26792,26684,26586,26479,26345,26228,26140,26057,25914,25769,25656,25519,25389,25237,25108,24874,24702,24545,24462,24336,24170,24003,23864,23696,23516,23376,23242,23078,22882,22743,22624,22549,22412,22300,22168,22075,21981,21887,21803
Net demand,18216,18139,18130,18073,18040,18028,17910,17681,17510,17361,17278,17147,17062,16950,16855,16721,16639,16603,16530,16466,16483,16476,16444,16421,16466,16448,16353,16308,16286,16256,16203,16150,16166,16154,16131,16137,16137,16165,16206,16228,16243,16200,16232,16214,16235,16215,16212,16246,16392,16498,16688,16788,16846,16984,17082,17159,17291,17353,17407,17550,17644,17816,18150,18309,18490,18602,18660,18806,19037,19121,19248,19415,19595,19914,20309,20530,20721,20971,21207,21475,21746,21917,22007,22097,22185,22269,22315,22406,22350,22329,22144,21861,21685,21369,21215,21001,20593,20157,19713,19023,18713,18678,18425,18364,18102,17946,17749,17439,17010,17042,17042,17052,17074,16872,16710,16750,16750,16750,16750,16750,16927,17000,16858,16713,16608,16449,16308,16366,16133,16253,16329,16238,16140,15619,15151,15298,15213,15427,15411,15340,15231,15250,15311,15052,14948,15229,14993,15143,15221,15229,15365,15576,15436,15239,15322,15439,15484,15284,15278,15279,15105,15204,15109,14724,14746,15201,15299,15469,15497,14985,14483,14577,14897,14612,14568,14542,14658,15024,15340,15768,15864,16033,16271,16506,16525,16480,16721,16926,17164,17514,17890,18315,18685,19133,19548,19888,20358,20775,21173,21437,21758,22038,22278,22604,22852,23134,23377,23654,23913,24166,24368,24573,24732,24834,24904,24943,25040,25166,25265,25352,25443,25505,25524,25681,25670,25694,25820,25830,25831,25824,25806,25781,25848,25877,25956,25987,25945,25964,25965,25969,25947,26006,26084,26077,26085,26096,26058,25992,25914,25833,25722,25614,25408,25240,25017,24807,24614,24535,24361,24189,24065,23872,23668,23490,23334,23074,22898,22745,22689,22596,22404,22266,22226,22117,21929,21705,21466,21232,20984,20719,20596,20415,20324,20374,20329,20357,20611,20760,20747
