Net Demand 02/19/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,22449,22285,22285,22285,22065,22065,22065,21802,21802,21802,21686,21686,21686,21589,21589,21589,21429,21429,21429,21305,21305,21305,21235,21235,21235,21217,21217,21217,21158,21158,21158,21156,21156,21156,21124,21124,21124,21163,21163,21163,21188,21188,21188,21313,21313,21313,21410,21410,21410,21799,21799,21799,21988,21988,21988,22238,22238,22238,22570,22570,22570,23259,23259,23259,23741,23741,23741,24276,24276,24276,24911,24911,24911,25872,25872,25872,26573,26573,26573,27100,27100,27100,27211,27211,27211,27603,27603,27603,27667,27667,27667,27533,27533,27533,27433,27433,27433,27279,27279,27279,27056,27056,27056,26349,26349,26349,25583,25583,25583,25229,25229,25229,24830,24830,24830,24519,24519,24519,24141,24141,24141,23966,23966,23966,23606,23606,23606,23347,23347,23347,23085,23085,23085,22729,22729,22729,22498,22498,22498,22325,22325,22325,22176,22176,22176,22042,22042,22042,21941,21941,21941,21834,21834,21834,21705,21705,21705,21550,21550,21550,21551,21551,21551,21643,21643,21643,21735,21735,21735,21796,21796,21796,21890,21890,21890,21883,21883,21883,21985,21985,21985,22164,22164,22164,22429,22429,22429,22740,22740,22740,22850,22850,22850,23230,23230,23230,23639,23639,23639,24087,24087,24087,24532,24532,24532,25468,25468,25468,25943,25943,25943,27320,27320,27320,28015,28015,28015,28136,28136,28136,28607,28607,28607,28866,28866,28866,28880,28880,28880,28814,28814,28814,28779,28779,28779,28881,28881,28881,28840,28840,28840,28702,28702,28702,28547,28547,28547,28316,28316,28316,28084,28084,28084,27651,27651,27651,27285,27285,27285,26961,26961,26961,26433,26433,26433,25739,25739,25739,25248,25248,25248,24691,24691,24691,24298,24298,24298,23863,23863,23863,23490,23490,23490,23202,23202,23202,22832,22832,22832
Demand (5 min. avg.),22404,22289,22256,22290,22202,22121,22046,21976,21907,21889,21812,21696,21659,21605,21651,21602,21537,21495,21448,21408,21386,21350,21291,21269,21263,21267,21276,21243,21216,21212,21191,21174,21161,21166,21148,21084,21117,21139,21268,21298,21288,21281,21295,21312,21334,21369,21341,21590,21583,21697,21829,21877,21935,22005,22130,22218,22283,22365,22490,22617,22724,22933,23303,23489,23674,23785,23916,24126,24324,24516,24600,24836,25104,25693,25919,26177,26470,26445,26593,26856,27062,27146,27209,27213,27342,27558,27707,27706,27769,27835,27922,27980,27928,27801,27667,27463,27331,27057,27071,26955,26662,26516,26290,26110,26005,25904,25797,25633,25481,25480,25384,25216,25096,24937,24766,24606,24553,24485,24303,24168,24046,23983,23926,23816,23717,23575,23475,23389,23335,23216,23095,23035,22884,22812,22725,22678,22583,22502,22407,22403,22354,22297,22206,22170,22094,22113,21961,21934,21884,21807,21721,21782,21838,21760,21633,21570,21576,21569,21647,21680,21688,21716,21691,21685,21739,21763,21830,21792,21714,21709,21728,21685,21745,21768,21756,21818,21868,21902,21942,22030,22076,22132,22233,22216,22168,22317,22391,22508,22590,22658,22646,22925,23069,23130,23219,23434,23671,23571,23658,23772,23873,23873,24419,24747,24972,25511,25814,26117,26223,26377,26192,26106,26325,26610,26953,27315,27617,27895,28173,28524,28704,28781,28803,28733,28696,28761,28745,28860,28910,28915,28963,28984,29040,28998,28984,28953,28870,28836,28856,28840,28825,28721,28675,28627,28607,28552,28474,28416,28369,28236,28116,28055,27932,27833,27732,27575,27435,27299,27197,27040,26893,26713,26496,26351,26107,25876,25577,25449,25296,25218,25091,24943,24769,24630,24458,24277,24086,23999,23863,23695,23589,23450,23348,23186,23067,22943,22828,22603,
Net demand,19993,19862,19842,19841,19855,19777,19713,19681,19568,19489,19466,19360,19312,19319,19337,19394,19399,19432,19446,19419,19419,19427,19396,19375,19385,19485,19609,19680,19661,19635,19681,19671,19676,19687,19755,19730,19787,19879,20032,20110,20156,20133,20094,20112,20165,20242,20230,20380,20458,20533,20704,20894,20998,21094,21265,21366,21505,21560,21764,21840,22017,22085,22452,22696,22852,22964,23042,23186,23397,23578,23732,23920,24172,24687,25044,25271,25620,25756,25846,26054,26332,26385,26341,26190,26042,25953,25800,25471,25109,24729,24426,23973,23503,22909,22329,21675,21010,20437,19991,19599,19091,18600,18145,17683,17291,17046,16699,16426,16076,16140,15978,15868,15555,15312,15109,14798,14469,14487,14262,13985,13785,13879,13858,13726,13643,13527,13318,13266,13172,13091,13072,13057,12922,12990,12951,12917,12871,12744,12630,12629,12654,12699,12657,12538,12470,12426,12359,12174,12185,12190,12178,12190,12172,12211,11995,11881,11820,11732,11507,11566,11721,11780,11559,11576,11485,11501,11502,11590,11882,11391,11204,11141,11282,11461,11428,11285,11300,11429,11515,11657,11989,12470,12424,12406,12488,12586,12730,12903,13158,13386,13336,14145,14666,15184,15816,16092,16692,17089,17563,18105,18639,18684,19908,20927,21555,22415,23027,23660,24027,24346,24484,24319,24520,24782,25139,25440,25696,25933,26220,26566,26818,26912,26870,26894,26811,26874,26851,26886,26942,26853,26831,26815,26847,26746,26760,26813,26825,26792,26720,26596,26534,26428,26248,26140,26084,25993,25852,25763,25692,25525,25409,25296,25192,25048,24969,24884,24747,24597,24476,24298,24118,23944,23659,23525,23302,22994,22664,22434,22324,22259,22131,21968,21768,21611,21481,21316,21116,20980,20871,20773,20641,20509,20449,20329,20168,20017,19774,19599,
