Net Demand 05/30/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,23943,23603,23603,23603,23368,23368,23368,23013,23013,23013,22713,22713,22713,22371,22371,22371,22074,22074,22074,21915,21915,21915,21704,21704,21704,21537,21537,21537,21411,21411,21411,21302,21302,21302,21008,21008,21008,20937,20937,20937,20892,20892,20892,20825,20825,20825,20748,20748,20748,20718,20718,20718,20713,20713,20713,20720,20720,20720,20751,20751,20751,20883,20883,20883,20952,20952,20952,20917,20917,20917,20732,20732,20732,20788,20788,20788,20781,20781,20781,20837,20837,20837,20916,20916,20916,20946,20946,20946,20882,20882,20882,20839,20839,20839,20875,20875,20875,20932,20932,20932,20894,20894,20894,20836,20836,20836,20773,20773,20773,20771,20771,20771,20635,20635,20635,20632,20632,20632,20799,20799,20799,20972,20972,20972,20928,20928,20928,20732,20732,20732,20806,20806,20806,21018,21018,21018,20980,20980,20980,21073,21073,21073,21128,21128,21128,21223,21223,21223,21144,21144,21144,21103,21103,21103,20954,20954,20954,20853,20853,20853,20995,20995,20995,21225,21225,21225,21516,21516,21516,21697,21697,21697,22114,22114,22114,22313,22313,22313,22505,22505,22505,22801,22801,22801,22944,22944,22944,23067,23067,23067,23207,23207,23207,23443,23443,23443,23688,23688,23688,24055,24055,24055,24211,24211,24211,24302,24302,24302,24835,24835,24835,25102,25102,25102,25251,25251,25251,25356,25356,25356,25499,25499,25499,25463,25463,25463,25560,25560,25560,25621,25621,25621,25688,25688,25688,25747,25747,25747,25942,25942,25942,26269,26269,26269,26440,26440,26440,26349,26349,26349,26382,26382,26382,26394,26394,26394,26171,26171,26171,25821,25821,25821,25515,25515,25515,25096,25096,25096,24783,24783,24783,24400,24400,24400,23971,23971,23971,23571,23571,23571,23254,23254,23254,22929,22929,22929,22591,22591,22591
Demand (5 min. avg.),23718,23625,23589,23480,23360,23262,23160,23033,22915,22840,22757,22667,22550,22505,22451,22377,22269,22180,22095,22032,21937,21859,21825,21747,21676,21585,21577,21520,21487,21385,21300,21239,21202,21145,21113,21043,21002,20982,20943,20937,20917,20883,20835,20804,20776,20750,20736,20700,20684,20717,20746,20741,20743,20727,20725,20712,20713,20719,20716,20711,20760,20808,20870,20919,20945,20950,20959,20961,20944,20866,20798,20767,20756,20799,20832,20856,20834,20820,20819,20804,20801,20800,20784,20738,20742,20782,20830,20853,20846,20786,20761,20760,20732,20733,20720,20719,20714,20729,20772,20778,20739,20718,20717,20744,20768,20720,20714,20672,20658,20675,20714,20779,20816,20860,20879,20931,20943,20932,20977,20954,20917,20912,20948,20930,20928,20967,20985,21048,21086,21066,21017,21035,20991,21010,21029,21076,21086,21101,21113,21144,21176,21186,21169,21156,21125,21101,21044,20988,20955,20901,20826,20804,20776,20885,20895,20928,21025,21084,21073,21111,21253,21342,21409,21383,21497,21571,21746,21818,21908,21878,21961,21998,22076,22114,22194,22263,22293,22303,22193,22250,22419,22462,22573,22598,22714,22842,22894,22972,23038,23122,23160,23206,23282,23320,23517,23615,23734,23809,23883,23903,23998,24128,24245,24357,24411,24451,24432,24578,24669,24739,24779,24871,24948,25011,25099,25117,25151,25119,25198,25247,25285,25328,25342,25417,25456,25488,25588,25573,25553,25582,25598,25632,25638,25677,25688,25730,25746,25797,25820,25885,25931,26022,26066,26168,26262,26324,26346,26383,26394,26424,26357,26348,26317,26302,26228,26188,26099,26021,25933,25818,25733,25635,25509,25416,25299,25175,25061,24962,24819,24685,24574,24426,24304,24188,24092,23966,23855,23719,23659,23515,23369,23267,23160,23058,22934,22793,22684,22577,
Net demand,21328,21286,21243,21190,21071,20986,20930,20858,20730,20651,20622,20590,20542,20506,20546,20498,20464,20433,20412,20414,20370,20353,20300,20248,20152,20076,19973,19985,19934,19876,19741,19682,19659,19688,19677,19611,19541,19527,19477,19419,19371,19355,19313,19268,19267,19307,19267,19267,19301,19346,19384,19400,19410,19419,19413,19404,19422,19425,19439,19422,19394,19402,19464,19508,19571,19627,19661,19677,19668,19589,19464,19344,19204,19079,18914,18743,18607,18375,18157,17893,17537,17188,16805,16422,15999,15548,15173,14665,14081,13757,13481,13037,12687,12498,12219,11996,12099,12208,12263,12416,12393,12327,12373,12589,12604,12597,12531,12478,12484,12367,12391,12410,12264,12072,11767,11465,11305,11121,10880,10572,10608,10368,10408,10335,10233,10179,10068,9932,9936,9884,9864,9812,9856,9846,9654,9680,9597,9532,9462,9380,9366,9473,9477,9422,9369,9417,9439,9335,9307,9227,9124,9163,9187,9435,9501,9441,9344,9513,9791,9832,10036,10160,10168,10106,10455,10740,10929,11004,11119,11282,11063,11114,11226,11332,11245,11046,11022,11150,11094,10702,10891,11401,11629,11785,11870,12025,12074,12037,11910,12266,12681,12832,12848,12862,13053,13078,13335,13380,13766,13851,13830,14112,14674,15166,15569,16102,16165,16168,15836,15736,15818,16109,16236,16228,16373,16621,16849,17518,18197,18494,18643,18938,19079,19437,19763,20062,20422,20682,21120,21548,21869,22203,22533,22642,22891,23091,23247,23412,23568,23652,23642,23755,23829,23896,23981,24009,23974,23897,23861,23787,23765,23711,23717,23726,23647,23551,23457,23407,23272,23153,23012,22886,22732,22705,22694,22672,22544,22418,22283,22140,22018,21863,21743,21641,21541,21450,21301,21177,21033,20856,20648,20532,20379,20292,20190,20012,19777,19642,
