Net Demand 02/06/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,22810,22587,22587,22587,22345,22345,22345,22099,22099,22099,21907,21907,21907,21772,21772,21772,21600,21600,21600,21447,21447,21447,21355,21355,21355,21255,21255,21255,21168,21168,21168,21083,21083,21083,21046,21046,21046,21120,21120,21120,21131,21131,21131,21185,21185,21185,21251,21251,21251,21481,21481,21481,21669,21669,21669,21923,21923,21923,22259,22259,22259,22867,22867,22867,23325,23325,23325,23902,23902,23902,24508,24508,24508,25576,25576,25576,26225,26225,26225,26668,26668,26668,27053,27053,27053,27517,27517,27517,27597,27597,27597,27485,27485,27485,27135,27135,27135,26944,26944,26944,26618,26618,26618,26016,26016,26016,25853,25853,25853,25295,25295,25295,24975,24975,24975,24630,24630,24630,24438,24438,24438,24214,24214,24214,23974,23974,23974,23743,23743,23743,23370,23370,23370,23078,23078,23078,22902,22902,22902,22748,22748,22748,22640,22640,22640,22365,22365,22365,22277,22277,22277,22197,22197,22197,22178,22178,22178,22266,22266,22266,22286,22286,22286,22459,22459,22459,22413,22413,22413,22347,22347,22347,22430,22430,22430,22555,22555,22555,22726,22726,22726,22759,22759,22759,22962,22962,22962,23180,23180,23180,23433,23433,23433,23860,23860,23860,24337,24337,24337,24782,24782,24782,25540,25540,25540,25648,25648,25648,26616,26616,26616,27488,27488,27488,28100,28100,28100,28664,28664,28664,28858,28858,28858,28933,28933,28933,28890,28890,28890,28835,28835,28835,28774,28774,28774,28657,28657,28657,28573,28573,28573,28477,28477,28477,28317,28317,28317,28128,28128,28128,27938,27938,27938,27531,27531,27531,27193,27193,27193,26869,26869,26869,26430,26430,26430,25848,25848,25848,25405,25405,25405,24864,24864,24864,24479,24479,24479,24040,24040,24040,23655,23655,23655,23362,23362,23362,23011,23011,23011
Demand (5 min. avg.),22748,22674,22612,22547,22431,22395,22319,22282,22214,22084,22064,21984,21877,21852,21746,21696,21637,21621,21600,21565,21534,21433,21391,21327,21275,21247,21268,21232,21173,21148,21138,21111,21123,21127,21058,21152,21089,21091,21146,21117,21112,21129,21138,21137,21180,21200,21178,21232,21272,21365,21485,21624,21676,21733,21763,21918,21979,22104,22202,22299,22406,22673,23015,23171,23335,23473,23594,23828,24067,24242,24414,24546,24684,25106,25468,25752,26013,26211,26385,26620,26889,26975,27096,27153,27255,27432,27593,27648,27679,27645,27597,27550,27529,27352,27210,27139,27059,26874,26788,26749,26620,26605,26474,26334,26132,25941,25881,25694,25536,25406,25391,25334,25241,25198,25018,24901,24766,24737,24570,24511,24402,24311,24317,24160,23978,23902,23733,23626,23559,23505,23403,23258,23110,23063,23011,22904,22957,22862,22785,22702,22663,22631,22584,22508,22417,22375,22400,22363,22335,22279,22219,22187,22267,22259,22232,22270,22213,22279,22322,22392,22354,22321,22269,22334,22387,22444,22278,22270,22287,22337,22356,22349,22376,22465,22534,22529,22590,22600,22559,22580,22611,22618,22575,22642,22806,22883,23014,23022,23150,23250,23406,23536,23651,23712,23711,23944,24184,24320,24504,24609,24746,24840,24838,25004,25342,25648,25792,25919,25899,25899,25899,25899,25899,25899,25899,25899,25899,25899,28671,28742,28783,28847,28878,28909,28956,28931,28945,28917,28915,28847,28826,28816,28785,28790,28737,28721,28688,28625,28650,28615,28606,28576,28470,28424,28420,28372,28363,28282,28202,28125,28019,27916,27813,27704,27579,27435,27327,27252,27119,26984,26866,26745,26545,26392,26246,25960,25817,25731,25607,25490,25337,25133,24995,24817,24612,24465,24299,24198,24074,23953,23841,23722,23545,23428,23267,23177,23068,22953,
Net demand,19447,19299,19121,18994,18852,18777,18730,18657,18623,18487,18412,18438,18327,18269,18260,18245,18198,18202,18205,18267,18297,18296,18210,18240,18204,18214,18283,18363,18420,18435,18518,18584,18638,18720,18701,18794,18854,18773,18817,18775,18690,18668,18656,18594,18611,18562,18543,18549,18610,18621,18682,18793,18934,18894,18944,18978,19047,19072,19138,19179,19237,19351,19725,20017,20250,20549,20817,21116,21519,21902,22249,22541,22779,23141,23583,23844,24105,24330,24542,24749,25025,25115,25151,25140,25107,25056,25060,24878,24594,24273,23876,23319,22955,22399,21799,21243,20570,19868,19290,18885,18346,17866,17514,17344,16858,16715,16547,16216,15831,15583,15296,15178,15035,15105,15026,15112,14808,14730,14884,14707,14556,14125,13735,13449,13252,13038,13142,13386,13205,13033,12898,12863,12791,12879,12805,12415,12549,12551,12403,12449,12530,12363,12361,12397,12298,12315,12426,12511,12452,12167,12015,11947,11617,11640,11757,11810,11942,12137,12388,12548,12692,12631,12520,12540,12518,12781,12871,12627,12655,12378,12371,12416,12239,12143,12253,12139,12059,12182,12249,12372,12422,12651,13080,13312,13320,13278,13481,13783,13962,14398,14917,15425,15994,16321,16746,17320,18032,18606,18986,19753,20289,20608,20958,21252,22180,22718,23024,23392,23374,23374,23374,23374,23374,23374,23374,23374,23910,23910,25326,26745,26824,26874,26917,26935,26964,26952,26961,26991,26982,26950,26946,26918,26892,26906,26903,26901,26830,26722,26636,26577,26527,26468,26385,26318,26362,26356,26353,26285,26217,26097,25990,25890,25820,25679,25590,25495,25389,25371,25304,25160,25066,24954,24768,24557,24431,24203,24007,23957,23878,23771,23685,23577,23529,23442,23295,23163,23026,22932,22892,22782,22759,22689,22602,22597,22537,22467,22433,22405,
