Net Demand 07/09/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,24192,23933,23933,23933,23613,23613,23613,23232,23232,23232,22918,22918,22918,22754,22754,22754,22545,22545,22545,22354,22354,22354,22133,22133,22133,21899,21899,21899,21758,21758,21758,21666,21666,21666,21570,21570,21570,21413,21413,21413,21351,21351,21351,21253,21253,21253,21335,21335,21335,21506,21506,21506,21643,21643,21643,21780,21780,21780,22002,22002,22002,22492,22492,22492,22795,22795,22795,23133,23133,23133,23187,23187,23187,23647,23647,23647,23962,23962,23962,24258,24258,24258,24587,24587,24587,25042,25042,25042,25263,25263,25263,25379,25379,25379,25410,25410,25410,25604,25604,25604,25765,25765,25765,25730,25730,25730,25690,25690,25690,25760,25760,25760,25848,25848,25848,25767,25767,25767,25767,25767,25767,25830,25830,25830,25760,25760,25760,25801,25801,25801,25920,25920,25920,25986,25986,25986,26101,26101,26101,26183,26183,26183,26196,26196,26196,26324,26324,26324,26461,26461,26461,26725,26725,26725,27034,27034,27034,27212,27212,27212,27412,27412,27412,27650,27650,27650,28109,28109,28109,28096,28096,28096,28549,28549,28549,28652,28652,28652,29109,29109,29109,29659,29659,29659,29816,29816,29816,30177,30177,30177,30516,30516,30516,30898,30898,30898,31284,31284,31284,31470,31470,31470,31619,31619,31619,31904,31904,31904,32168,32168,32168,32439,32439,32439,32666,32666,32666,32462,32462,32462,32592,32592,32592,32574,32574,32574,32600,32600,32600,32402,32402,32402,32227,32227,32227,32095,32095,32095,31926,31926,31926,31823,31823,31823,31976,31976,31976,32020,32020,32020,31951,31951,31951,31536,31536,31536,31136,31136,31136,30645,30645,30645,30056,30056,30056,29356,29356,29356,28758,28758,28758,28144,28144,28144,27527,27527,27527,26941,26941,26941,26399,26399,26399,25855,25855,25855,25370,25370,25370
Demand (5 min. avg.),24159,24033,23959,23922,23803,23708,23597,23517,23346,23225,23136,23041,22939,22871,22806,22699,22618,22525,22412,22343,22318,22240,22156,22064,21974,21940,21918,21929,21885,21829,21721,21714,21574,21501,21463,21432,21407,21382,21377,21346,21364,21445,21419,21368,21262,21257,21287,21373,21470,21467,21500,21545,21644,21751,21756,21837,21948,21979,21972,21999,22154,22322,22557,22706,22801,22864,22873,23020,23110,23163,23136,23122,23162,23428,23811,23953,23963,23956,24065,24135,24230,24337,24427,24545,24650,24837,25001,25068,25153,25206,25237,25253,25306,25378,25441,25450,25463,25453,25604,25630,25642,25579,25610,25587,25633,25640,25686,25715,25653,25699,25749,25697,25721,25691,25687,25638,25679,25671,25677,25647,25619,25593,25677,25715,25752,25742,25759,25756,25790,25791,25821,25885,25901,25961,26005,26062,26095,26067,25974,26043,26163,26324,26300,26146,26164,26298,26331,26448,26439,26475,26620,26693,26682,26691,26804,26893,26985,27030,27137,27322,27494,27633,27662,27620,27714,27781,27939,28052,28115,28167,28400,28495,28462,28601,28667,28882,28875,28936,29057,29200,29333,29439,29574,29681,29856,29908,30011,30113,30264,30380,30492,30618,30709,30767,30902,30907,30913,31031,31200,31269,31455,31588,31689,31755,31822,31959,32015,32084,32172,32244,32308,32396,32451,32466,32514,32556,32624,32461,32470,32513,32496,32641,32620,32673,32680,32649,32671,32594,32559,32530,32460,32376,32329,32303,32239,32127,32124,32017,31943,31982,31932,31849,31865,31903,31960,32035,32105,32013,31980,31931,31905,31827,31732,31621,31502,31380,31234,31109,30987,30806,30673,30524,30348,30144,29968,29633,29354,29307,29085,28850,28656,28390,28194,28010,27752,27527,27334,27139,26933,26711,26611,26391,26201,25981,25815,25667,25493,25319,
Net demand,19618,19458,19357,19337,19260,19160,19021,18939,18803,18646,18521,18409,18289,18161,18037,17966,17883,17840,17743,17657,17602,17580,17515,17449,17369,17365,17381,17418,17402,17369,17345,17257,17217,17107,17050,17082,17002,16997,17005,17019,17071,17191,17191,17166,17070,17089,17105,17165,17315,17347,17389,17455,17515,17692,17782,17850,18009,18071,18079,18093,18259,18471,18721,18980,19139,19234,19272,19325,19550,19568,19641,19670,19672,19827,20196,20300,20243,20027,19918,19758,19568,19403,19220,19044,18877,18716,18628,18415,18165,17922,17565,17245,16926,16644,16320,16013,15673,15424,15322,15193,15002,14896,14776,14714,14636,14460,14301,14229,14106,14080,14016,13963,13902,13867,13807,13767,13729,13685,13631,13624,13596,13586,13616,13690,13694,13756,13687,13699,13731,13893,13912,14007,14030,13987,14015,14004,13996,14141,14011,14027,14046,14252,14279,14150,13993,14165,14233,14331,14410,14431,14518,14688,14734,14682,14811,14883,14953,15037,15126,15223,15478,15612,15726,15615,15652,15800,16003,16132,16230,16295,16319,16511,16565,16651,16689,16822,16922,16893,17001,17160,17295,17370,17459,17622,17795,17846,17908,18071,18221,18328,18399,18479,18589,18641,18812,18876,19031,19136,19493,19746,19944,20176,20336,20510,20671,20722,20827,20947,21087,21454,21656,21779,22036,22165,22354,22582,22799,22921,22978,23327,23655,23999,24420,24835,25218,25555,25911,26306,26623,27021,27257,27501,27728,28045,28247,28394,28544,28664,28716,28767,28764,28754,28771,28756,28780,28808,28925,28857,28748,28662,28627,28590,28491,28412,28310,28189,28012,27884,27724,27562,27403,27282,27073,26888,26682,26400,26064,25854,25727,25417,25198,25031,24778,24613,24381,24137,23929,23683,23459,23322,23116,23021,22767,22620,22434,22287,22140,21972,
