Net Demand 04/28/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,22373,22018,22018,22018,21790,21790,21790,21419,21419,21419,21090,21090,21090,20796,20796,20796,20589,20589,20589,20366,20366,20366,20111,20111,20111,19952,19952,19952,19798,19798,19798,19707,19707,19707,19603,19603,19603,19481,19481,19481,19448,19448,19448,19444,19444,19444,19427,19427,19427,19462,19462,19462,19510,19510,19510,19571,19571,19571,19639,19639,19639,19857,19857,19857,20004,20004,20004,19941,19941,19941,20191,20191,20191,20356,20356,20356,20242,20242,20242,20307,20307,20307,20381,20381,20381,20639,20639,20639,20798,20798,20798,20793,20793,20793,20783,20783,20783,20999,20999,20999,21015,21015,21015,20861,20861,20861,20674,20674,20674,20700,20700,20700,20599,20599,20599,20559,20559,20559,20506,20506,20506,20517,20517,20517,20573,20573,20573,20589,20589,20589,20677,20677,20677,20696,20696,20696,20655,20655,20655,20585,20585,20585,20576,20576,20576,20527,20527,20527,20441,20441,20441,20408,20408,20408,20336,20336,20336,20211,20211,20211,20274,20274,20274,20207,20207,20207,20203,20203,20203,20190,20190,20190,20161,20161,20161,20228,20228,20228,20323,20323,20323,20397,20397,20397,20542,20542,20542,20569,20569,20569,20701,20701,20701,20742,20742,20742,20879,20879,20879,21150,21150,21150,21500,21500,21500,21678,21678,21678,21949,21949,21949,22192,22192,22192,22601,22601,22601,22856,22856,22856,23050,23050,23050,23315,23315,23315,23694,23694,23694,24093,24093,24093,24306,24306,24306,24705,24705,24705,25072,25072,25072,25463,25463,25463,25569,25569,25569,25471,25471,25471,25313,25313,25313,25086,25086,25086,24941,24941,24941,24653,24653,24653,24348,24348,24348,23996,23996,23996,23727,23727,23727,23296,23296,23296,22948,22948,22948,22492,22492,22492,22133,22133,22133,21811,21811,21811,21420,21420,21420
Demand (5 min. avg.),22161,22015,21884,21739,21681,21579,21432,21366,21264,21158,21098,21008,20924,20806,20735,20645,20530,20453,20399,20286,20249,20201,20122,20108,20011,19960,19920,19882,19868,19804,19781,19719,19672,19616,19555,19526,19525,19507,19478,19502,19484,19490,19469,19460,19450,19452,19407,19416,19387,19409,19467,19494,19520,19520,19518,19569,19527,19562,19591,19653,19651,19644,19696,19734,19763,19787,19795,19996,20061,20085,20154,20173,20204,20263,20386,20408,20372,20343,20341,20377,20390,20397,20387,20420,20418,20578,20659,20683,20709,20731,20742,20739,20741,20759,20768,20800,20799,20941,20983,20971,20957,20932,20855,20814,20695,20683,20645,20632,20609,20614,20596,20617,20604,20590,20580,20537,20537,20500,20498,20472,20446,20543,20680,20676,20673,20677,20680,20684,20730,20733,20736,20711,20648,20617,20653,20671,20606,20617,20603,20599,20583,20588,20542,20548,20504,20478,20436,20427,20421,20410,20403,20359,20350,20302,20259,20243,20266,20264,20223,20226,20193,20192,20184,20176,20149,20168,20150,20144,20145,20113,20078,20094,20129,20149,20182,20196,20193,20240,20271,20306,20334,20298,20308,20325,20377,20381,20372,20431,20505,20579,20621,20648,20674,20731,20776,20834,20886,20982,21084,21200,21267,21358,21430,21490,21604,21689,21754,21795,21886,22028,22155,22240,22347,22456,22578,22633,22725,22777,22896,22974,23109,23172,23286,23407,23495,23620,23721,23829,23904,23979,24007,24053,24159,24291,24395,24479,24600,24759,24937,25088,25226,25358,25433,25521,25541,25561,25546,25514,25474,25413,25379,25310,25266,25211,25141,25072,24982,24932,24838,24724,24618,24583,24482,24385,24297,24168,23997,23887,23754,23638,23518,23373,23268,23176,23055,22934,22786,22639,22468,22358,22258,22172,22025,21860,21712,21585,21417,21323,
Net demand,18759,18599,18500,18321,18244,18165,18075,17967,17860,17747,17654,17590,17517,17389,17298,17236,17113,17013,16930,16838,16737,16699,16594,16590,16550,16502,16476,16419,16405,16355,16310,16267,16221,16217,16133,16099,16086,16093,16082,16110,16123,16145,16130,16133,16133,16133,16125,16147,16143,16150,16190,16276,16280,16332,16330,16380,16403,16395,16454,16535,16664,16655,16684,16742,16813,16879,16908,17045,17165,17208,17287,17366,17410,17464,17581,17661,17604,17476,17344,17223,17046,16805,16506,16161,15804,15514,15303,14974,14556,14195,13747,13540,13672,13465,13300,12996,12688,12257,11787,11431,11148,11024,10943,10701,10626,10563,10458,10327,10232,10075,10031,10104,10240,10198,10125,10016,9854,9718,9740,9689,9543,9321,9249,9077,9006,9117,9163,9165,9138,9002,8853,8722,8650,8405,8153,7978,8122,8021,8127,8186,8336,8276,8134,7945,8047,7695,7598,7598,7555,7572,7490,7491,7508,7516,7459,7430,7400,7427,7388,7401,7376,7274,7325,7405,7439,7463,7528,7431,7461,7511,7530,7559,7608,7567,7470,7330,7438,7541,7689,7631,7536,7432,7400,7385,7410,7564,7731,7731,7700,7713,7870,8016,8165,8324,8441,8674,8907,8939,8644,8646,8744,8898,9033,9389,9997,10504,10754,10752,10733,11020,11452,11810,11945,11894,12065,12441,13119,13983,14697,15254,15935,16121,15915,16380,16956,17457,17959,18438,18824,19259,19633,19822,20067,20272,20498,20711,20912,21161,21351,21543,21731,21867,22023,22128,22162,22145,22155,22135,22086,22069,22059,22056,22012,21953,21852,21798,21665,21578,21530,21357,21255,21247,21185,21121,21029,20920,20754,20593,20412,20300,20183,20014,19819,19684,19501,19227,19008,18790,18743,18715,18669,18616,18576,18432,18281,18149,18016,17972,
