Net Demand 05/25/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,22176,21840,21840,21840,21595,21595,21595,21248,21248,21248,20955,20955,20955,20618,20618,20618,20377,20377,20377,20079,20079,20079,19958,19958,19958,19738,19738,19738,19599,19599,19599,19534,19534,19534,19372,19372,19372,19237,19237,19237,19161,19161,19161,19104,19104,19104,19039,19039,19039,19089,19089,19089,19047,19047,19047,19056,19056,19056,19048,19048,19048,19264,19264,19264,19305,19305,19305,19149,19149,19149,18922,18922,18922,19122,19122,19122,19105,19105,19105,19164,19164,19164,19092,19092,19092,19212,19212,19212,19227,19227,19227,19207,19207,19207,19248,19248,19248,19299,19299,19299,19432,19432,19432,19478,19478,19478,19382,19382,19382,19620,19620,19620,19599,19599,19599,19668,19668,19668,19771,19771,19771,19857,19857,19857,19846,19846,19846,20010,20010,20010,20178,20178,20178,20455,20455,20455,20818,20818,20818,21096,21096,21096,21386,21386,21386,21736,21736,21736,22162,22162,22162,22471,22471,22471,22841,22841,22841,23159,23159,23159,23562,23562,23562,24070,24070,24070,24487,24487,24487,24957,24957,24957,25549,25549,25549,26083,26083,26083,26434,26434,26434,26883,26883,26883,27362,27362,27362,27850,27850,27850,28419,28419,28419,28821,28821,28821,29249,29249,29249,29883,29883,29883,30369,30369,30369,30791,30791,30791,31231,31231,31231,31671,31671,31671,32000,32000,32000,32096,32096,32096,32234,32234,32234,32385,32385,32385,32495,32495,32495,32435,32435,32435,32543,32543,32543,32216,32216,32216,32094,32094,32094,32061,32061,32061,31988,31988,31988,31792,31792,31792,31452,31452,31452,31110,31110,31110,30555,30555,30555,30030,30030,30030,29386,29386,29386,28664,28664,28664,28153,28153,28153,27472,27472,27472,26849,26849,26849,26128,26128,26128,25607,25607,25607,25061,25061,25061,24575,24575,24575
Demand (5 min. avg.),21945,21771,21815,21757,21656,21498,21355,21315,21214,21100,21001,20911,20818,20652,20551,20547,20470,20391,20247,20212,20203,20088,20042,19908,19886,19891,19848,19770,19718,19680,19580,19471,19484,19469,19432,19334,19266,19287,19275,19253,19153,19137,19155,19129,19116,19021,19029,19053,19048,19053,19108,19115,19092,19021,19083,19106,19127,19109,19113,19122,19075,19190,19326,19334,19377,19310,19349,19334,19285,19245,19173,19116,19087,19175,19229,19204,19193,19112,19129,19181,19154,19151,19164,19175,19157,19243,19315,19273,19282,19257,19215,19128,19166,19174,19178,19174,19179,19279,19327,19345,19275,19255,19318,19336,19361,19354,19300,19392,19359,19453,19487,19500,19537,19532,19536,19537,19558,19530,19510,19553,19643,19684,19737,19773,19817,19836,19841,19978,20026,20102,20191,20273,20350,20468,20584,20694,20800,20908,21028,21138,21193,21211,21409,21523,21617,21654,21785,21899,22000,22114,22284,22414,22516,22632,22794,22920,23057,23160,23274,23447,23605,23742,23812,23958,24153,24320,24506,24556,24840,25079,25198,25345,25412,25639,25827,26001,26138,26315,26460,26563,26669,26875,27075,27220,27330,27508,27725,27882,28065,28207,28362,28460,28596,28812,29000,29161,29285,29438,29697,29876,30021,30166,30335,30605,30733,30809,30950,31094,31248,31311,31509,31700,31810,31915,31974,32144,32302,32315,32291,32305,32443,32551,32619,32581,32608,32736,32763,32777,32748,32642,32565,32518,32510,32441,32360,32248,32192,32136,32023,31927,31944,31925,31887,31854,31821,31860,31802,31756,31715,31645,31581,31406,31312,31197,31039,30868,30729,30590,30413,30216,30044,29875,29690,29516,29280,28934,28727,28557,28349,28137,27888,27672,27424,27165,26979,26798,26558,26272,25974,25880,25698,25506,25229,25077,24964,24789,24602,24471,
Net demand,20449,20265,20233,20213,20136,20032,19892,19803,19737,19629,19496,19410,19317,19150,18993,18958,18928,18857,18773,18647,18667,18556,18449,18369,18285,18334,18364,18304,18266,18271,18248,18136,18094,18155,18155,18159,18110,18148,18175,18179,18139,18120,18182,18193,18209,18157,18174,18273,18304,18334,18430,18475,18493,18426,18424,18508,18553,18591,18618,18651,18669,18713,18898,18944,18972,18947,18968,18981,18979,18901,18813,18724,18585,18485,18400,18181,17866,17491,17124,16828,16416,16035,15667,15303,14891,14460,14056,13629,13263,13072,13037,12907,12798,12749,12692,12570,12507,12442,12279,12296,12260,12073,12118,11947,11734,11552,11388,11390,11285,11175,10970,10674,10664,10694,10540,10341,10217,10137,10087,10046,10053,10081,10226,10198,10196,10168,10017,10021,10110,10113,10150,10083,9992,9876,9735,9854,9835,9803,9807,9899,9956,9950,9966,10145,10255,10194,10185,10240,10352,10487,10699,10839,10946,10982,11133,11300,11437,11556,11676,11907,12082,12229,12363,12453,12657,12843,13030,13142,13324,13665,13817,13986,14063,14240,14512,14656,14850,15028,15226,15371,15515,15701,15950,16160,16345,16520,16790,17020,17212,17431,17656,17824,17949,18222,18483,18693,18960,19067,19339,19630,19871,20078,20335,20659,20936,21236,21403,21640,21861,22021,22245,22580,22754,23021,23205,23529,23952,24265,24602,24937,25332,25791,26226,26667,26966,27476,27894,28293,28692,28990,29249,29534,29840,30101,30286,30354,30396,30452,30438,30342,30340,30341,30308,30263,30200,30214,30167,30101,30063,30018,29935,29815,29670,29582,29462,29252,29091,28937,28782,28594,28429,28249,28056,27863,27661,27373,27067,26888,26693,26472,26263,26011,25806,25532,25350,25209,25022,24762,24483,24350,24218,24020,23792,23571,23472,23288,23078,22899,
