Net Demand 01/15/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21808,21491,21491,21491,21271,21271,21271,21036,21036,21036,20804,20804,20804,20621,20621,20621,20477,20477,20477,20325,20325,20325,20211,20211,20211,20138,20138,20138,20060,20060,20060,20012,20012,20012,19985,19985,19985,19993,19993,19993,20005,20005,20005,20039,20039,20039,20154,20154,20154,20389,20389,20389,20626,20626,20626,20871,20871,20871,21183,21183,21183,21788,21788,21788,22277,22277,22277,22776,22776,22776,23344,23344,23344,24325,24325,24325,25055,25055,25055,25733,25733,25733,26258,26258,26258,26702,26702,26702,26819,26819,26819,26784,26784,26784,26679,26679,26679,26600,26600,26600,26426,26426,26426,26192,26192,26192,25804,25804,25804,25542,25542,25542,24921,24921,24921,24621,24621,24621,24261,24261,24261,24008,24008,24008,23600,23600,23600,23420,23420,23420,23193,23193,23193,22857,22857,22857,22696,22696,22696,22552,22552,22552,22593,22593,22593,22511,22511,22511,22416,22416,22416,22351,22351,22351,22322,22322,22322,22336,22336,22336,22304,22304,22304,22351,22351,22351,22476,22476,22476,22556,22556,22556,22747,22747,22747,22854,22854,22854,23014,23014,23014,23253,23253,23253,23585,23585,23585,23867,23867,23867,24202,24202,24202,24558,24558,24558,24941,24941,24941,25547,25547,25547,26236,26236,26236,26880,26880,26880,27661,27661,27661,28262,28262,28262,28489,28489,28489,28439,28439,28439,28421,28421,28421,28460,28460,28460,28373,28373,28373,28188,28188,28188,28075,28075,28075,28009,28009,28009,27819,27819,27819,27689,27689,27689,27566,27566,27566,27331,27331,27331,27031,27031,27031,26694,26694,26694,26431,26431,26431,26033,26033,26033,25545,25545,25545,24986,24986,24986,24539,24539,24539,24048,24048,24048,23622,23622,23622,23246,23246,23246,22824,22824,22824,22489,22489,22489,22112,22112,22112
Demand (5 min. avg.),21559,21458,21435,21359,21269,21178,21134,21050,20975,20890,20853,20800,20741,20649,20633,20587,20544,20460,20407,20386,20367,20302,20245,20214,20186,20167,20140,20112,20071,20058,20030,20030,19997,19986,19997,19983,19958,20003,20007,19987,20006,20012,20042,20051,20081,20097,20103,20150,20221,20318,20442,20541,20580,20643,20724,20831,20926,20998,21108,21216,21323,21593,21879,22054,22227,22345,22488,22674,22894,23013,23237,23388,23563,24004,24422,24691,24913,25179,25352,25619,25909,26068,26247,26345,26454,26679,26930,27028,27091,27061,27026,27006,26914,26885,26741,26707,26707,26707,26707,26707,26707,26644,26509,26223,26026,25874,25762,25603,25443,25313,25219,25108,24993,24856,24754,24618,24455,24397,24265,24156,24033,23996,23884,23748,23683,23645,23600,23491,23332,23223,23138,23061,22964,22879,22850,22869,22849,22770,22790,22767,22705,22710,22623,22590,22509,22475,22423,22423,22371,22347,22227,22326,22331,22307,22253,22264,22303,22315,22283,22286,22362,22353,22386,22407,22429,22403,22492,22538,22557,22582,22646,22704,22734,22754,22799,22863,22928,22979,23009,23112,23199,23286,23318,23414,23554,23657,23737,23849,23875,23996,24127,24212,24283,24379,24543,24711,24862,25030,25134,25316,25497,25646,25799,26068,26240,26410,26751,27149,27476,27723,27936,28143,28209,28302,28408,28469,28530,28461,28447,28449,28464,28466,28483,28449,28452,28416,28395,28361,28354,28263,28214,28190,28158,28125,28079,28077,27950,27944,27937,27884,27802,27828,27776,27698,27617,27523,27441,27365,27299,27233,27133,27018,26964,26883,26658,26593,26494,26380,26240,26143,25983,25823,25650,25546,25345,25106,24981,24854,24733,24555,24377,24267,24110,23951,23802,23671,23486,23338,23133,23015,22888,22726,22601,22511,22375,22275,22136,22023,21933
Net demand,18542,18452,18400,18329,18229,18136,18026,17995,17936,17868,17845,17874,17848,17805,17817,17814,17810,17758,17688,17658,17691,17658,17593,17597,17577,17559,17542,17502,17495,17464,17459,17488,17522,17562,17572,17577,17543,17564,17621,17646,17696,17736,17762,17788,17801,17835,17872,17938,18050,18166,18285,18461,18567,18710,18855,19031,19208,19359,19532,19703,19850,20123,20485,20673,20846,21022,21194,21407,21629,21837,22086,22301,22515,22845,23389,23704,24035,24369,24617,24889,25213,25455,25623,25763,25825,25952,26221,26243,26245,26109,25859,25562,25223,24792,24348,24045,23433,23054,22500,22028,21576,21021,20533,20175,19896,19536,19381,18881,18551,18609,18445,18076,17776,17505,17239,17019,16929,16897,16870,16645,16356,16564,16520,16367,15807,15335,15282,15954,16172,16015,15928,15733,15613,15373,15344,15363,15434,15384,15343,15573,15643,15528,15308,15250,15315,15580,15700,15651,15587,15705,15640,15664,15795,15840,15318,14998,14992,15383,15558,15391,15392,15279,15195,15037,15036,15082,14922,14835,15070,15032,14972,15176,15499,15572,15689,15869,15985,16095,16282,16501,16662,16944,17316,17654,17796,18202,18460,18749,19138,19627,20020,20490,21005,21459,22033,22543,23076,23562,23992,24361,24767,25132,25378,25722,26003,26155,26528,26878,27236,27498,27722,27936,28047,28112,28215,28281,28358,28330,28295,28245,28307,28295,28321,28291,28296,28266,28276,28232,28218,28154,28057,28034,27977,27934,27868,27859,27751,27687,27672,27621,27544,27533,27495,27418,27356,27234,27152,27084,27006,26939,26881,26738,26681,26618,26462,26318,26222,26121,26012,25870,25728,25583,25422,25281,25149,24910,24706,24605,24473,24317,24124,23945,23764,23586,23442,23260,23088,22914,22739,22588,22454,22286,22118,22019,21877,21755,21586,21444,21336
