Net Demand 05/30/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,24515,24142,24142,24142,23909,23909,23909,23621,23621,23621,23284,23284,23284,22943,22943,22943,22689,22689,22689,22457,22457,22457,22253,22253,22253,22058,22058,22058,21922,21922,21922,21764,21764,21764,21642,21642,21642,21547,21547,21547,21474,21474,21474,21443,21443,21443,21454,21454,21454,21653,21653,21653,21741,21741,21741,21825,21825,21825,22036,22036,22036,22471,22471,22471,22766,22766,22766,23089,23089,23089,23244,23244,23244,23699,23699,23699,24265,24265,24265,24698,24698,24698,24881,24881,24881,25267,25267,25267,25607,25607,25607,25795,25795,25795,25741,25741,25741,25891,25891,25891,26032,26032,26032,26145,26145,26145,26174,26174,26174,26198,26198,26198,26237,26237,26237,26231,26231,26231,26379,26379,26379,26367,26367,26367,26549,26549,26549,26397,26397,26397,26212,26212,26212,26249,26249,26249,26144,26144,26144,26056,26056,26056,25962,25962,25962,25896,25896,25896,25879,25879,25879,25781,25781,25781,25645,25645,25645,25538,25538,25538,25679,25679,25679,25761,25761,25761,25701,25701,25701,25851,25851,25851,25789,25789,25789,25812,25812,25812,25861,25861,25861,25953,25953,25953,26156,26156,26156,26181,26181,26181,26355,26355,26355,26433,26433,26433,26498,26498,26498,26687,26687,26687,26835,26835,26835,27015,27015,27015,27208,27208,27208,27367,27367,27367,27576,27576,27576,27502,27502,27502,27546,27546,27546,27767,27767,27767,27935,27935,27935,28022,28022,28022,28057,28057,28057,28290,28290,28290,28500,28500,28500,28792,28792,28792,29105,29105,29105,29134,29134,29134,28989,28989,28989,28641,28641,28641,28316,28316,28316,27931,27931,27931,27395,27395,27395,26737,26737,26737,26142,26142,26142,25684,25684,25684,25112,25112,25112,24522,24522,24522,24204,24204,24204,23803,23803,23803,23382,23382,23382
Demand (5 min. avg.),24311,24217,24208,24117,24019,23883,23829,23683,23560,23417,23331,23182,23050,23001,22883,22796,22728,22637,22538,22500,22454,22376,22238,22202,22143,22105,22054,22011,21966,21872,21817,21819,21774,21706,21647,21547,21511,21526,21515,21472,21411,21415,21422,21415,21447,21401,21465,21468,21480,21527,21650,21658,21635,21673,21746,21790,21843,21909,21943,21997,22075,22249,22444,22592,22765,22856,22930,23047,23174,23188,23208,23234,23222,23489,23789,23950,24093,24201,24312,24458,24535,24639,24725,24753,24853,25090,25330,25426,25569,25613,25703,25739,25692,25734,25741,25683,25682,25835,25982,26005,26059,26053,26104,26130,26154,26114,26105,26115,26175,26192,26218,26196,26166,26206,26207,26333,26378,26255,26237,26297,26337,26407,26476,26424,26389,26324,26304,26256,26156,26178,26243,26211,26182,26162,26198,26176,26135,26102,26011,26020,26026,26024,25971,25910,25931,25934,25863,25823,25813,25721,25690,25712,25657,25553,25508,25484,25518,25581,25614,25631,25635,25695,25713,25655,25637,25708,25767,25786,25821,25709,25721,25752,25775,25788,25790,25751,25760,25825,25814,25896,25916,25984,25971,25972,26001,26090,26089,26142,26199,26248,26311,26341,26301,26365,26376,26387,26481,26555,26625,26662,26713,26762,26852,26978,26993,27041,27043,27082,27112,27213,27250,27314,27406,27442,27483,27558,27617,27502,27490,27536,27600,27706,27759,27802,27885,27937,27976,28025,28071,28011,28008,28034,28078,28164,28201,28231,28304,28343,28427,28472,28569,28696,28796,28915,28983,29063,29060,29106,29083,29077,29006,28982,28880,28768,28767,28602,28482,28405,28301,28114,27959,27742,27597,27438,27245,26919,26758,26590,26463,26327,26149,25961,25705,25511,25291,25115,24916,24736,24542,24375,24290,24167,24061,23857,23685,23612,23444,23350,
Net demand,21402,21306,21297,21246,21180,21058,20954,20844,20716,20545,20440,20355,20210,20152,20073,20001,19923,19875,19787,19692,19673,19593,19436,19281,19254,19218,19171,19148,19099,19032,18952,18954,18938,18905,18783,18766,18593,18580,18561,18482,18389,18332,18404,18403,18518,18516,18541,18576,18614,18602,18710,18686,18651,18672,18769,18806,18875,18906,19052,19159,19289,19458,19727,19935,20141,20305,20309,20394,20562,20594,20604,20592,20510,20569,20859,20997,20948,20851,20707,20601,20464,20295,20126,19906,19660,19548,19589,19392,19283,19074,18871,18654,18449,18188,17965,17679,17389,17305,17295,17308,17049,17040,16923,16796,16650,16593,16492,16431,16432,16397,16295,16477,16282,16265,16152,16098,16097,15973,15904,16170,16231,16215,16360,14928,14131,14191,14207,14261,14014,13880,13905,13784,13657,13489,13481,13860,14301,14142,13971,13548,13300,13349,13565,13523,13480,13610,13769,13807,13994,13819,13451,13352,13089,12798,12596,12526,13288,13166,12734,12748,13242,13610,13575,13684,12993,12550,12439,13134,12970,12841,12492,12445,12379,12396,12450,12435,12699,12805,12854,12882,12939,12658,12522,12515,12651,12631,12587,12629,12847,12954,12958,12972,12962,13358,13486,13524,13586,13559,13475,13786,14045,14157,13890,13964,14121,14259,14358,14537,14804,14990,15242,15474,15758,16004,16305,16620,17011,17338,17580,17964,18315,18755,19226,19640,20027,20569,21107,21501,21840,22169,22354,22623,22843,23135,23420,23637,23840,24049,24202,24336,24497,24618,24760,24881,24968,25088,25147,25162,25224,25219,25228,25160,25060,25005,25026,24924,24771,24684,24586,24464,24335,24139,23976,23808,23601,23305,23123,22915,22792,22716,22596,22407,22181,21917,21672,21411,21176,20976,20896,20763,20663,20556,20470,20310,20101,19956,19761,19590,
