Net Demand 01/25/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21271,20979,20979,20979,20821,20821,20821,20567,20567,20567,20286,20286,20286,20001,20001,20001,19881,19881,19881,19687,19687,19687,19546,19546,19546,19367,19367,19367,19175,19175,19175,19059,19059,19059,18977,18977,18977,18933,18933,18933,18891,18891,18891,18850,18850,18850,18829,18829,18829,18920,18920,18920,18974,18974,18974,19033,19033,19033,19184,19184,19184,19416,19416,19416,19594,19594,19594,19920,19920,19920,20204,20204,20204,20662,20662,20662,20944,20944,20944,21075,21075,21075,21231,21231,21231,21369,21369,21369,21629,21629,21629,21693,21693,21693,21746,21746,21746,21902,21902,21902,21888,21888,21888,21802,21802,21802,21653,21653,21653,21604,21604,21604,21404,21404,21404,21239,21239,21239,21056,21056,21056,20875,20875,20875,20603,20603,20603,20383,20383,20383,20112,20112,20112,20000,20000,20000,19938,19938,19938,19902,19902,19902,19770,19770,19770,19695,19695,19695,19707,19707,19707,19680,19680,19680,19707,19707,19707,19530,19530,19530,19584,19584,19584,19710,19710,19710,19717,19717,19717,19787,19787,19787,19847,19847,19847,20126,20126,20126,20383,20383,20383,20500,20500,20500,20810,20810,20810,21125,21125,21125,21358,21358,21358,21669,21669,21669,22007,22007,22007,22612,22612,22612,23207,23207,23207,23587,23587,23587,24316,24316,24316,24925,24925,24925,25268,25268,25268,25375,25375,25375,25401,25401,25401,25222,25222,25222,25145,25145,25145,24959,24959,24959,24846,24846,24846,24668,24668,24668,24627,24627,24627,24474,24474,24474,24334,24334,24334,24133,24133,24133,23964,23964,23964,23798,23798,23798,23577,23577,23577,23336,23336,23336,23066,23066,23066,22749,22749,22749,22464,22464,22464,22105,22105,22105,21747,21747,21747,21454,21454,21454,21189,21189,21189,20892,20892,20892,20561,20561,20561
Demand (5 min. avg.),21202,21074,20996,20924,20865,20780,20679,20589,20548,20495,20458,20388,20248,20152,20100,20073,19976,19917,19861,19821,19722,19653,19591,19498,19464,19342,19298,19282,19245,19191,19179,19125,19115,19059,19061,19052,19034,19007,19011,19007,18993,18910,18884,18919,18872,18887,18858,18898,18843,18906,18976,19038,19035,19032,19048,19142,19158,19180,19208,19262,19265,19464,19620,19721,19806,19847,19924,20049,20151,20179,20268,20279,20423,20575,20734,20813,20944,21024,21095,21177,21312,21368,21383,21426,21495,21589,21617,21665,21705,21731,21682,21727,21771,21760,21716,21734,21769,21778,21771,21764,21798,21779,21793,21750,21729,21639,21610,21588,21504,21465,21494,21466,21389,21282,21228,21184,21125,20981,20976,20886,20801,20759,20773,20691,20617,20516,20428,20361,20256,20191,20103,20031,19963,19927,19906,19953,19959,19862,19848,19788,19743,19711,19686,19631,19550,19562,19593,19610,19618,19621,19574,19500,19510,19441,19499,19478,19425,19445,19482,19536,19535,19612,19594,19570,19514,19551,19531,19553,19619,19624,19666,19676,19820,19891,19979,20048,20153,20238,20353,20351,20408,20488,20564,20689,20767,20845,20924,20968,21061,21171,21254,21367,21505,21576,21703,21827,22000,22162,22309,22447,22575,22738,22891,23063,23201,23453,23674,23886,24136,24399,24629,24881,25093,25243,25315,25327,25382,25404,25395,25416,25407,25397,25378,25333,25266,25213,25246,25202,25177,25164,25151,25101,25009,25029,24993,24972,24923,24891,24801,24743,24720,24673,24605,24550,24508,24460,24383,24334,24262,24218,24155,24110,24006,23943,23872,23826,23751,23691,23577,23482,23425,23356,23270,23195,23098,22949,22828,22704,22569,22483,22372,22276,22150,22064,21950,21881,21759,21653,21525,21422,21260,21200,21039,20978,20853,20792,20702,20594,20488
Net demand,20177,20090,20086,20013,19976,19920,19798,19743,19679,19680,19703,19653,19529,19357,19233,19156,19016,18896,18785,18705,18490,18249,18118,17966,17770,17646,17588,17540,17523,17556,17514,17591,17685,17653,17688,17732,17730,17671,17664,17579,17513,17355,17231,17200,17163,17055,16991,16916,16920,16930,17074,17197,17262,17299,17396,17433,17505,17637,17750,17890,18108,18317,18613,18844,19012,19071,19143,19355,19488,19581,19642,19754,19938,20114,20307,20448,20543,20653,20751,20802,20905,20979,21006,20980,21007,20973,20953,20793,20668,20462,20198,19932,19692,19328,18918,18528,18176,17733,17322,17118,16805,16502,16146,15824,15497,15120,14692,14514,14595,14381,14113,14049,13885,13617,13317,13147,13089,12983,12973,12802,12677,12582,12538,12475,12437,12479,12506,12571,12544,12531,12616,12408,12128,11953,11956,11857,12023,11940,11963,11804,11828,11931,12074,12194,12045,11939,11893,11832,11832,11733,11653,11479,11511,11541,11623,11820,11976,12505,12470,12262,12158,12036,12206,12098,11990,12052,12040,12081,12275,12410,12581,12595,12673,12910,12972,13226,13440,13533,13665,13810,14046,14271,14387,14226,14144,14296,14557,14879,15286,15825,16418,16869,17495,18171,18764,19228,19501,19904,20457,20935,21360,21623,21933,22310,22602,22863,23249,23500,23723,24010,24292,24528,24739,24920,25028,25049,25091,25111,25105,25115,25120,25101,25084,25047,25007,24897,24903,24895,24872,24851,24857,24799,24762,24728,24753,24692,24658,24634,24562,24497,24465,24435,24373,24315,24261,24213,24177,24102,24050,24016,23917,23896,23821,23751,23653,23627,23556,23493,23438,23333,23233,23189,23118,23040,22953,22830,22693,22553,22412,22287,22185,22080,21977,21862,21755,21698,21603,21474,21348,21234,21089,21012,20850,20765,20677,20589,20501,20415,20283
