Net Demand 03/05/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21453,21344,21344,21344,21138,21138,21138,20952,20952,20952,20753,20753,20753,20554,20554,20554,20389,20389,20389,20234,20234,20234,20092,20092,20092,20051,20051,20051,19963,19963,19963,19852,19852,19852,19836,19836,19836,19812,19812,19812,19854,19854,19854,19898,19898,19898,19997,19997,19997,20200,20200,20200,20391,20391,20391,20562,20562,20562,20899,20899,20899,21310,21310,21310,21772,21772,21772,22156,22156,22156,22675,22675,22675,23558,23558,23558,24053,24053,24053,24348,24348,24348,24688,24688,24688,25076,25076,25076,25204,25204,25204,25159,25159,25159,25041,25041,25041,24960,24960,24960,24793,24793,24793,24675,24675,24675,24604,24604,24604,24386,24386,24386,24250,24250,24250,24195,24195,24195,24298,24298,24298,24201,24201,24201,24118,24118,24118,24431,24431,24431,24511,24511,24511,24682,24682,24682,24669,24669,24669,24705,24705,24705,24757,24757,24757,24450,24450,24450,24415,24415,24415,24239,24239,24239,24191,24191,24191,24390,24390,24390,24415,24415,24415,24666,24666,24666,24606,24606,24606,24943,24943,24943,25042,25042,25042,25355,25355,25355,25343,25343,25343,25027,25027,25027,25152,25152,25152,24885,24885,24885,24744,24744,24744,24751,24751,24751,24894,24894,24894,25187,25187,25187,25590,25590,25590,26038,26038,26038,26365,26365,26365,26693,26693,26693,27663,27663,27663,28120,28120,28120,28577,28577,28577,28513,28513,28513,28173,28173,28173,27878,27878,27878,27760,27760,27760,27658,27658,27658,27571,27571,27571,27317,27317,27317,27091,27091,27091,26915,26915,26915,26598,26598,26598,26189,26189,26189,25824,25824,25824,25431,25431,25431,24993,24993,24993,24452,24452,24452,23941,23941,23941,23652,23652,23652,23053,23053,23053,22535,22535,22535,22147,22147,22147,21858,21858,21858,21545,21545,21545
Demand (5 min. avg.),21376,21352,21375,21326,21219,21158,21102,21013,20954,20808,20736,20680,20632,20571,20514,20466,20395,20343,20300,20250,20195,20110,20098,20081,20029,20016,19976,19928,19904,19902,19890,19818,19781,19774,19772,19802,19797,19842,19838,19882,19881,19907,19913,19873,19868,19882,19931,19990,20032,20074,20167,20253,20334,20406,20462,20516,20535,20616,20758,20795,20856,21030,21303,21449,21571,21749,21861,22012,22198,22382,22552,22738,22926,23292,23632,23791,23957,24079,24197,24269,24410,24483,24619,24711,24761,24850,25175,25285,25283,25313,25227,25205,25132,25112,25094,25033,25011,24956,25036,24996,24951,24940,24833,24766,24731,24633,24598,24476,24427,24448,24469,24433,24419,24455,24439,24431,24306,24347,24423,24455,24504,24530,24507,24549,24554,24577,24535,24415,24402,24511,24602,24653,24588,24606,24741,24693,24766,24731,24686,24677,24686,24633,24644,24499,24339,24268,24340,24284,24261,24187,24067,24059,24108,24141,24221,24271,24362,24470,24534,24514,24503,24484,24573,24720,24745,24788,24771,24848,24982,25083,25099,25175,25177,25194,25130,25063,25025,25046,25036,25044,24939,24793,24766,24766,24741,24656,24651,24741,24678,24658,24752,24751,24784,24767,24794,24819,24949,25090,25133,25206,25412,25564,25729,25829,25904,25950,26018,26249,26450,26645,26779,26971,27068,27222,27404,27592,27810,27880,27983,28059,28129,28163,28141,28127,28107,28074,28071,28054,28007,27921,27904,27861,27825,27817,27797,27750,27671,27662,27597,27553,27510,27464,27384,27328,27278,27190,27117,27003,26926,26849,26708,26599,26513,26355,26328,26122,25970,25864,25761,25621,25484,25220,25067,24960,24835,24757,24526,24391,24176,23966,23806,23623,23422,23231,23144,22996,22860,22649,22626,22531,22413,22286,22122,21988,21924,21782,21675,21533,
Net demand,21132,21031,21088,21068,20978,20945,20878,20809,20762,20636,20544,20469,20405,20360,20303,20237,20176,20130,20095,20070,20046,19960,19922,19917,19887,19839,19842,19764,19731,19724,19736,19661,19618,19613,19588,19637,19668,19682,19714,19748,19749,19786,19779,19780,19755,19766,19776,19870,19899,19955,20039,20126,20224,20300,20366,20413,20469,20500,20604,20696,20733,20869,21113,21315,21463,21613,21745,21869,22053,22223,22465,22636,22807,23084,23487,23691,23802,23899,23924,23881,23860,23751,23639,23591,23450,23337,23411,23440,23327,23180,22917,22724,22569,22405,22139,21934,21629,21482,21359,21235,21041,20992,20717,20438,19962,19544,19487,19311,18826,18869,19005,18996,18887,18590,18296,18431,18508,18658,18938,18813,18495,18630,18197,17868,17673,17319,17205,17332,17689,17766,17612,17729,17892,18141,18497,18609,18580,18425,18326,18441,18276,18269,18310,18294,18247,18301,18240,18176,17969,17943,17809,17770,17936,17950,18021,18164,18059,17782,17479,17391,17752,17936,18034,18142,18356,18451,18403,18510,18815,19098,19031,18948,18315,18011,17949,17934,17981,17959,18127,18089,18091,17783,17555,17576,17715,18032,18018,18181,18487,18662,18839,19125,19270,19690,20056,20239,20162,20608,21117,21391,21802,22136,22434,22626,22800,23011,23249,23670,24020,24386,24607,24803,24962,25085,25326,25612,25891,26022,26111,26211,26263,26201,26146,26038,25968,25911,25925,25924,25929,25817,25772,25758,25773,25807,25862,25840,25847,25836,25866,25823,25800,25731,25720,25645,25633,25558,25498,25375,25303,25265,25158,25046,24975,24832,24830,24639,24461,24434,24305,24287,24212,23998,23735,23707,23634,23628,23502,23416,23254,23039,22904,22755,22625,22438,22342,22208,22062,21805,21725,21649,21560,21425,21272,21142,21035,20900,20755,20613,
