Net Demand 06/04/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,23574,23315,23315,23315,22999,22999,22999,22682,22682,22682,22332,22332,22332,22156,22156,22156,21923,21923,21923,21683,21683,21683,21437,21437,21437,21249,21249,21249,21098,21098,21098,20968,20968,20968,20888,20888,20888,20860,20860,20860,20825,20825,20825,20818,20818,20818,20833,20833,20833,20916,20916,20916,21042,21042,21042,21193,21193,21193,21312,21312,21312,21728,21728,21728,22068,22068,22068,22361,22361,22361,22519,22519,22519,23051,23051,23051,23473,23473,23473,23892,23892,23892,24215,24215,24215,24878,24878,24878,25215,25215,25215,25206,25206,25206,25176,25176,25176,25212,25212,25212,25267,25267,25267,25352,25352,25352,25479,25479,25479,25690,25690,25690,25760,25760,25760,25794,25794,25794,25885,25885,25885,26087,26087,26087,26195,26195,26195,26094,26094,26094,26078,26078,26078,26071,26071,26071,26158,26158,26158,26258,26258,26258,26316,26316,26316,26267,26267,26267,26409,26409,26409,26511,26511,26511,26698,26698,26698,26928,26928,26928,27226,27226,27226,27385,27385,27385,27688,27688,27688,28020,28020,28020,28365,28365,28365,28634,28634,28634,28735,28735,28735,29069,29069,29069,29388,29388,29388,29863,29863,29863,30195,30195,30195,30256,30256,30256,30516,30516,30516,30639,30639,30639,30952,30952,30952,31249,31249,31249,31477,31477,31477,31800,31800,31800,31946,31946,31946,31989,31989,31989,32270,32270,32270,32421,32421,32421,32523,32523,32523,32518,32518,32518,32375,32375,32375,32434,32434,32434,32465,32465,32465,32601,32601,32601,32752,32752,32752,32688,32688,32688,32453,32453,32453,31958,31958,31958,31515,31515,31515,31123,31123,31123,30611,30611,30611,29826,29826,29826,29155,29155,29155,28464,28464,28464,27785,27785,27785,27110,27110,27110,26545,26545,26545,25930,25930,25930,25418,25418,25418
Demand (5 min. avg.),23501,23391,23273,23182,23091,22946,22825,22698,22604,22541,22493,22384,22280,22196,22180,22083,21962,21853,21784,21707,21632,21558,21478,21414,21355,21297,21255,21199,21179,21121,21070,21043,21037,20984,20941,20899,20885,20876,20864,20871,20848,20834,20825,20813,20809,20797,20771,20773,20768,20759,20839,20909,20909,20960,21016,21055,21106,21149,21182,21336,21414,21639,21919,22010,22147,22164,22197,22253,22372,22418,22419,22453,22545,22907,23200,23352,23420,23532,23677,23782,23954,24052,24131,24285,24519,24544,24706,24752,24844,24866,24953,24993,24965,24967,25034,25035,25042,25155,25284,25355,25370,25359,25394,25441,25498,25508,25513,25540,25541,25569,25659,25661,25696,25696,25685,25741,25746,25808,25871,25882,25861,25836,25832,25929,25926,25845,25799,25920,25910,25903,25946,25918,26046,26024,26015,26124,26152,26176,26073,26118,26128,26141,26203,26177,26080,26184,26164,26191,26235,26230,26246,26337,26461,26507,26578,26671,26698,26815,26818,26899,27027,27133,27242,27296,27433,27559,27663,27704,27910,27924,28008,28133,27634,28369,28448,28486,28505,28602,28716,28766,28959,29102,29196,29314,29420,29564,29665,29731,29811,29895,29966,30025,30160,30142,30180,30317,30437,30473,30595,30772,30885,31014,31059,31170,31240,31212,31315,31416,31473,31556,31622,31719,31849,31961,32062,32129,32204,32159,32139,32159,32291,32352,32432,32488,32509,32612,32655,32659,32700,32709,32636,32676,32677,32657,32609,32570,32604,32547,32537,32513,32553,32574,32642,32638,32661,32685,32702,32595,32500,32492,32432,32348,32272,32152,32158,32096,31987,31831,31662,31462,31224,31059,30853,30639,30399,30078,29768,29587,29391,29130,28899,28621,28431,28252,27986,27748,27531,27294,27058,26843,26648,26508,26335,26116,25897,25817,25616,25405,
Net demand,19716,19663,19602,19481,19384,19251,19125,19018,18924,18862,18823,18726,18574,18484,18441,18379,18313,18185,18116,18071,18048,18019,17985,17939,17898,17843,17812,17789,17808,17784,17704,17676,17651,17618,17558,17549,17533,17551,17551,17561,17579,17618,17627,17622,17634,17661,17684,17691,17771,17726,17858,17943,17971,17994,18043,18091,18157,18276,18321,18539,18658,18834,19205,19376,19523,19655,19722,19797,19957,20106,20145,20164,20164,20252,20532,20544,20511,20416,20312,20213,20100,20004,19843,19706,19588,19425,19282,19085,18786,18523,18295,18093,17804,17502,17241,17083,16829,16749,16697,16656,16528,16423,16322,16289,16357,16225,16068,16064,15996,15920,15923,15941,15909,15817,15664,15549,15534,15464,15601,15613,15534,15442,15367,15414,15435,15365,15304,15271,15232,15187,15195,15161,15261,15236,15201,15234,15320,15324,15208,15248,15226,15206,15191,15194,15139,15114,15130,15176,15245,15328,15369,15436,15442,15495,15532,15667,15738,15815,15911,15983,16154,16277,16353,16378,16515,16683,16982,17167,17195,17272,17236,17298,16676,17463,17640,17851,17941,18017,18208,18398,18541,18883,19010,19166,19283,19476,19627,19706,19707,19734,19724,19850,19828,19835,19703,19786,19819,19894,19922,19999,20075,20210,20355,20486,20564,20458,20433,20506,20632,20856,21147,21335,21418,21676,21850,22138,22373,22575,22671,22936,23305,23688,24134,24592,25019,25392,25836,26302,26720,27130,27433,27757,28070,28374,28574,28800,28951,29108,29202,29290,29336,29365,29376,29315,29386,29522,29513,29475,29351,29256,29279,29190,29106,29019,28924,28870,28801,28693,28587,28387,28226,27967,27836,27582,27370,27052,26700,26465,26371,26061,25862,25602,25381,25231,25036,24795,24583,24344,24121,23938,23731,23570,23426,23254,22994,22872,22612,22427,
