Net Demand 05/01/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,22426,22087,22087,22087,21845,21845,21845,21505,21505,21505,21231,21231,21231,20978,20978,20978,20749,20749,20749,20499,20499,20499,20327,20327,20327,20219,20219,20219,20081,20081,20081,19989,19989,19989,19939,19939,19939,19938,19938,19938,19865,19865,19865,19844,19844,19844,19800,19800,19800,19890,19890,19890,19963,19963,19963,19997,19997,19997,20064,20064,20064,20372,20372,20372,20616,20616,20616,20885,20885,20885,21048,21048,21048,21318,21318,21318,21465,21465,21465,21555,21555,21555,21630,21630,21630,21695,21695,21695,21717,21717,21717,21674,21674,21674,21869,21869,21869,21848,21848,21848,21796,21796,21796,21693,21693,21693,21619,21619,21619,21567,21567,21567,21582,21582,21582,21488,21488,21488,21252,21252,21252,21097,21097,21097,21095,21095,21095,21001,21001,21001,20945,20945,20945,20538,20538,20538,20540,20540,20540,20136,20136,20136,19987,19987,19987,20092,20092,20092,20153,20153,20153,20326,20326,20326,20418,20418,20418,20447,20447,20447,20600,20600,20600,20534,20534,20534,20923,20923,20923,21099,21099,21099,21317,21317,21317,21528,21528,21528,21782,21782,21782,22007,22007,22007,22293,22293,22293,22342,22342,22342,22683,22683,22683,22835,22835,22835,23197,23197,23197,23460,23460,23460,23683,23683,23683,24040,24040,24040,24524,24524,24524,24922,24922,24922,25418,25418,25418,25276,25276,25276,25618,25618,25618,26054,26054,26054,26174,26174,26174,26241,26241,26241,26386,26386,26386,26461,26461,26461,26678,26678,26678,26898,26898,26898,26972,26972,26972,26683,26683,26683,26530,26530,26530,26267,26267,26267,26096,26096,26096,25710,25710,25710,25306,25306,25306,24869,24869,24869,24515,24515,24515,24088,24088,24088,23672,23672,23672,23266,23266,23266,22965,22965,22965,22552,22552,22552,22131,22131,22131
Demand (5 min. avg.),22140,22091,22080,21907,21826,21734,21631,21534,21464,21375,21295,21206,21104,21022,20929,20849,20802,20740,20665,20616,20571,20490,20416,20389,20331,20311,20342,20331,20285,20219,20170,20117,20101,20081,19956,20003,19969,19954,19927,19913,19873,19840,19825,19802,19806,19780,19755,19771,19763,19808,19814,19843,19843,19873,19852,19939,19933,19971,20000,20004,20079,20263,20371,20471,20522,20588,20646,20733,20785,20843,20917,20977,21004,21164,21237,21311,21315,21298,21286,21331,21351,21352,21365,21413,21464,21535,21639,21733,21785,21843,21766,21799,21760,21730,21651,21693,21750,21725,21876,21864,21811,21827,21804,21790,21758,21722,21716,21717,21689,21702,21699,21615,21572,21488,21366,21317,21213,21192,21181,21213,21168,21113,21035,20903,20910,20917,20866,20803,20655,20613,20581,20551,20544,19998,20023,19922,19941,20107,20123,20107,20062,20068,20062,20105,20095,20071,20098,20105,20133,20164,20173,20213,20258,20350,20330,20389,20444,20471,20514,20546,20589,20640,20689,20759,20827,20868,20898,20977,21071,21101,21150,21226,21305,21400,21464,21499,21511,21609,21692,21796,21802,21718,21869,21993,22050,22125,22219,22315,22374,22537,22608,22679,22747,22736,22786,22843,22939,23120,23271,23397,23482,23651,23789,23916,24078,24153,24316,24526,24686,24846,24995,25004,24865,25108,25340,25451,25531,25540,25629,25707,25894,25938,26024,26065,26141,26220,26251,26278,26324,26288,26270,26277,26292,26325,26318,26360,26434,26486,26617,26769,26749,26863,26844,26888,26954,26980,26871,26785,26733,26715,26625,26544,26423,26346,26299,26198,26092,25992,25854,25763,25623,25512,25378,25307,25143,25010,24855,24691,24614,24481,24329,24199,24082,23903,23790,23658,23531,23345,23213,23048,22941,22757,22627,22523,22411,22253,22106,21927,
Net demand,18346,18255,18298,18197,18051,17944,17841,17684,17578,17497,17423,17332,17191,17089,16986,16864,16810,16777,16720,16677,16664,16633,16574,16534,16506,16513,16523,16573,16556,16521,16470,16444,16395,16382,16316,16312,16327,16267,16197,16215,16201,16227,16226,16192,16138,16138,16056,16111,16174,16258,16282,16343,16345,16323,16379,16377,16392,16415,16431,16450,16536,16711,16938,17002,17127,17241,17346,17422,17482,17541,17548,17583,17539,17644,17723,17701,17660,17474,17213,16994,16738,16388,16001,15712,15312,14959,14630,14402,14080,13757,13384,12953,12707,12393,12059,11916,11664,11446,11301,11069,10683,10430,10370,10371,10321,10071,9957,9873,9797,9618,9433,9652,9717,9749,9516,9337,9433,9597,9697,9562,9332,9441,9621,10044,10445,10637,10682,10754,10926,11137,11530,11535,11396,10998,10793,10714,10785,10859,10933,10858,10781,10735,10626,10641,10577,10589,10426,10350,10189,10407,10383,10519,10353,10430,10632,10742,10548,10522,10232,10343,10440,10607,10539,10741,10532,10666,10751,10736,10743,10577,10323,10429,10455,10336,10275,10547,10401,10520,10752,10742,10609,9727,9008,8650,8672,8852,8837,8700,8589,8660,8707,8803,8800,8974,8972,9252,9421,9465,9328,9416,9480,9804,10051,10199,10361,10640,10883,11326,11669,12177,12445,12909,12911,13402,13896,14484,14887,15392,15773,16295,16862,17476,17976,18445,18944,19489,20099,20495,20890,21145,21363,21574,21742,21903,21948,22111,22160,22232,22294,22489,22500,22490,22478,22534,22548,22640,22581,22461,22402,22444,22358,22350,22269,22161,22143,22076,21957,21888,21768,21692,21573,21451,21362,21264,21202,21018,20886,20736,20568,20457,20268,20110,19953,19777,19649,19519,19366,19171,18971,18766,18636,18478,18381,18238,18153,18057,17898,17692,
