Net Demand 03/22/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21381,21166,21166,21166,20956,20956,20956,20624,20624,20624,20339,20339,20339,20110,20110,20110,19956,19956,19956,19797,19797,19797,19634,19634,19634,19512,19512,19512,19435,19435,19435,19317,19317,19317,19142,19142,19142,19127,19127,19127,19127,19127,19127,19143,19143,19143,19208,19208,19208,19435,19435,19435,19606,19606,19606,19774,19774,19774,19986,19986,19986,20415,20415,20415,20828,20828,20828,21329,21329,21329,21800,21800,21800,22832,22832,22832,23563,23563,23563,24116,24116,24116,24431,24431,24431,24778,24778,24778,24952,24952,24952,24971,24971,24971,24942,24942,24942,24843,24843,24843,24735,24735,24735,24440,24440,24440,24483,24483,24483,24285,24285,24285,24172,24172,24172,24140,24140,24140,24084,24084,24084,23969,23969,23969,23839,23839,23839,23757,23757,23757,23387,23387,23387,23080,23080,23080,22916,22916,22916,22605,22605,22605,22362,22362,22362,22350,22350,22350,22220,22220,22220,22174,22174,22174,22103,22103,22103,22093,22093,22093,22005,22005,22005,21946,21946,21946,22058,22058,22058,22104,22104,22104,22104,22104,22104,22129,22129,22129,22319,22319,22319,22314,22314,22314,22425,22425,22425,22517,22517,22517,22433,22433,22433,22394,22394,22394,22526,22526,22526,22814,22814,22814,23135,23135,23135,23195,23195,23195,23362,23362,23362,23495,23495,23495,23857,23857,23857,23986,23986,23986,24235,24235,24235,24623,24623,24623,24982,24982,24982,25508,25508,25508,26151,26151,26151,26563,26563,26563,26427,26427,26427,26163,26163,26163,26086,26086,26086,25711,25711,25711,25618,25618,25618,25238,25238,25238,25050,25050,25050,24731,24731,24731,24385,24385,24385,23939,23939,23939,23562,23562,23562,23171,23171,23171,22710,22710,22710,22251,22251,22251,21877,21877,21877,21556,21556,21556,21207,21207,21207
Demand (5 min. avg.),21250,21101,20994,20887,20784,20783,20704,20606,20581,20504,20311,20241,20199,20106,20085,19996,19966,19878,19786,19746,19654,19642,19553,19525,19498,19477,19388,19327,19277,19246,19210,19206,19174,19125,19109,19090,19095,19060,19116,19083,19068,19061,19092,19088,19106,19125,19161,19201,19262,19351,19377,19414,19480,19531,19568,19633,19734,19791,19844,19915,20049,20242,20513,20644,20765,20847,20985,21172,21324,21490,21681,21867,22125,22434,22797,23088,23336,23459,23637,23846,24025,24161,24293,24381,24446,24623,24834,24907,24963,24988,24993,24964,24978,24929,24889,24844,24823,24795,24834,24751,24814,24899,24725,24558,24429,24471,24441,24392,24370,24335,24461,24460,24405,24361,24327,24273,24244,24154,24074,24070,24016,23929,23992,23886,23818,23633,23589,23561,23535,23431,23397,23250,23123,23003,22938,22850,22765,22653,22575,22478,22437,22455,22531,22442,22441,22373,22353,22247,22186,22145,22119,22142,22127,22077,22058,22048,21991,21996,21977,21953,21980,21999,22066,22051,22097,22052,22059,22120,22145,22128,22125,22182,22282,22266,22242,22252,22255,22221,22199,22259,22377,22394,22333,22286,22255,22267,22300,22340,22380,22373,22366,22408,22425,22486,22510,22547,22685,22721,22790,22824,22859,22922,23008,23077,23097,23041,23075,23156,23219,23352,23486,23557,23599,23711,23776,23912,24057,23998,24062,24132,24183,24346,24432,24540,24645,24814,24955,25015,25145,25282,25376,25575,25801,25947,26064,26169,26234,26235,26295,26277,26224,26121,26028,25945,25982,25926,25856,25781,25704,25639,25580,25506,25421,25321,25253,25154,25087,24985,24929,24803,24707,24621,24532,24384,24257,24088,23916,23753,23610,23494,23348,23205,23064,22939,22790,22681,22528,22396,22230,22174,22071,21915,21810,21692,21575,21469,21349,21263,
Net demand,17383,17329,17303,17331,17291,17236,17130,17011,16930,16936,16853,16797,16837,16742,16686,16642,16522,16417,16287,16186,16099,16117,16097,16070,16109,16119,16092,15984,15948,15906,15869,15824,15775,15673,15605,15553,15508,15548,15602,15667,15711,15794,15885,15894,15878,15928,15979,16059,16120,16185,16260,16329,16468,16660,16727,16786,16922,17068,17164,17238,17401,17664,17917,18094,18247,18393,18496,18704,18908,19062,19273,19499,19720,19943,20288,20603,20882,21091,21309,21561,21787,21858,21976,22007,22041,22031,22198,22219,22119,21965,21771,21466,21247,20877,20444,20104,19654,19282,19035,18630,18173,17762,17123,16410,15801,15610,15310,15057,14735,14641,14463,14298,14020,13805,13650,13446,13201,13103,12841,12587,12492,12473,12582,12557,12435,12223,12105,12025,11776,11576,11312,11183,11178,11028,10912,10735,10565,10540,10493,10832,11107,11018,10971,10847,10597,10575,10531,10474,10435,10382,10240,10150,10054,9979,9939,9876,9961,9919,9841,9855,9811,9724,9577,9745,9840,10022,10136,10274,10259,10295,10299,10185,10050,10143,10210,10253,10329,10357,10474,10497,10397,10461,10588,10588,10614,10723,10755,10733,10824,10997,11166,11393,11569,11780,11925,12078,12480,12694,12767,12878,13051,13212,13491,13769,14020,14373,14642,15041,15397,15806,16251,16714,17121,17487,17760,18238,18757,19030,19307,19775,20244,20620,20957,21213,21439,21601,21884,22100,22238,22442,22590,22821,23142,23427,23566,23675,23798,23799,23801,23777,23734,23659,23648,23575,23542,23541,23534,23406,23373,23333,23319,23276,23187,23041,22960,22852,22740,22592,22449,22294,22177,22117,22056,21967,21830,21627,21434,21269,21097,21005,20860,20802,20643,20501,20364,20243,20169,20022,19925,19824,19798,19739,19691,19611,19494,19409,19313,19210,
