Net Demand 06/05/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,25298,24991,24991,24991,24603,24603,24603,24192,24192,24192,23800,23800,23800,23467,23467,23467,23184,23184,23184,22925,22925,22925,22649,22649,22649,22419,22419,22419,22240,22240,22240,22091,22091,22091,21985,21985,21985,21871,21871,21871,21816,21816,21816,21784,21784,21784,21684,21684,21684,21774,21774,21774,21897,21897,21897,22029,22029,22029,22112,22112,22112,22547,22547,22547,22873,22873,22873,23123,23123,23123,23273,23273,23273,23936,23936,23936,24355,24355,24355,24626,24626,24626,25006,25006,25006,25568,25568,25568,25911,25911,25911,26070,26070,26070,26187,26187,26187,26507,26507,26507,26656,26656,26656,26670,26670,26670,26646,26646,26646,26730,26730,26730,26820,26820,26820,26838,26838,26838,27014,27014,27014,27208,27208,27208,27359,27359,27359,27467,27467,27467,27608,27608,27608,27499,27499,27499,27643,27643,27643,27760,27760,27760,27958,27958,27958,28076,28076,28076,28341,28341,28341,28612,28612,28612,29031,29031,29031,29380,29380,29380,29787,29787,29787,30059,30059,30059,30455,30455,30455,30440,30440,30440,30746,30746,30746,31003,31003,31003,31328,31328,31328,31427,31427,31427,31713,31713,31713,32015,32015,32015,32282,32282,32282,32401,32401,32401,32654,32654,32654,32905,32905,32905,33208,33208,33208,33322,33322,33322,33514,33514,33514,33697,33697,33697,33795,33795,33795,33655,33655,33655,33758,33758,33758,33753,33753,33753,33650,33650,33650,33481,33481,33481,33294,33294,33294,33129,33129,33129,32950,32950,32950,32959,32959,32959,33050,33050,33050,32956,32956,32956,32698,32698,32698,32258,32258,32258,31814,31814,31814,31305,31305,31305,30815,30815,30815,30022,30022,30022,29372,29372,29372,28620,28620,28620,27965,27965,27965,27227,27227,27227,26666,26666,26666,26233,26233,26233,25758,25758,25758
Demand (5 min. avg.),25188,25047,24949,24790,24654,24534,24419,24264,24136,24025,23902,23728,23601,23487,23393,23275,23199,23083,22991,22914,22832,22748,22673,22592,22474,22431,22398,22336,22294,22252,22199,22150,22066,21996,21977,21930,21872,21851,21795,21760,21718,21680,21633,21646,21617,21615,21614,21612,21622,21628,21665,21704,21736,21741,21758,21821,21886,21893,21992,22058,22134,22442,22699,22773,22896,22959,23039,23092,23159,23134,23248,23282,23396,23657,23917,24080,24183,24269,24428,24545,24655,24741,24865,24975,25107,25362,25570,25703,25802,25850,25934,25936,26013,26071,26125,26145,26287,26366,26401,26443,26524,26475,26404,26463,26493,26534,26523,26580,26506,26602,26626,26648,26629,26712,26773,26803,26838,26905,26941,26975,27011,27060,27091,27126,27142,27204,27231,27178,27168,27186,27269,27318,27363,27439,27438,27450,27566,27661,27670,27675,27783,27840,27859,27943,27968,27943,28081,28123,28191,28356,28444,28529,28656,28758,28870,28979,29085,29172,29284,29398,29547,29696,29787,29935,29918,29993,30021,30125,30219,30341,30409,30556,30688,30750,30802,30852,30929,30991,31108,31196,31238,31387,31479,31566,31673,31743,31881,31893,31959,31995,32106,32227,32327,32336,32436,32522,32655,32750,32788,32899,32908,33056,33134,33268,33371,33358,33321,33483,33576,33632,33596,33637,33642,33636,33681,33774,33853,33747,33605,33636,33726,33723,33729,33751,33794,33775,33795,33726,33697,33563,33491,33421,33327,33274,33245,33185,33222,33140,33053,32969,32942,32923,32956,32925,32961,32966,32953,32864,32829,32781,32758,32656,32527,32381,32345,32223,32137,32004,31821,31629,31461,31264,31084,30919,30630,30255,29989,29769,29584,29355,29163,28916,28630,28391,28171,27902,27657,27448,27336,27231,27031,26852,26646,26405,26203,26060,25913,25736,
Net demand,22153,22017,21910,21740,21640,21466,21374,21181,21056,20920,20781,20609,20468,20328,20203,20108,20039,19948,19874,19822,19769,19676,19606,19561,19498,19441,19432,19407,19357,19335,19290,19236,19153,19098,19061,19048,19013,19006,18944,18935,18886,18884,18841,18825,18809,18811,18809,18825,18846,18875,18889,18959,18998,19022,19059,19162,19288,19357,19431,19558,19704,19929,20330,20459,20648,20750,20886,20988,21085,21078,21161,21191,21148,21243,21330,21372,21270,21143,21035,20880,20671,20482,20310,20094,19926,19816,19778,19617,19320,19063,18840,18554,18276,18183,18055,17891,17711,17600,17445,17295,17221,17045,17018,16872,16800,16727,16649,16545,16591,16520,16481,16476,16378,16375,16428,16407,16400,16389,16352,16372,16371,16352,16338,16344,16301,16386,16380,16351,16272,16311,16330,16373,16400,16412,16632,16614,16737,16851,16907,16885,16917,17020,17015,17076,17128,17142,17214,17259,17381,17554,17723,17778,17862,18023,18237,18385,18577,18700,18935,19055,19136,19218,19329,19401,19421,19420,19456,19419,19309,19425,19511,19482,19635,19696,19788,19856,19857,19908,19858,19917,19979,20104,20376,20449,20566,20613,20689,20698,20760,20849,20852,21013,21225,21253,21387,21640,21842,21930,22059,22150,22351,22594,22908,22941,23052,23247,23353,23515,23827,24019,24191,24505,24838,25244,25910,26438,26727,27081,27166,27504,27931,28239,28512,28755,29031,29304,29519,29744,29941,30036,30157,30271,30364,30465,30536,30521,30591,30594,30575,30516,30504,30508,30478,30475,30489,30454,30445,30350,30326,30285,30274,30282,30072,29896,29804,29770,29570,29448,29269,29043,28906,28714,28539,28373,28150,27839,27515,27289,27099,26801,26603,26378,26067,25791,25604,25371,25111,24897,24665,24582,24423,24241,24048,23762,23571,23400,23259,23125,
