Net Demand 05/10/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,22346,22201,22201,22201,21968,21968,21968,21592,21592,21592,21328,21328,21328,21073,21073,21073,20873,20873,20873,20724,20724,20724,20552,20552,20552,20419,20419,20419,20303,20303,20303,20218,20218,20218,20177,20177,20177,20189,20189,20189,20168,20168,20168,20167,20167,20167,20180,20180,20180,20346,20346,20346,20489,20489,20489,20614,20614,20614,20817,20817,20817,21205,21205,21205,21511,21511,21511,21947,21947,21947,22332,22332,22332,22967,22967,22967,23425,23425,23425,23829,23829,23829,24146,24146,24146,24556,24556,24556,24793,24793,24793,24938,24938,24938,25058,25058,25058,25177,25177,25177,25147,25147,25147,25082,25082,25082,25205,25205,25205,25205,25205,25205,25272,25272,25272,25055,25055,25055,24988,24988,24988,24942,24942,24942,24891,24891,24891,24775,24775,24775,24639,24639,24639,24558,24558,24558,24342,24342,24342,24261,24261,24261,24099,24099,24099,24032,24032,24032,23935,23935,23935,24108,24108,24108,24065,24065,24065,23915,23915,23915,23923,23923,23923,23944,23944,23944,24050,24050,24050,24075,24075,24075,24276,24276,24276,24260,24260,24260,24403,24403,24403,24281,24281,24281,24475,24475,24475,24562,24562,24562,24648,24648,24648,24889,24889,24889,25057,25057,25057,25047,25047,25047,25124,25124,25124,25063,25063,25063,25173,25173,25173,25383,25383,25383,25527,25527,25527,25574,25574,25574,25731,25731,25731,25853,25853,25853,25892,25892,25892,25969,25969,25969,26136,26136,26136,26344,26344,26344,26821,26821,26821,26963,26963,26963,27175,27175,27175,27032,27032,27032,26751,26751,26751,26459,26459,26459,26250,26250,26250,25986,25986,25986,25687,25687,25687,25192,25192,25192,24770,24770,24770,24357,24357,24357,23969,23969,23969,23415,23415,23415,23055,23055,23055,22659,22659,22659,22293,22293,22293
Demand (5 min. avg.),22323,22185,22069,21963,21881,21774,21689,21597,21517,21454,21386,21294,21218,21119,21074,21022,20944,20883,20813,20748,20702,20637,20584,20526,20455,20389,20406,20387,20373,20346,20335,20283,20273,20224,20202,20163,20157,20173,20150,20153,20134,20119,20099,20098,20119,20126,20132,20154,20183,20247,20330,20388,20434,20459,20484,20532,20566,20567,20630,20705,20810,21036,21359,21493,21608,21724,21862,22000,22131,22257,22369,22475,22569,22837,23122,23255,23340,23429,23542,23653,23799,23889,23964,24075,24176,24379,24607,24767,24822,24891,24936,24940,24938,24912,24951,24928,24930,24969,25053,25080,25130,25141,25226,25193,25192,25128,25179,25237,25239,25100,25126,25143,25151,25118,25037,25012,25021,24998,25008,24976,24975,24938,24940,24850,24880,24801,24780,24748,24770,24738,24666,24579,24551,24523,24498,24449,24440,24412,24300,24258,24230,24173,24198,24174,24167,24186,24206,24166,24189,24049,23967,23915,23958,23924,23950,23932,23927,23896,23958,24025,24049,24058,24060,24020,24071,24045,24135,24163,24193,24131,24185,24175,24280,24315,24241,24170,24190,24207,24247,24231,24326,24328,24280,24363,24374,24421,24463,24510,24528,24580,24686,24758,24759,24787,24736,24731,24765,24836,24932,24933,24965,24990,25041,25084,25085,25118,25113,25227,25245,25299,25335,25412,25473,25517,25601,25588,25635,25579,25549,25548,25574,25641,25682,25726,25755,25807,25870,25904,25934,25942,25945,25988,26099,26169,26266,26346,26429,26532,26615,26701,26758,26811,26850,26877,26915,26943,26945,26899,26887,26860,26790,26731,26662,26585,26547,26526,26436,26360,26267,26140,25992,25919,25836,25687,25538,25369,25186,25073,24956,24835,24684,24546,24411,24275,24109,23903,23743,23569,23411,23297,23185,23054,22932,22770,22653,,,,
Net demand,19429,19283,19200,19108,19028,18962,18893,18825,18768,18749,18689,18569,18494,18387,18354,18294,18234,18187,18134,18069,17971,17886,17798,17635,17484,17388,17413,17438,17484,17529,17552,17538,17527,17483,17429,17415,17439,17522,17583,17628,17660,17676,17676,17639,17691,17690,17696,17692,17751,17759,17889,17997,18089,18136,18166,18221,18311,18320,18410,18523,18651,18807,19195,19404,19536,19683,19813,19965,20158,20308,20440,20579,20688,20844,21180,21293,21303,21317,21356,21335,21383,21382,21369,21356,21376,21442,21477,21479,21316,21148,21068,20925,20971,20649,20513,20575,20623,20481,20457,20492,20404,20171,19920,20011,19937,20063,19911,19752,19960,20155,20200,20324,20110,19882,19858,19663,19450,19427,19340,19321,19087,18849,18853,18734,18665,18676,18530,18125,17877,17581,17401,17372,17319,17215,17128,17045,16772,16715,16563,16390,16301,16236,16094,16057,15945,15808,15770,15681,15683,15561,15435,15386,15286,15255,15425,15498,15701,15767,15886,16065,16266,16175,16165,16237,16397,16579,16704,16974,17098,17095,17178,17182,17043,17108,17188,17287,17506,17621,17785,17788,17675,17818,17970,18166,18233,18396,18426,18526,18747,18746,18744,18786,18696,18527,18686,18736,18746,18877,18899,18867,18896,18881,19030,19161,19245,19207,19227,19166,19300,19354,19446,19576,19792,19896,20119,20341,20425,20668,20991,21369,21497,21612,21879,22119,22294,22401,22558,22867,23067,23230,23430,23571,23747,23962,24136,24285,24471,24621,24737,24837,24923,24994,25053,25090,25133,25190,25209,25155,25163,25162,25142,25108,25065,25018,24990,24913,24859,24737,24655,24570,24416,24345,24249,24145,24013,23891,23711,23564,23451,23327,23154,22996,22870,22778,22666,22493,22308,22133,21989,21858,21742,21636,21554,21407,21246,,,,
