Net Demand 04/14/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21898,21544,21544,21544,21338,21338,21338,20986,20986,20986,20754,20754,20754,20475,20475,20475,20310,20310,20310,20157,20157,20157,19951,19951,19951,19796,19796,19796,19680,19680,19680,19544,19544,19544,19425,19425,19425,19340,19340,19340,19337,19337,19337,19284,19284,19284,19253,19253,19253,19302,19302,19302,19334,19334,19334,19388,19388,19388,19469,19469,19469,19648,19648,19648,19831,19831,19831,20007,20007,20007,20186,20186,20186,20565,20565,20565,20624,20624,20624,20639,20639,20639,20452,20452,20452,20653,20653,20653,20798,20798,20798,20853,20853,20853,20817,20817,20817,20860,20860,20860,20848,20848,20848,20742,20742,20742,20635,20635,20635,20666,20666,20666,20645,20645,20645,20561,20561,20561,20536,20536,20536,20571,20571,20571,20504,20504,20504,20312,20312,20312,20230,20230,20230,20195,20195,20195,20179,20179,20179,20194,20194,20194,20121,20121,20121,20118,20118,20118,20140,20140,20140,20160,20160,20160,20152,20152,20152,20119,20119,20119,20194,20194,20194,20288,20288,20288,20361,20361,20361,20433,20433,20433,20532,20532,20532,20667,20667,20667,20840,20840,20840,21043,21043,21043,21241,21241,21241,21428,21428,21428,21686,21686,21686,21880,21880,21880,22176,22176,22176,22416,22416,22416,22684,22684,22684,22887,22887,22887,23168,23168,23168,23382,23382,23382,23781,23781,23781,24022,24022,24022,24217,24217,24217,24381,24381,24381,24647,24647,24647,24895,24895,24895,25183,25183,25183,25612,25612,25612,25896,25896,25896,26070,26070,26070,25976,25976,25976,25732,25732,25732,25493,25493,25493,25198,25198,25198,24937,24937,24937,24590,24590,24590,24191,24191,24191,23707,23707,23707,23413,23413,23413,23039,23039,23039,22638,22638,22638,22210,22210,22210,21868,21868,21868,21479,21479,21479,21073,21073,21073
Demand (5 min. avg.),21663,21584,21651,21431,21295,21214,21158,21038,20987,20875,20790,20707,20649,20582,20476,20413,20384,20321,20250,20167,20106,20020,19974,19916,19863,19822,19787,19758,19697,19652,19613,19560,19511,19465,19456,19437,19406,19384,19377,19333,19307,19303,19269,19258,19227,19224,19216,19203,19196,19233,19265,19297,19325,19339,19349,19372,19390,19416,19437,19456,19487,19607,19711,19784,19848,19895,19917,19983,20054,20120,20185,20238,20303,20505,20649,20665,20641,20624,20566,20533,20487,20507,20496,20518,20543,20600,20660,20667,20688,20718,20697,20727,20753,20717,20709,20701,20698,20801,20813,20825,20821,20818,20752,20682,20681,20655,20625,20600,20600,20623,20639,20636,20599,20601,20529,20525,20515,20547,20512,20486,20436,20431,20409,20398,20367,20363,20331,20283,20305,20269,20246,20234,20195,20167,20188,20167,20170,20157,20120,20099,20105,20108,20086,20062,20075,20056,20068,20050,20056,20035,20047,20033,20034,20082,20063,20096,20108,20032,20034,20054,20092,20131,20139,20162,20202,20231,20253,20268,20301,20326,20379,20400,20459,20513,20543,20535,20651,20728,20791,20859,20896,20918,20994,21086,21150,21218,21258,21340,21414,21525,21615,21688,21779,21777,21845,21922,22009,22118,22195,22287,22396,22519,22602,22717,22819,22901,22982,23098,23164,23265,23386,23438,23555,23669,23757,23861,23979,24007,24078,24159,24245,24300,24366,24411,24478,24557,24626,24694,24716,24770,24877,24934,25050,25166,25275,25402,25503,25671,25766,25888,25962,26004,25989,25972,25941,25901,25843,25796,25700,25622,25535,25466,25349,25210,25089,25004,24939,24850,24738,24616,24511,24398,24283,24152,24035,23858,23769,23649,23532,23422,23270,23144,23019,22892,22779,22640,22482,22337,22202,22047,21897,21781,21634,21467,21353,21240,21106,20964,
Net demand,21246,21103,21127,21089,20922,20807,20733,20588,20505,20408,20291,20218,20179,20098,20016,19955,19897,19865,19810,19697,19607,19530,19405,19361,19293,19224,19188,19162,19118,19067,19036,18967,18933,18892,18889,18881,18845,18809,18786,18721,18679,18615,18582,18543,18522,18522,18500,18506,18500,18525,18608,18623,18648,18660,18695,18720,18756,18801,18831,18865,18958,19051,19220,19279,19323,19338,19359,19377,19453,19529,19605,19649,19725,19894,20116,20167,20173,20129,20093,19982,19857,19709,19533,19311,19071,18785,18490,18130,17760,17396,17002,16598,16194,15761,15329,14869,14423,14049,13687,13325,13021,12736,12453,12182,11906,11740,11539,11355,11190,11060,10943,10888,10756,10705,10537,10398,10312,10206,10134,10025,9934,9830,9806,9714,9639,9567,9520,9535,9417,9503,9353,9296,9270,9171,9133,9148,9128,9169,9126,9116,9161,9162,9182,9132,9131,9099,9094,9111,9128,9113,9141,9147,9173,9199,9238,9259,9351,9236,9243,9219,9280,9299,9317,9353,9347,9402,9386,9446,9495,9524,9571,9591,9632,9687,9741,9759,9826,9941,9979,10103,10147,10159,10237,10344,10445,10524,10605,10754,10829,10938,11053,11161,11322,11453,11538,11711,11863,12016,12159,12330,12484,12690,12842,13022,13260,13476,13763,14025,14318,14593,14934,15253,15563,16002,16428,16887,17412,17889,18392,18900,19449,19919,20451,20996,21468,21859,22268,22545,22755,22948,23189,23323,23440,23579,23687,23765,23893,23999,24095,24175,24241,24252,24208,24174,24137,24073,24074,24005,23895,23782,23714,23674,23550,23386,23209,23130,23025,22978,22874,22754,22644,22536,22413,22287,22125,21928,21840,21731,21560,21469,21329,21174,21049,20921,20815,20675,20518,20342,20186,20003,19908,19760,19674,19537,19430,19343,19162,18999,
