Net Demand 06/16/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,25286,24844,24844,24844,24499,24499,24499,24101,24101,24101,23780,23780,23780,23512,23512,23512,23257,23257,23257,22985,22985,22985,22770,22770,22770,22563,22563,22563,22376,22376,22376,22189,22189,22189,22026,22026,22026,21912,21912,21912,21793,21793,21793,21695,21695,21695,21627,21627,21627,21649,21649,21649,21643,21643,21643,21672,21672,21672,21722,21722,21722,21930,21930,21930,22009,22009,22009,21965,21965,21965,21807,21807,21807,21996,21996,21996,22094,22094,22094,22133,22133,22133,22298,22298,22298,22482,22482,22482,22568,22568,22568,22623,22623,22623,22708,22708,22708,22991,22991,22991,23161,23161,23161,23258,23258,23258,23338,23338,23338,23380,23380,23380,23598,23598,23598,23581,23581,23581,23566,23566,23566,23575,23575,23575,23595,23595,23595,23501,23501,23501,23530,23530,23530,23562,23562,23562,23556,23556,23556,23526,23526,23526,23496,23496,23496,23438,23438,23438,23381,23381,23381,23369,23369,23369,23347,23347,23347,23324,23324,23324,23294,23294,23294,23409,23409,23409,23434,23434,23434,23564,23564,23564,23746,23746,23746,23919,23919,23919,24105,24105,24105,24201,24201,24201,24415,24415,24415,24529,24529,24529,24688,24688,24688,24913,24913,24913,25090,25090,25090,25260,25260,25260,25437,25437,25437,25531,25531,25531,25748,25748,25748,25831,25831,25831,25931,25931,25931,25898,25898,25898,26051,26051,26051,26166,26166,26166,26244,26244,26244,26314,26314,26314,26343,26343,26343,26417,26417,26417,26470,26470,26470,26637,26637,26637,26986,26986,26986,27086,27086,27086,27083,27083,27083,26915,26915,26915,26694,26694,26694,26457,26457,26457,26095,26095,26095,25632,25632,25632,25402,25402,25402,25013,25013,25013,24550,24550,24550,24065,24065,24065,23711,23711,23711,23233,23233,23233,22835,22835,22835
Demand (5 min. avg.),25079,24929,24894,24819,24633,24539,24447,24300,24179,24091,23996,23872,23763,23673,23605,23473,23386,23271,23204,23126,23048,22944,22867,22778,22715,22622,22588,22520,22428,22375,22306,22256,22169,22124,22100,22040,21979,21934,21897,21871,21819,21812,21757,21736,21709,21678,21638,21634,21614,21656,21677,21708,21698,21709,21703,21710,21728,21721,21745,21767,21788,21879,21936,21977,22011,22068,22066,22056,21997,21930,21874,21860,21885,21935,21999,21990,21954,22001,22057,22131,22164,22190,22231,22257,22281,22384,22496,22496,22507,22530,22542,22563,22603,22662,22692,22696,22737,22894,23016,23057,23084,23122,23138,23159,23197,23202,23153,23163,23210,23319,23405,23448,23430,23460,23462,23451,23467,23454,23470,23396,23376,23461,23544,23511,23471,23510,23527,23476,23483,23482,23503,23512,23432,23485,23464,23486,23460,23462,23468,23462,23458,23448,23425,23408,23391,23379,23288,23287,23294,23345,23308,23275,23279,23316,23289,23306,23248,23196,23223,23270,23321,23278,23286,23299,23326,23377,23388,23429,23485,23502,23542,23645,23679,23690,23762,23891,23928,23913,23983,24031,24085,24123,24196,24278,24284,24353,24363,24422,24468,24565,24636,24735,24821,24821,24770,24826,24927,24988,25077,25128,25219,25320,25326,25414,25382,25312,25287,25388,25433,25496,25560,25636,25685,25760,25785,25806,25861,25883,25889,25922,25972,26061,26106,26118,26163,26204,26238,26260,26274,26321,26285,26305,26338,26386,26367,26400,26400,26397,26448,26464,26508,26568,26640,26752,26786,26896,26929,26955,26960,27008,27007,27022,26976,26944,26896,26842,26794,26738,26628,26569,26421,26317,26184,26078,25952,25842,25762,25628,25510,25378,25257,25099,24983,24845,24689,24546,24390,24208,24072,23905,23730,23596,23447,23335,23209,23077,22938,22814,
Net demand,23019,22888,22786,22717,22515,22401,22324,22183,22100,22069,22017,21971,21902,21786,21703,21552,21379,21237,21148,21068,20975,20818,20722,20583,20467,20339,20279,20224,20155,20094,20006,19922,19866,19801,19758,19705,19662,19593,19584,19564,19555,19547,19569,19601,19611,19598,19564,19522,19532,19512,19578,19617,19649,19630,19658,19677,19700,19693,19693,19728,19728,19837,19995,20035,20056,20062,20118,20104,20071,20009,19939,19915,19853,19817,19762,19658,19471,19273,19121,18973,18834,18614,18384,18175,17849,17636,17480,17147,16784,16493,16161,15879,15626,15406,15273,15060,14869,14833,14761,14633,14510,14399,14215,14028,13951,13819,13639,13473,13465,13487,13515,13534,13369,13177,13137,13082,13091,13135,13174,13271,13063,13019,12998,13040,12962,12870,12865,12737,12583,12450,12451,12487,12365,12244,12177,12011,11845,11786,11687,11611,11613,11489,11346,11188,11195,11095,11081,10949,10824,10721,10709,10696,10526,10503,10569,10609,10532,10437,10321,10150,10055,10157,10150,10098,10054,10041,9996,10005,10150,10326,10407,10364,10512,10482,10425,10634,10736,10670,10687,10942,11097,11080,11060,11085,11035,10956,11007,11041,11093,11247,11405,11343,11371,11471,11772,11960,12101,12314,12471,12510,12604,12696,12744,12950,13150,13243,13361,13453,13573,13660,13806,14014,14105,14496,14779,15103,15370,15666,15956,16277,16610,17006,17376,17796,18101,18494,18859,19282,19652,19991,20303,20641,20997,21354,21660,21923,22229,22440,22607,22774,22913,23069,23212,23353,23487,23581,23648,23653,23709,23827,23897,23978,24003,23953,23939,23856,23817,23760,23687,23632,23564,23418,23274,23136,22951,22814,22697,22554,22440,22241,22136,21979,21844,21710,21553,21389,21197,21008,20912,20741,20571,20439,20305,20150,20018,19879,19735,19605,
