Net Demand 07/05/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,25906,25521,25521,25521,25122,25122,25122,24666,24666,24666,24189,24189,24189,23731,23731,23731,23511,23511,23511,23182,23182,23182,22856,22856,22856,22549,22549,22549,22288,22288,22288,21975,21975,21975,21727,21727,21727,21555,21555,21555,21366,21366,21366,21169,21169,21169,21003,21003,21003,20955,20955,20955,20867,20867,20867,20735,20735,20735,20679,20679,20679,20716,20716,20716,20680,20680,20680,20522,20522,20522,20220,20220,20220,20113,20113,20113,20032,20032,20032,19962,19962,19962,19954,19954,19954,20041,20041,20041,20114,20114,20114,20015,20015,20015,19954,19954,19954,20073,20073,20073,20085,20085,20085,20070,20070,20070,20156,20156,20156,20352,20352,20352,20495,20495,20495,20606,20606,20606,20734,20734,20734,21047,21047,21047,21282,21282,21282,21589,21589,21589,22043,22043,22043,22481,22481,22481,22900,22900,22900,23339,23339,23339,23712,23712,23712,24314,24314,24314,24854,24854,24854,25365,25365,25365,25925,25925,25925,26394,26394,26394,27012,27012,27012,27510,27510,27510,28064,28064,28064,28625,28625,28625,29173,29173,29173,29698,29698,29698,30308,30308,30308,30917,30917,30917,31260,31260,31260,31646,31646,31646,32163,32163,32163,32570,32570,32570,33182,33182,33182,33687,33687,33687,34143,34143,34143,34577,34577,34577,34995,34995,34995,35267,35267,35267,35494,35494,35494,35638,35638,35638,35820,35820,35820,35921,35921,35921,35858,35858,35858,35677,35677,35677,35400,35400,35400,34914,34914,34914,34541,34541,34541,34236,34236,34236,34130,34130,34130,34025,34025,34025,33647,33647,33647,33103,33103,33103,32589,32589,32589,32055,32055,32055,31334,31334,31334,30560,30560,30560,29941,29941,29941,29119,29119,29119,28349,28349,28349,27612,27612,27612,27003,27003,27003,26422,26422,26422,25813,25813,25813
Demand (5 min. avg.),25577,25505,25411,25280,25131,24997,24836,24686,24541,24389,24247,24127,23994,23860,23759,23653,23544,23424,23315,23189,23076,22967,22872,22765,22665,22565,22439,22348,22240,22163,22072,21980,21902,21812,21770,21685,21593,21540,21466,21409,21331,21280,21192,21166,21120,21059,21023,20975,20926,20917,20901,20882,20839,20796,20779,20739,20722,20700,20662,20649,20619,20657,20680,20680,20672,20628,20642,20591,20524,20424,20344,20271,20169,20169,20175,20108,20107,20071,20012,20002,19992,19974,19976,19965,19965,20006,20039,20046,19985,19934,19914,19922,19876,19879,19867,19888,19887,19933,19956,19966,19992,19994,20014,20012,20017,20055,20066,20075,20123,20212,20293,20350,20371,20394,20471,20532,20593,20643,20729,20813,20911,21043,21176,21283,21369,21459,21564,21658,21755,21874,21996,22139,22269,22415,22583,22706,22833,22964,23121,23313,23461,23624,23791,23947,24117,24283,24473,24635,24787,24958,25127,25298,25451,25685,25845,26037,26181,26329,26556,26731,26929,27110,27295,27479,27685,27846,28021,28194,28362,28516,28706,28878,29068,29241,29418,29594,29758,29937,30114,30297,30454,30592,30789,30948,31120,31286,31442,31613,31804,31949,32103,32380,32564,32669,32805,32955,33123,33263,33432,33589,33765,33956,34110,34249,34370,34466,34617,34775,34919,35034,35156,35284,35381,35484,35587,35652,35729,35769,35813,35880,35930,35963,35984,35983,35967,35994,35982,35969,35945,35803,35694,35630,35526,35435,35289,35197,35027,34853,34692,34546,34359,34252,34111,34046,33978,33939,33827,33770,33657,33566,33455,33356,33232,33110,32912,32760,32578,32427,32246,32063,31825,31615,31417,31201,30965,30636,30323,30088,29863,29641,29417,29167,28906,28670,28438,28191,27979,27741,27531,27291,27079,26852,26675,26471,26253,26042,25830,25643,
Net demand,21535,21417,21361,21211,21068,20883,20713,20549,20377,20247,20110,19986,19838,19707,19648,19498,19417,19291,19177,19117,19030,18938,18855,18720,18637,18536,18375,18315,18213,18127,18034,17973,17864,17816,17785,17720,17688,17685,17685,17663,17611,17557,17506,17462,17424,17389,17342,17305,17268,17272,17310,17341,17337,17331,17373,17395,17400,17417,17392,17425,17428,17393,17431,17401,17378,17391,17352,17333,17249,17164,17062,16907,16773,16606,16537,16274,15980,15708,15366,15054,14719,14344,13959,13558,13122,12767,12385,11980,11564,11064,10634,10219,9852,9574,9531,9547,9207,8916,8619,8409,8344,8341,8183,8102,7989,7842,7679,7482,7380,7357,7380,7437,7444,7454,7491,7559,7619,7685,7720,7779,7841,7964,8074,8163,8267,8363,8530,8604,8689,8767,8851,8963,9076,9226,9372,9552,9677,9811,9917,10079,10244,10398,10579,10794,10933,11110,11322,11438,11526,11687,11867,12001,12127,12365,12562,12775,12971,13119,13367,13575,13760,13946,14147,14316,14472,14592,14673,14815,14893,15053,15204,15346,15455,15581,15765,15920,16111,16204,16339,16479,16624,16740,16909,17097,17249,17448,17602,17768,17933,18094,18202,18423,18660,18767,18877,19005,19160,19369,19537,19721,19935,20145,20352,20583,20732,20893,21107,21436,21723,21973,22162,22462,22686,22943,23165,23430,23810,24108,24375,24626,24987,25435,25915,26341,26778,27272,27710,28108,28490,28797,29053,29331,29515,29765,29958,30154,30259,30296,30290,30197,30078,30001,29897,29818,29751,29709,29663,29567,29381,29237,29070,28951,28746,28590,28458,28277,28109,27939,27744,27562,27266,27071,26809,26601,26368,26077,25733,25465,25243,25024,24805,24590,24399,24090,23823,23604,23410,23170,22973,22738,22522,22289,22073,21871,21633,21428,21224,21069,
