Net Demand 01/24/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21303,21028,21028,21028,20903,20903,20903,20667,20667,20667,20439,20439,20439,20287,20287,20287,20119,20119,20119,19991,19991,19991,19804,19804,19804,19717,19717,19717,19663,19663,19663,19551,19551,19551,19506,19506,19506,19446,19446,19446,19387,19387,19387,19419,19419,19419,19492,19492,19492,19732,19732,19732,19900,19900,19900,20105,20105,20105,20364,20364,20364,20913,20913,20913,21453,21453,21453,21911,21911,21911,22375,22375,22375,23320,23320,23320,23905,23905,23905,24517,24517,24517,24921,24921,24921,25320,25320,25320,25457,25457,25457,25502,25502,25502,25430,25430,25430,25456,25456,25456,25274,25274,25274,25097,25097,25097,24893,24893,24893,24650,24650,24650,24416,24416,24416,24082,24082,24082,23948,23948,23948,23703,23703,23703,23523,23523,23523,23340,23340,23340,23184,23184,23184,23089,23089,23089,22955,22955,22955,22937,22937,22937,22705,22705,22705,22674,22674,22674,22621,22621,22621,22419,22419,22419,22424,22424,22424,22421,22421,22421,22490,22490,22490,22550,22550,22550,22753,22753,22753,22835,22835,22835,22815,22815,22815,22933,22933,22933,23031,23031,23031,22965,22965,22965,23206,23206,23206,23286,23286,23286,23470,23470,23470,23806,23806,23806,24025,24025,24025,24422,24422,24422,24891,24891,24891,25339,25339,25339,26112,26112,26112,26711,26711,26711,27098,27098,27098,27088,27088,27088,26937,26937,26937,26875,26875,26875,26660,26660,26660,26467,26467,26467,26292,26292,26292,26040,26040,26040,25852,25852,25852,25725,25725,25725,25481,25481,25481,25223,25223,25223,25032,25032,25032,24772,24772,24772,24488,24488,24488,24271,24271,24271,23978,23978,23978,23595,23595,23595,23228,23228,23228,22937,22937,22937,22587,22587,22587,22223,22223,22223,21945,21945,21945,21603,21603,21603,21271,21271,21271
Demand (5 min. avg.),21239,21208,21185,21121,21010,20971,20859,20786,20744,20684,20579,20504,20458,20406,20382,20303,20225,20182,20103,20048,20017,19956,19914,19871,19846,19802,19773,19698,19667,19661,19645,19622,19610,19552,19500,19439,19428,19415,19437,19446,19451,19456,19469,19484,19506,19521,19528,19543,19585,19671,19751,19812,19891,19890,19961,20081,20172,20223,20330,20497,20619,20891,21137,21290,21432,21541,21654,21824,21966,22068,22185,22325,22558,22946,23335,23612,23861,24060,24179,24473,24661,24796,24921,24962,25115,25321,25601,25642,25741,25788,25755,25699,25603,25577,25558,25487,25459,25447,25441,25333,25243,25289,25270,25115,25079,25062,24938,24793,24673,24657,24567,24430,24323,24268,24175,24115,23995,23945,23824,23692,23642,23632,23605,23526,23474,23435,23336,23323,23284,23203,23102,23120,23020,23039,23000,22955,22988,22981,22860,22800,22744,22703,22675,22693,22615,22575,22494,22396,22353,22336,22315,22286,22315,22303,22269,22254,22283,22290,22305,22349,21745,22429,22410,22537,22559,22615,22624,22650,22712,22703,22709,22741,22725,22797,22838,22789,22770,22796,22844,22855,22905,22893,22954,22977,22991,23044,23102,23231,23347,23449,23525,23629,23645,23696,23764,23926,24043,24156,24238,24403,24455,24567,24749,24901,25083,25289,25532,25747,26022,26281,26546,26781,26937,27026,27135,27171,27184,27117,27097,27066,27009,26972,26995,26942,26863,26847,26792,26709,26563,26454,26410,26350,26304,26282,26256,26215,26197,26139,26100,26064,25982,25908,25753,25656,25585,25552,25482,25420,25381,25279,25170,25121,25066,24973,24948,24872,24811,24694,24602,24520,24380,24303,24207,24095,23985,23789,23628,23533,23528,23501,23259,23153,23068,22958,22806,22706,22608,22453,22300,22184,22078,21917,21820,21738,21605,21514,21420,21265,21202
Net demand,21119,21064,21089,21007,20927,20857,20794,20680,20627,20567,20492,20372,20342,20282,20228,20170,20099,20043,19966,19911,19844,19798,19742,19687,19634,19572,19519,19437,19392,19370,19361,19331,19289,19216,19104,19000,18899,18865,18867,18905,18974,18996,19035,19042,19094,19114,19100,19094,19101,19150,19295,19320,19390,19406,19454,19558,19646,19720,19816,20003,20152,20354,20663,20831,20921,21046,21099,21220,21362,21438,21520,21666,21859,22206,22627,22947,23242,23462,23669,23867,24101,24202,24308,24250,24287,24293,24495,24492,24475,24262,23986,23577,23266,22996,22735,22407,22194,21886,21555,21208,20820,20391,20070,19690,19159,18797,18490,18833,19038,18668,18301,18219,17785,17287,17058,17020,16800,16535,16412,16133,15799,16055,15943,15967,15856,15453,15426,15364,15268,15219,15042,14861,14813,14514,14394,14428,14466,14419,14310,14176,14113,13899,13783,13868,13852,14201,14331,14326,14183,13900,13772,13937,14035,14077,14000,13719,13694,13672,13538,13541,13375,13625,13885,13905,13993,13975,13783,13923,14321,14725,14785,14712,15121,14992,14962,14905,15045,15093,15384,15623,15596,15561,15425,15505,15746,16198,16481,16600,16787,17147,17495,17902,18737,19069,19303,19668,20161,20621,20986,21410,21915,22342,22684,23002,23194,23350,23674,23942,24200,24488,24754,25008,25171,25273,25380,25397,25429,25422,25442,25487,25439,25422,25515,25441,25392,25306,25251,25213,25151,24983,24855,24753,24690,24611,24597,24563,24532,24493,24426,24401,24286,24180,23997,23869,23786,23807,23800,23748,23594,23498,23339,23200,23115,23028,22978,22940,22905,22817,22741,22630,22491,22332,22144,21983,21846,21676,21518,21435,21501,21524,21293,21232,21214,21234,21180,21177,21125,21053,20856,20780,20698,20625,20553,20612,20549,20479,20374,20268,20177
