Demand 07/11/2020,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day ahead forecast,29534,27201,27201,27201,27201,27201,27201,27201,27201,27201,27201,27201,27201,25446,25446,25446,25446,25446,25446,25446,25446,25446,25446,25446,25446,24234,24234,24234,24234,24234,24234,24234,24234,24234,24234,24234,24234,23348,23348,23348,23348,23348,23348,23348,23348,23348,23348,23348,23348,22964,22964,22964,22964,22964,22964,22964,22964,22964,22964,22964,22964,22886,22886,22886,22886,22886,22886,22886,22886,22886,22886,22886,22886,22586,22586,22586,22586,22586,22586,22586,22586,22586,22586,22586,22586,23183,23183,23183,23183,23183,23183,23183,23183,23183,23183,23183,23183,23978,23978,23978,23978,23978,23978,23978,23978,23978,23978,23978,23978,24866,24866,24866,24866,24866,24866,24866,24866,24866,24866,24866,24866,25991,25991,25991,25991,25991,25991,25991,25991,25991,25991,25991,25991,27721,27721,27721,27721,27721,27721,27721,27721,27721,27721,27721,27721,29717,29717,29717,29717,29717,29717,29717,29717,29717,29717,29717,29717,31870,31870,31870,31870,31870,31870,31870,31870,31870,31870,31870,31870,33996,33996,33996,33996,33996,33996,33996,33996,33996,33996,33996,33996,36101,36101,36101,36101,36101,36101,36101,36101,36101,36101,36101,36101,37784,37784,37784,37784,37784,37784,37784,37784,37784,37784,37784,37784,39038,39038,39038,39038,39038,39038,39038,39038,39038,39038,39038,39038,39302,39302,39302,39302,39302,39302,39302,39302,39302,39302,39302,39302,38414,38414,38414,38414,38414,38414,38414,38414,38414,38414,38414,38414,36715,36715,36715,36715,36715,36715,36715,36715,36715,36715,36715,36715,34923,34923,34923,34923,34923,34923,34923,34923,34923,34923,34923,34923,32482,32482,32482,32482,32482,32482,32482,32482,32482,32482,32482,32482,29936,29936,29936,29936,29936,29936,29936,29936,29936,29936,29936,29936
Hour ahead forecast,29542,28947,28947,28947,28422,28422,28422,28006,28006,28006,27341,27341,27341,26758,26758,26758,26370,26370,26370,26007,26007,26007,25569,25569,25569,25254,25254,25254,24975,24975,24975,24785,24785,24785,24504,24504,24504,24297,24297,24297,24098,24098,24098,23923,23923,23923,23765,23765,23765,23660,23660,23660,23570,23570,23570,23494,23494,23494,23434,23434,23434,23487,23487,23487,23483,23483,23483,23391,23391,23391,23237,23237,23237,23181,23181,23181,23028,23028,23028,23102,23102,23102,23213,23213,23213,23448,23448,23448,23620,23620,23620,23862,23862,23862,23889,23889,23889,24197,24197,24197,24465,24465,24465,24654,24654,24654,24892,24892,24892,25295,25295,25295,25536,25536,25536,25853,25853,25853,26328,26328,26328,26869,26869,26869,27280,27280,27280,27766,27766,27766,28195,28195,28195,28804,28804,28804,29299,29299,29299,29847,29847,29847,30399,30399,30399,31090,31090,31090,31568,31568,31568,32123,32123,32123,32797,32797,32797,33469,33469,33469,34165,34165,34165,34746,34746,34746,35293,35293,35293,35861,35861,35861,36312,36312,36312,36822,36822,36822,37384,37384,37384,37950,37950,37950,38462,38462,38462,38850,38850,38850,39252,39252,39252,39488,39488,39488,40042,40042,40042,40222,40222,40222,40488,40488,40488,40827,40827,40827,41039,41039,41039,41059,41059,41059,41182,41182,41182,41221,41221,41221,41444,41444,41444,41492,41492,41492,41204,41204,41204,40848,40848,40848,40470,40470,40470,40095,40095,40095,39636,39636,39636,39174,39174,39174,38829,38829,38829,38637,38637,38637,38131,38131,38131,37568,37568,37568,37031,37031,37031,36357,36357,36357,35618,35618,35618,34764,34764,34764,34145,34145,34145,33391,33391,33391,32622,32622,32622,31853,31853,31853,31251,31251,31251,30610,30610,30610,29874,29874,29874
Demand (5 min. avg.),29148,29010,28845,28612,28440,28229,28064,27892,27722,27561,27402,27222,27076,26909,26787,26629,26437,26307,26162,26044,25913,25790,25681,25531,25451,25411,25317,25175,25071,24972,24879,24822,24739,24663,24511,24426,24310,24243,24202,24155,24084,24001,23951,23892,23837,23790,23724,23655,23643,23625,23595,23597,23571,23547,23460,23442,23425,23396,23360,23339,23339,23397,23467,23471,23476,23502,23501,23465,23472,23348,23277,23191,23142,23191,23224,23187,23142,23139,23136,23159,23173,23179,23191,23336,23401,23522,23640,23688,23647,23672,23662,23721,23763,23788,23903,23938,24003,24187,24291,24379,24465,24533,24571,24635,24700,24805,24807,24921,25014,25175,25299,25419,25557,25693,25791,25986,26060,26173,26278,26452,26574,26844,26959,27127,27256,27380,27538,27666,27864,28047,28179,28366,28543,28762,28930,29100,29280,29460,29644,29874,30045,30246,30435,30667,30977,31167,31275,31333,31524,31753,31993,32211,32472,32719,32946,33168,33368,33518,33692,33868,34161,34338,34498,34727,34939,35051,35228,35414,35527,35677,35789,35979,36113,36267,36455,36664,36956,37122,37398,37616,37693,37860,37936,38097,38293,38470,38581,38697,38816,39039,39167,39342,39437,39476,39573,39718,39846,40017,40160,40234,40370,40541,40534,40608,40663,40687,40756,40851,40930,41009,41096,41175,41275,41359,41453,41505,41559,41549,41466,41489,41489,41474,41491,41482,41465,41385,41351,41305,41240,41151,41039,40944,40827,40681,40533,40403,40224,40052,39857,39522,39330,39151,38955,38885,38796,38669,38554,38454,38366,38242,38107,37953,37793,37649,37423,37195,37006,36797,36622,36436,36203,35985,35771,35559,35328,34936,34667,34413,34198,33965,33714,33480,33272,33016,32778,32539,32283,32009,31796,31536,31304,31092,30860,30636,30413,30195,29955,29592,
