Net Demand 02/01/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21031,20784,20784,20784,20538,20538,20538,20310,20310,20310,20071,20071,20071,19870,19870,19870,19696,19696,19696,19551,19551,19551,19414,19414,19414,19298,19298,19298,19223,19223,19223,19087,19087,19087,19068,19068,19068,19061,19061,19061,19067,19067,19067,19087,19087,19087,19190,19190,19190,19421,19421,19421,19582,19582,19582,19786,19786,19786,20064,20064,20064,20586,20586,20586,20989,20989,20989,21438,21438,21438,21889,21889,21889,22880,22880,22880,23569,23569,23569,24000,24000,24000,24392,24392,24392,24848,24848,24848,24993,24993,24993,24928,24928,24928,24813,24813,24813,24680,24680,24680,24545,24545,24545,24384,24384,24384,24306,24306,24306,24181,24181,24181,24053,24053,24053,24006,24006,24006,24005,24005,24005,23973,23973,23973,23869,23869,23869,23874,23874,23874,23822,23822,23822,23824,23824,23824,23740,23740,23740,23607,23607,23607,23604,23604,23604,23715,23715,23715,23702,23702,23702,23624,23624,23624,23644,23644,23644,23618,23618,23618,23571,23571,23571,23620,23620,23620,23669,23669,23669,23753,23753,23753,23787,23787,23787,23809,23809,23809,23783,23783,23783,24098,24098,24098,24247,24247,24247,24428,24428,24428,24751,24751,24751,24838,24838,24838,25152,25152,25152,25509,25509,25509,25885,25885,25885,26158,26158,26158,26607,26607,26607,27104,27104,27104,27731,27731,27731,27439,27439,27439,27430,27430,27430,27228,27228,27228,27009,27009,27009,26876,26876,26876,26738,26738,26738,26530,26530,26530,26299,26299,26299,26178,26178,26178,25976,25976,25976,25720,25720,25720,25484,25484,25484,25217,25217,25217,24965,24965,24965,24642,24642,24642,24251,24251,24251,23847,23847,23847,23497,23497,23497,23034,23034,23034,22600,22600,22600,22183,22183,22183,21805,21805,21805,21479,21479,21479,21101,21101,21101
Demand (5 min. avg.),20891,20838,20748,20657,20569,20501,20422,20325,20253,20182,20149,19999,19968,19933,19863,19794,19724,19684,19627,19554,19466,19440,19407,19369,19328,19269,19250,19248,19226,19199,19155,19150,19126,19078,19069,19015,18999,19015,19042,19055,19075,19086,19104,19108,19110,19135,19168,19174,19235,19324,19443,19474,19543,19605,19654,19742,19816,19894,19941,20048,20183,20418,20607,20757,20861,20975,21076,21255,21448,21608,21798,21931,22150,22528,22939,23159,23376,23572,23745,23966,24147,24237,24351,24448,24546,24747,24834,24937,25017,24998,25034,24987,24945,24870,24823,24730,24644,24651,24676,24655,24650,24574,24567,24542,24465,24383,24349,24273,24279,24222,24251,24242,24188,24175,24220,24184,24127,24051,24004,24019,24070,24055,24048,24092,24037,23979,24007,24003,24027,24030,23974,23946,23890,23840,23770,23715,23752,23733,23723,23681,23671,23693,23735,23704,23711,23686,23734,23513,23660,23662,23533,23523,23553,23528,23481,23504,23481,23563,23555,23565,23613,23579,23634,23646,23724,23729,23680,23698,23758,23776,23798,23752,23772,23753,23734,23741,23747,23810,23895,23992,24092,24141,24134,24202,24329,24444,24480,24455,24549,24546,24571,24675,24799,24843,24864,24943,25038,25151,25242,25414,25478,25558,25681,25750,25917,26083,26161,26236,26470,26615,26818,27027,27194,27259,27359,27425,27444,27399,27315,27322,27291,27259,27257,27219,27192,27150,27099,27054,27013,26933,26845,26795,26741,26676,26615,26587,26514,26510,26466,26405,26311,26239,26169,26081,26017,25986,25892,25831,25751,25691,25621,25526,25422,25300,25181,25082,25000,24929,24810,24697,24616,24477,24353,24251,24100,23940,23737,23581,23468,23361,23256,23092,22966,22793,22645,22521,22385,22251,22157,21983,21905,21759,21638,21516,21403,21291,21156,21037,
Net demand,20403,20346,20297,20179,20093,20022,19949,19854,19747,19685,19684,19587,19508,19467,19371,19313,19225,19231,19233,19185,19107,19053,19009,18942,18875,18811,18773,18770,18786,18825,18805,18815,18812,18768,18763,18731,18717,18709,18741,18751,18793,18784,18826,18808,18815,18827,18823,18832,18847,18957,19052,19136,19146,19252,19302,19376,19465,19526,19593,19700,19783,19973,20207,20364,20488,20597,20677,20850,21023,21221,21382,21559,21713,22027,22502,22747,22973,23190,23366,23555,23756,23882,23964,24056,24082,24160,24154,24100,23958,23809,23608,23345,23142,22810,22300,21836,21366,20941,20672,20488,20231,19922,19468,19082,18740,18539,18348,18123,18095,18024,18050,18156,18246,18077,17826,17823,17749,17626,17502,17419,17392,17243,17197,17120,17112,17220,17436,17417,17657,17819,17812,17609,17557,17543,17403,17411,17496,17411,17351,17361,17288,17294,17317,17239,16964,16927,17160,16965,17202,17412,17253,17041,17126,17268,17435,17515,17383,17297,17376,17587,17762,17904,18190,18136,18214,18551,18716,18462,17972,17909,17998,18192,18208,18346,18517,18640,19030,19202,19210,19283,19506,19890,20209,20232,20346,20490,20815,21117,21401,21677,22064,22445,22673,22962,23170,23346,23536,23684,23810,24031,24149,24334,24533,24676,24788,24889,25087,25031,25181,25339,25461,25654,25844,25929,25983,26081,26172,26089,25989,25983,25978,25994,26019,25969,25885,25799,25662,25499,25340,25218,25064,25017,24899,24895,24874,24822,24720,24666,24616,24512,24360,24236,24202,24120,24012,23948,23901,23823,23686,23607,23548,23518,23481,23394,23274,23151,23084,23060,23027,22957,22897,22830,22771,22654,22510,22368,22222,22084,21953,21814,21700,21520,21372,21242,21075,20958,20795,20660,20531,20358,20271,20141,19984,19862,19735,19621,19536,19432,
