Net Demand 07/04/2018,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,25944,25462,25462,25462,25110,25110,25110,24684,24684,24684,24475,24475,24475,24022,24022,24022,23787,23787,23787,23571,23571,23571,23275,23275,23275,22981,22981,22981,22755,22755,22755,22491,22491,22491,22296,22296,22296,22157,22157,22157,22054,22054,22054,21942,21942,21942,21872,21872,21872,21917,21917,21917,21877,21877,21877,21857,21857,21857,21842,21842,21842,21984,21984,21984,22068,22068,22068,22011,22011,22011,21753,21753,21753,21871,21871,21871,21862,21862,21862,21882,21882,21882,21897,21897,21897,22019,22019,22019,22103,22103,22103,22128,22128,22128,22144,22144,22144,22406,22406,22406,22475,22475,22475,22576,22576,22576,22776,22776,22776,22886,22886,22886,22934,22934,22934,23066,23066,23066,23151,23151,23151,23362,23362,23362,23388,23388,23388,23615,23615,23615,23803,23803,23803,23934,23934,23934,24115,24115,24115,24248,24248,24248,24433,24433,24433,24628,24628,24628,24766,24766,24766,24984,24984,24984,25245,25245,25245,25458,25458,25458,25716,25716,25716,25931,25931,25931,26199,26199,26199,26421,26421,26421,26654,26654,26654,26955,26955,26955,27236,27236,27236,27585,27585,27585,27856,27856,27856,28135,28135,28135,28402,28402,28402,28605,28605,28605,28961,28961,28961,29127,29127,29127,29527,29527,29527,29730,29730,29730,29983,29983,29983,30089,30089,30089,30303,30303,30303,30355,30355,30355,30359,30359,30359,30363,30363,30363,30333,30333,30333,30112,30112,30112,29903,29903,29903,29730,29730,29730,29544,29544,29544,29459,29459,29459,29447,29447,29447,29426,29426,29426,29267,29267,29267,28935,28935,28935,28621,28621,28621,28406,28406,28406,28247,28247,28247,27905,27905,27905,27737,27737,27737,27404,27404,27404,26999,26999,26999,26433,26433,26433,26154,26154,26154,25530,25530,25530,25013,25013,25013
Demand (5 min. avg.),25663,25487,25502,25461,25353,25216,25082,25016,24886,24768,24570,24433,24285,24186,24104,24006,23892,23814,23751,23630,23523,23422,23310,23206,23145,23058,22984,22849,22784,22690,22606,22545,22472,22417,22346,22299,22233,22203,22166,22134,22054,22022,21999,21992,21977,21920,21880,21890,21857,21865,21849,21864,21855,21826,21816,21820,21819,21813,21796,21795,21805,21900,21951,21972,21980,22010,21992,22000,21978,21880,21830,21753,21742,21835,21886,21859,21839,21854,21850,21862,21847,21844,21837,21822,21817,21962,22048,22067,22066,22058,22054,22076,22104,22099,22125,22140,22187,22297,22375,22404,22395,22459,22489,22546,22561,22627,22663,22650,22675,22733,22763,22797,22840,22894,22905,22939,22971,23026,23058,23091,23181,23197,23278,23294,23397,23441,23511,23545,23611,23640,23672,23745,23799,23888,23892,23937,24012,24097,24139,24184,24257,24301,24398,24425,24463,24508,24550,24608,24681,24769,24829,24917,24996,25080,25140,25232,25307,25330,25416,25484,25577,25681,25767,25835,25903,26007,26079,26183,26261,26362,26402,26486,26602,26720,26804,26892,27007,27082,27219,27341,27453,27425,27461,27596,27681,27814,27924,28020,28096,28214,28303,28409,28485,28608,28674,28770,28840,28951,29011,29142,29249,29405,29504,29539,29658,29696,29741,29786,29856,29913,30048,30110,30188,30252,30322,30348,30384,30333,30251,30278,30318,30326,30341,30346,30351,30366,30361,30313,30278,30199,30130,30071,30026,29940,29855,29813,29723,29669,29615,29549,29492,29436,29339,29350,29360,29385,29390,29404,29395,29378,29350,29274,29182,29061,28956,28837,28717,28634,28577,28515,28436,28391,28331,28244,28155,28033,27972,27857,27780,27702,27608,27479,27367,27227,27092,26925,26783,26593,26422,26258,26087,25883,25698,25536,25410,25269,25084,24942,
Net demand,22993,22816,22763,22767,22672,22563,22401,22304,22214,22083,21912,21773,21642,21548,21461,21410,21291,21231,21171,21086,21007,20912,20841,20730,20681,20632,20543,20454,20379,20329,20242,20173,20111,20081,20016,19993,19931,19901,19884,19852,19795,19743,19733,19704,19712,19681,19645,19617,19610,19585,19591,19598,19594,19581,19576,19552,19536,19506,19501,19536,19601,19677,19833,19865,19903,19914,19930,19897,19906,19847,19805,19760,19704,19674,19724,19564,19389,19205,19007,18740,18457,18197,17840,17473,17106,16824,16690,16388,16020,15693,15276,15042,14589,14380,14099,13677,13392,13198,13091,12985,12836,12712,12609,12516,12360,12309,12190,12180,12102,12095,12085,12115,12112,11989,11995,11973,11952,11858,11884,11840,11894,11958,12031,12066,12078,12058,12115,12071,12109,12157,12214,12287,12287,12314,12356,12341,12390,12553,12530,12547,12597,12607,12567,12516,12525,12558,12571,12669,12715,12734,12767,12780,12878,12906,12872,12961,13017,13048,13096,13142,13177,13246,13285,13326,13494,13500,13571,13635,13713,13840,14045,14189,14297,14406,14444,14609,14760,14806,14893,15039,15219,15321,15348,15500,15597,15716,15863,16068,16166,16306,16470,16664,16834,16979,17139,17259,17384,17563,17671,17851,18080,18256,18497,18605,18772,18934,19120,19232,19404,19594,19782,20042,20240,20492,20775,21006,21227,21401,21623,21940,22330,22663,23044,23453,23815,24225,24611,24951,25316,25557,25782,26020,26242,26452,26645,26810,26967,27062,27106,27166,27246,27301,27264,27294,27325,27371,27461,27520,27500,27509,27512,27479,27420,27357,27300,27207,27088,27010,26936,26872,26792,26690,26621,26503,26399,26258,26122,26040,25924,25834,25749,25651,25554,25421,25314,25186,25029,24876,24704,24529,24356,24210,24040,23886,23716,23536,23385,23248,
