Net Demand 05/22/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour ahead forecast,21178,20973,20973,20973,20757,20757,20757,20416,20416,20416,20276,20276,20276,20058,20058,20058,19891,19891,19891,19674,19674,19674,19509,19509,19509,19387,19387,19387,19307,19307,19307,19279,19279,19279,19275,19275,19275,19260,19260,19260,19262,19262,19262,19269,19269,19269,19416,19416,19416,19523,19523,19523,19688,19688,19688,19910,19910,19910,20217,20217,20217,20625,20625,20625,21038,21038,21038,21388,21388,21388,21550,21550,21550,22052,22052,22052,22514,22514,22514,22980,22980,22980,23319,23319,23319,23662,23662,23662,23930,23930,23930,23893,23893,23893,23550,23550,23550,23461,23461,23461,23366,23366,23366,23361,23361,23361,23352,23352,23352,23195,23195,23195,22993,22993,22993,22854,22854,22854,22736,22736,22736,22747,22747,22747,22610,22610,22610,22364,22364,22364,22346,22346,22346,22208,22208,22208,22088,22088,22088,21997,21997,21997,21930,21930,21930,21901,21901,21901,21808,21808,21808,22044,22044,22044,22150,22150,22150,22316,22316,22316,22357,22357,22357,22225,22225,22225,22351,22351,22351,22191,22191,22191,22208,22208,22208,22154,22154,22154,22103,22103,22103,22354,22354,22354,22471,22471,22471,22776,22776,22776,22897,22897,22897,22904,22904,22904,23072,23072,23072,23068,23068,23068,23056,23056,23056,23083,23083,23083,23251,23251,23251,23385,23385,23385,23542,23542,23542,23658,23658,23658,23930,23930,23930,24314,24314,24314,24440,24440,24440,24651,24651,24651,24900,24900,24900,25304,25304,25304,25542,25542,25542,26082,26082,26082,26395,26395,26395,26344,26344,26344,26214,26214,26214,25951,25951,25951,25699,25699,25699,25440,25440,25440,24940,24940,24940,24412,24412,24412,23937,23937,23937,23397,23397,23397,22886,22886,22886,22473,22473,22473,22099,22099,22099,21780,21780,21780,21520,21520,21520
Demand (5 min. avg.),21127,20973,20894,20798,20815,20685,20619,20538,20481,20358,20327,20250,20166,20093,20011,19884,19824,19774,19756,19707,19617,19581,19548,19496,19468,19442,19486,19473,19447,19459,19397,19356,19394,19339,19334,19271,19209,19199,19233,19283,19309,19349,19351,19315,19303,19287,19451,19371,19426,19444,19535,19670,19792,19811,19812,19903,19954,20024,20088,20170,20264,20385,20645,20814,20881,21015,21107,21244,21375,21434,21443,21469,21538,21817,22091,22221,22376,22524,22651,22778,22930,22919,23039,23172,23334,23471,23624,23624,23689,23657,23589,23513,23527,23485,23403,23359,23473,23523,23533,23497,23596,23469,23396,23384,23351,23294,23165,23145,23130,23087,23110,23007,22942,22960,22854,22837,22785,22764,22734,22752,22636,22508,22512,22509,22480,22517,22415,22442,22431,22474,22373,22360,22205,22122,22142,22117,22078,22097,22061,22079,22126,22059,22018,21975,22018,21961,22105,22060,22093,22051,22103,22185,22288,22303,22278,22223,22238,22215,22168,22141,22222,22249,22219,22352,22304,22358,22195,22153,22188,22161,22085,22138,22204,22043,22094,22155,22184,22166,22241,22293,22350,22434,22420,22504,22545,22606,22594,22571,22669,22723,22772,22750,22769,22766,22724,22769,22785,22760,22785,22853,22926,22906,22906,22954,23062,23068,22986,23044,23150,23192,23197,23212,23299,23380,23486,23563,23673,23709,23723,23814,23861,23986,24080,24237,24397,24370,24443,24463,24562,24693,24722,24753,24823,24888,24973,25094,25235,25346,25521,25654,25760,25848,26000,26099,26143,26203,26253,26271,26330,26272,26213,26168,26116,26080,26047,25937,25825,25723,25637,25518,25312,25223,25150,24936,24790,24570,24393,24232,24028,23891,23767,23578,23329,23245,23097,22905,22787,22670,22533,22389,22309,22254,22081,21867,21689,21622,21580,21092,
Net demand,17078,16848,16753,16676,16675,16618,16537,16489,16514,16427,16418,16358,16251,16196,16114,16031,15984,15938,15984,15950,15887,15864,15912,15888,15924,15834,16014,15964,15937,16002,16034,16041,16009,15977,15977,15941,15880,15935,16038,15998,16061,16016,15954,15940,15870,15834,15849,15811,15780,15812,15922,15866,15880,15951,16087,16225,16292,16422,16483,16507,16550,16618,16850,16989,17090,17206,17353,17417,17563,17624,17726,17739,17772,17835,18037,18121,18065,18135,18080,18049,18042,17911,17791,17745,17514,17415,17329,17114,16841,16624,16333,16051,16031,15696,15563,15333,15141,15181,15159,15131,15003,14768,14706,14589,14498,14422,14073,13887,13820,13842,13938,13920,13680,13411,13367,13002,12849,12826,12848,12475,12302,12264,12173,12307,12411,12284,12187,12116,11830,11697,11650,11898,11830,11725,11808,11838,12091,12476,12690,12997,13111,13009,13077,12924,12971,12952,13057,12982,12730,12900,13066,13349,13379,13634,13652,13520,13585,13673,13800,13520,13489,13554,13763,13801,13814,13785,13801,13484,12946,12607,12405,11910,11668,12124,12009,11899,11696,11616,11375,11537,11311,11075,10987,11010,10931,10760,11160,11601,11690,11400,11495,11561,11755,11318,11141,11519,11669,11960,12368,11799,11737,11837,12084,12156,12016,12012,12218,12305,12245,12294,12450,12881,13201,13334,13680,14001,14297,14392,14800,15109,15479,16000,16401,16740,17195,17454,17767,18160,18532,18876,19151,19395,19791,20058,20327,20504,20713,20878,20999,21149,21350,21424,21565,21646,21733,21781,21850,21878,21922,21971,21917,21910,21910,21883,21921,21853,21721,21619,21581,21604,21459,21345,21223,21012,20801,20580,20336,20073,19865,19600,19435,19301,19040,18866,18784,18636,18491,18434,18328,18202,18117,18166,17984,17845,17825,17874,17880,17583,
